claim_id	domain	entity	current_status	current_claim	legacy_or_superseded_form	guard_rule	source_pointer
B-0031	materials	uranium feedstock strategy	CLOSED-METHOD	1926–30以後の中央はbulk低品位鉱石大量備蓄でなく、vanadium/radium副産物のuranium-bearing residue/concentrate/oxideへの長期off-take＋必要在庫	old cheap-bulk-ore wording	CURRENT CLAIM CONTROLS; legacy/source wording is provenance only unless explicitly re-promoted	14-URANIUM-ROUTE-ECONOMIC-AUDIT-1937.md; main/asai-works-uranium.md
B-0032	materials	1937 natural uranium specialty metal	WORKING	1926–30から別lineを育てるなら1937夏に天然uranium metalを特殊高密度材として小量販売できる段階は成立可能	old unpriced uranium route	CURRENT CLAIM CONTROLS; legacy/source wording is provenance only unless explicitly re-promoted	14-URANIUM-ROUTE-ECONOMIC-AUDIT-1937.md
B-0033	production	1937 uranium economic band	WORKING	1937 engineering natural-U metal cost $4.5–7/lb、controlled dense-U billet/simple alloy $6–10/lb、saleは概ね$7–14/lbを中央とする	old $8–15/lb cost / $12–20 sale band	CURRENT CLAIM CONTROLS; legacy/source wording is provenance only unless explicitly re-promoted	15-URANIUM-TUNGSTEN-DENSE-MATERIALS-AUDIT-1937.md
B-0034	materials	uranium titanium assumption	SUPERSEDED	U-0.75Tiを1937浅井の中央材料からREMOVE。Ti一般研究は別branchでありuranium商品材の前提にしない	old U-Ti uranium-ap wording	CURRENT CLAIM CONTROLS; legacy/source wording is provenance only unless explicitly re-promoted	15-URANIUM-TUNGSTEN-DENSE-MATERIALS-AUDIT-1937.md
B-0035	materials	uranium carbide hardmetal	CLOSED-TECH-REJECT	UC等をWC/cemented-carbideの切削・耐摩耗代替にする中央案は棄却。1930年代前半の比較研究dead-endは可	old uranium hard-alloy expectation	CURRENT CLAIM CONTROLS; legacy/source wording is provenance only unless explicitly re-promoted	15-URANIUM-TUNGSTEN-DENSE-MATERIALS-AUDIT-1937.md
B-0037	materials	uranium dense alloy ordnance evaluation	WORKING-TECH	1937にU-base high-density metalを軍用dense-core材料として評価可能だが、量産採用・具体弾道性能はOPEN	old uranium-ap mass-adoption implication	CURRENT CLAIM CONTROLS; legacy/source wording is provenance only unless explicitly re-promoted	15-URANIUM-TUNGSTEN-DENSE-MATERIALS-AUDIT-1937.md
B-0038	materials	tungsten dense-core ammunition	WORKING-TECH	1937浅井はW系dense-core対装甲弾を評価可能。ただし小口径で即戦力の中央はWC/硬質W芯で、W-Ni-Cu heavy alloy penetratorは遮蔽材より弾道用強度要求が厳しく限定試験扱い	WHA=即APCRという単純化	CURRENT CLAIM CONTROLS; legacy/source wording is provenance only unless explicitly re-promoted	16-DENSE-CORE-AMMUNITION-MILITARY-IMPACT-1937.md
B-0039	materials	natural uranium dense-core ammunition	WORKING-TECH	1937に天然U金属を高密度芯材として実射評価することは可能。ただし無合金天然Uへ後世DU合金のself-sharpening/高強度を自動付与しない	natural U = modern DU penetrator	CURRENT CLAIM CONTROLS; legacy/source wording is provenance only unless explicitly re-promoted	16-DENSE-CORE-AMMUNITION-MILITARY-IMPACT-1937.md
B-0040	weapons	dense-core ammunition military effect	CLOSED-DIRECTION	軍事効果の中央は既存/近接世代の20–37mm高初速対装甲火器へ少量のspecial APを与えること。九四式37mm対戦車砲は大、九七式20mm自動砲は量産後大。チハ九七式57mm低初速砲はdense coreだけでは対戦車砲化しない	all guns benefit equally	CURRENT CLAIM CONTROLS; legacy/source wording is provenance only unless explicitly re-promoted	16-DENSE-CORE-AMMUNITION-MILITARY-IMPACT-1937.md
B-0041	strategy	natural uranium ammunition after fission discovery	CLOSED-DIRECTION	1939以後は天然Uの核研究用機会費用が急増するため、天然U弾の全面量産は抑制し、既存在庫/限定用途を除きW系または将来のdepleted-Uへ移すのが中央	natural-U ammunition as unlimited wartime commodity	CURRENT CLAIM CONTROLS; legacy/source wording is provenance only unless explicitly re-promoted	16-DENSE-CORE-AMMUNITION-MILITARY-IMPACT-1937.md
B-0042	production	1937 uranium supply envelope	WORKING-SUPPLY	1937夏の浅井が利用可能な北米uranium feedはcurrent inflow 11–20 t-U/year、prior inventory込みusable feed 13–25 t-Uを中央。Canada単独数十t-U/yearは否定	old 10–30 t-U/year broad supply wording	CURRENT CLAIM CONTROLS; legacy/source wording is provenance only unless explicitly re-promoted	17-DENSE-MATERIAL-AMMUNITION-SUPPLY-AUDIT-1937.md
B-0044	weapons	1937 dense-core ammunition material allocation	WORKING-ALLOCATION	1937軍用dense-core材はnatural-U 1.5–3 t/year、W系0.5–1.5 t-W equivalent/yearをworking中央。U qualification後はUをmajority、Wを照合/backup/U不適用途へ限定	W special AP as co-equal routine material	CURRENT CLAIM CONTROLS; legacy/source wording is provenance only unless explicitly re-promoted	17-DENSE-MATERIAL-AMMUNITION-SUPPLY-AUDIT-1937.md
B-0049	history	Asai relevance in Marco Polo initial hours	CLOSED-DIRECTION	初動数時間では浅井の過給重車両・移動電源・dense-core弾・GT航空はdecision gateにならない。歩兵軽機の九六式配備率のみminor uncertaintyだが局地決心を変えない	uniform Asai effect assumption	CURRENT CLAIM CONTROLS; legacy/source wording is provenance only unless explicitly re-promoted	19-1937-07-07-08-INITIAL-RESPONSE-GATE.md
