topic_family	question_type	primary_authority	companion_ledger	mandatory_parents	physical_checkpoint	development_horizon	status	supersession_note	open_items_pointer
AIRFRAME_PISTON	piston airframe integration / technical snapshot	50-CURRENT-1939-1941-AIRPOWER-AUDIT/16-PREBRANCH-HOMARE-HA43-AIRFRAME-INTEGRATION-CANON-V8.md	50-CURRENT-1939-1941-AIRPOWER-AUDIT/17-PREBRANCH-AIRFRAME-INTEGRATION-STATE-LEDGER-V8.tsv	50-CURRENT-1939-1941-AIRPOWER-AUDIT/18-1943Q1-PISTON-AIRFRAME-TECHNICAL-SNAPSHOT-V8.md	branch-neutral	through 1943Q1	CURRENT	technical snapshot is not automatic procurement/OOB	71-CURRENT-TECHNICAL-CONTROL-V9/02-TECHNICAL-ISSUE-REGISTER-V9.tsv
PROCUREMENT	requirement / procurement gate after technical success	50-CURRENT-1939-1941-AIRPOWER-AUDIT/19-1942-REQUIREMENT-PROCUREMENT-REPLAY-GATE-V8.md		50-CURRENT-1939-1941-AIRPOWER-AUDIT/00A-MANDATORY-CHEAT-CAPABILITY-PREFLIGHT-CANON-V8.md	event-driven	1942+	CURRENT	technical closure never creates procurement automatically	71-CURRENT-TECHNICAL-CONTROL-V9/02-TECHNICAL-ISSUE-REGISTER-V9.tsv
GT_CORE	E6/E7/E9 core and rating semantics	50-CURRENT-1939-1941-AIRPOWER-AUDIT/20-GT-E6S-JF-E7-E9-REBASE-CANON-V8.md	50-CURRENT-1939-1941-AIRPOWER-AUDIT/22A-GT-ADVANCED-BRANCH-1939-STATE-LEDGER-V8.tsv	50-CURRENT-1939-1941-AIRPOWER-AUDIT/21-GT-LIFE-RATING-SEMANTICS-CANON-V8.md;50-CURRENT-1939-1941-AIRPOWER-AUDIT/22-GT-ADVANCED-BRANCH-1939-STATE-CANON-V8.md	1939 technical state	1939+ technical	CURRENT	gross/core/rating/installed/use are separate	71-CURRENT-TECHNICAL-CONTROL-V9/02-TECHNICAL-ISSUE-REGISTER-V9.tsv
GT_PRODUCTS	E5/E6 installed jet/JF products	50-CURRENT-1939-1941-AIRPOWER-AUDIT/23-GT-E5-J-JF-INSTALLED-PRODUCT-CANON-V8.md	50-CURRENT-1939-1941-AIRPOWER-AUDIT/23A-GT-E5-J-JF-PRODUCT-LEDGER-V8.tsv	50-CURRENT-1939-1941-AIRPOWER-AUDIT/25-GT-E6S-J-INSTALLED-PACKAGE-CANON-V8.md;50-CURRENT-1939-1941-AIRPOWER-AUDIT/26-GT-E6M-J-JF-RATING-PACKAGE-CANON-V8.md;50-CURRENT-1939-1941-AIRPOWER-AUDIT/27-GT-E6M-REHEAT-VARIABLE-NOZZLE-CANON-V8.md	1939 technical state	1939+	CURRENT	use local product ledgers; do not substitute core capability for installed product	71-CURRENT-TECHNICAL-CONTROL-V9/02-TECHNICAL-ISSUE-REGISTER-V9.tsv
AIRFRAME_GT	E5/E6 aircraft installation / build state	50-CURRENT-1939-1941-AIRPOWER-AUDIT/24-E5-E6-AIRCRAFT-PROPULSION-REVERSE-AUDIT-V8.md	50-CURRENT-1939-1941-AIRPOWER-AUDIT/24A-E5-E6-AIRCRAFT-PROPULSION-STATE-LEDGER-V8.tsv	50-CURRENT-1939-1941-AIRPOWER-AUDIT/28-E6-AIRCRAFT-BACKEND-REVERSE-AUDIT-V8.md;50-CURRENT-1939-1941-AIRPOWER-AUDIT/32-E6-AIRFRAME-BUILD-STATE-1939-04-20-CANON-V8.md	1939-04-20 plus later explicit flight events	1939	CURRENT	installed/build/flight are separate gates	71-CURRENT-TECHNICAL-CONTROL-V9/02-TECHNICAL-ISSUE-REGISTER-V9.tsv
MATERIAL_CFRP	CFRP I-IV / physical state	50-CURRENT-1939-1941-AIRPOWER-AUDIT/34-CFRP-I-IV-REBASE-CANON-V8.md	50-CURRENT-1939-1941-AIRPOWER-AUDIT/34A-CFRP-I-IV-STATE-LEDGER-V8.tsv	50-CURRENT-1939-1941-AIRPOWER-AUDIT/36-CFRP-1939-04-20-PHYSICAL-STATE-CANON-V8.md	1939-04-20	future research shadows separate	CURRENT	maturity class is not fleet adoption	71-CURRENT-TECHNICAL-CONTROL-V9/02-TECHNICAL-ISSUE-REGISTER-V9.tsv
MATERIAL_NO2	Material No.2 high-q state	50-CURRENT-1939-1941-AIRPOWER-AUDIT/31-MATERIAL-NO2-1939-STATE-CANON-V8.md	50-CURRENT-1939-1941-AIRPOWER-AUDIT/31A-MATERIAL-NO2-Q-RELEASE-LEDGER-V8.tsv	50-CURRENT-1939-1941-AIRPOWER-AUDIT/00A-MANDATORY-CHEAT-CAPABILITY-PREFLIGHT-CANON-V8.md	1939-04-20	later test event	CURRENT	actual first flight/q-release stays event-gated	71-CURRENT-TECHNICAL-CONTROL-V9/02-TECHNICAL-ISSUE-REGISTER-V9.tsv
MATERIAL_NO3	Material No.3 / AT-3 envelope	50-CURRENT-1939-1941-AIRPOWER-AUDIT/37-MATERIAL-NO3-HEAVY-TRANSPORT-ORIGIN-CANON-V8.md	50-CURRENT-1939-1941-AIRPOWER-AUDIT/38A-MATERIAL-NO3-AT3-TECHNICAL-LEDGER-V8.tsv	50-CURRENT-1939-1941-AIRPOWER-AUDIT/38-MATERIAL-NO3-AT3-TECHNICAL-ENVELOPE-V8.md	1939-04-20 origin	technical envelope	CURRENT	technical envelope is not produced transport fleet	71-CURRENT-TECHNICAL-CONTROL-V9/02-TECHNICAL-ISSUE-REGISTER-V9.tsv
ROTORCRAFT	small helicopter / rotor topology	50-CURRENT-1939-1941-AIRPOWER-AUDIT/40-SMALL-HELICOPTER-ROTOR-TOPOLOGY-CLOSURE-V8.md		50-CURRENT-1939-1941-AIRPOWER-AUDIT/33-SMALL-HELICOPTER-1939-04-20-STATE-CANON-V8.md	1939-04-20	later rotorcraft branches event-gated	CURRENT	exact detailed rotor geometry can remain local P2 without reopening architecture	71-CURRENT-TECHNICAL-CONTROL-V9/02-TECHNICAL-ISSUE-REGISTER-V9.tsv
DENSE_MATERIAL	dense material / special AP technical state	50-CURRENT-1939-1941-AIRPOWER-AUDIT/41-DENSE-MATERIALS-1939-04-20-STATE-CANON-V8.md		TERMINOLOGY-AND-SUPERSESSION-GUARD-V9.tsv	1939-04-20 plus Nomonhan local replay	1939	CURRENT	Nomonhan field validation does not generalize to every dense-core application	71-CURRENT-TECHNICAL-CONTROL-V9/02-TECHNICAL-ISSUE-REGISTER-V9.tsv
SPALL_LINER	flexible spall liner	50-CURRENT-1939-1941-AIRPOWER-AUDIT/45-FLEXIBLE-SPALL-LINER-1939-04-20-STATE-CANON-V8.md		TERMINOLOGY-AND-SUPERSESSION-GUARD-V9.tsv	1939-04-20; later replay explicitly 0 fitted through cited checkpoints	1939	CURRENT	engineering-ready is not field-fitted count	71-CURRENT-TECHNICAL-CONTROL-V9/02-TECHNICAL-ISSUE-REGISTER-V9.tsv
MARINE_GT	marine GT physical/program state	50-CURRENT-1939-1941-AIRPOWER-AUDIT/42-MARINE-GT-1939-04-20-STATE-CANON-V8.md		71-CURRENT-TECHNICAL-CONTROL-V9/90-RETAINED-PARENTS/asai-works-surface-ship-large-marine-rebaseline-1934-41.md;71-CURRENT-TECHNICAL-CONTROL-V9/90-RETAINED-PARENTS/asai-works-marine-gt-small-craft-design-closure-1938-43.md	1939-04-20	1938-43 technical/procurement shadows	CURRENT	42 controls Apr20 execution count and standard E5 rating; retained parents supply detailed design baselines	71-CURRENT-TECHNICAL-CONTROL-V9/02-TECHNICAL-ISSUE-REGISTER-V9.tsv
NAVAL_LARGE	large surface ship propulsion/design computation	71-CURRENT-TECHNICAL-CONTROL-V9/90-RETAINED-PARENTS/asai-works-surface-ship-large-marine-rebaseline-1934-41.md		50-CURRENT-1939-1941-AIRPOWER-AUDIT/42-MARINE-GT-1939-04-20-STATE-CANON-V8.md;71-CURRENT-TECHNICAL-CONTROL-V9/04-NAVAL-COMPUTATION-FCS-INTEGRATION-CLOSURE-V9.md	1939-04-20 physical execution controlled by 42	1934-41 technical	CURRENT-RETAINED	large-ship GT adoption remains conditional; no generic knot/shp/range bonus	71-CURRENT-TECHNICAL-CONTROL-V9/02-TECHNICAL-ISSUE-REGISTER-V9.tsv
SMALL_CRAFT	small high-speed craft / marine qualification design	71-CURRENT-TECHNICAL-CONTROL-V9/90-RETAINED-PARENTS/asai-works-marine-gt-small-craft-design-closure-1938-43.md		50-CURRENT-1939-1941-AIRPOWER-AUDIT/42-MARINE-GT-1939-04-20-STATE-CANON-V8.md	1939-04-20 execution count controlled by 42	1938-43 technical	CURRENT-RETAINED	1,300hp E5-dependent rows remain conditional under later 1,000hp standard product warning	71-CURRENT-TECHNICAL-CONTROL-V9/02-TECHNICAL-ISSUE-REGISTER-V9.tsv
TANK_DETAIL	Chi-Ha to Chi-He computation/material/engine detail	71-CURRENT-TECHNICAL-CONTROL-V9/90-RETAINED-PARENTS/asai-works-tank-early-computation-materials-rebaseline-1928-41.md		71-CURRENT-TECHNICAL-CONTROL-V9/90-RETAINED-PARENTS/asai-works-tank-computation-rebaseline-1938-41.md;71-CURRENT-TECHNICAL-CONTROL-V9/90-RETAINED-PARENTS/asai-works-tank-diesel-turbo.md;50-CURRENT-1939-1941-AIRPOWER-AUDIT/47-1939-04-20-HISTORICAL-VEHICLE-DELTA-CANON-V8.md	1939-04-20 replay facing state controlled by 47	1928-41 technical	CURRENT-RETAINED	47/47A outrank for current replay; 200hp continuous/220hp short retained	71-CURRENT-TECHNICAL-CONTROL-V9/02-TECHNICAL-ISSUE-REGISTER-V9.tsv
GROUND_VEHICLE	mobile power / workshop / support vehicle physical state	50-CURRENT-1939-1941-AIRPOWER-AUDIT/44-GROUND-MOBILE-POWER-VEHICLE-1939-04-20-CANON-V8.md		50-CURRENT-1939-1941-AIRPOWER-AUDIT/47-1939-04-20-HISTORICAL-VEHICLE-DELTA-CANON-V8.md	1939-04-20	later allocations event-gated	CURRENT	do not back-propagate Nomonhan allocation/field-validation	71-CURRENT-TECHNICAL-CONTROL-V9/02-TECHNICAL-ISSUE-REGISTER-V9.tsv
VEHICLE_DELTA	historical vehicle hardware delta	50-CURRENT-1939-1941-AIRPOWER-AUDIT/47-1939-04-20-HISTORICAL-VEHICLE-DELTA-CANON-V8.md	50-CURRENT-1939-1941-AIRPOWER-AUDIT/47A-1939-04-20-HISTORICAL-VEHICLE-DELTA-LEDGER-V8.tsv	50-CURRENT-1939-1941-AIRPOWER-AUDIT/50-HISTORICAL-DESIGNATION-NOT-IDENTICAL-HARDWARE-GUARD-V8.md	1939-04-20	replay	CURRENT	hardware delta is distinct from battlefield mobility and OOB	71-CURRENT-TECHNICAL-CONTROL-V9/02-TECHNICAL-ISSUE-REGISTER-V9.tsv
FIRE_CONTROL	fire control / sighting / bombing / ship FCS chain	50-CURRENT-1939-1941-AIRPOWER-AUDIT/51-FIRE-CONTROL-SIGHTING-BOMBING-INTEGRATION-CANON-V8.md	50-CURRENT-1939-1941-AIRPOWER-AUDIT/51A-FIRE-CONTROL-SIGHTING-APPLICATION-LEDGER-V8.tsv	71-CURRENT-TECHNICAL-CONTROL-V9/04-NAVAL-COMPUTATION-FCS-INTEGRATION-CLOSURE-V9.md	date/type/local adoption	1938-45 technical	CURRENT-HIGH	51/51A supersede archived cross-domain fire-optics on conflicting current interpretation	71-CURRENT-TECHNICAL-CONTROL-V9/02-TECHNICAL-ISSUE-REGISTER-V9.tsv
NAVAL_FCS	shipboard computation / FCS integration depth	71-CURRENT-TECHNICAL-CONTROL-V9/07-NAVAL-FCS-CLASS-CLOSEOUT-V9.md	71-CURRENT-TECHNICAL-CONTROL-V9/07A-NAVAL-FCS-CLASS-LEDGER-V9.tsv	71-CURRENT-TECHNICAL-CONTROL-V9/04-NAVAL-COMPUTATION-FCS-INTEGRATION-CLOSURE-V9.md;50-CURRENT-1939-1941-AIRPOWER-AUDIT/51-FIRE-CONTROL-SIGHTING-BOMBING-INTEGRATION-CANON-V8.md;71-CURRENT-TECHNICAL-CONTROL-V9/05-CHEAT-DISTANCE-AND-TRANSFER-GUARD-V9.md	1939 class baselines / design-stage where stated	1938-45 technical	CURRENT-V9-CLOSED-BASELINE	class R baselines closed; individual later refits/radar/equipment remain event/type gated; FCS0-FCS4 remains separate	71-CURRENT-TECHNICAL-CONTROL-V9/02-TECHNICAL-ISSUE-REGISTER-V9.tsv
RELATIVE_MOBILITY	terrain / timing / relative mobility	50-CURRENT-1939-1941-AIRPOWER-AUDIT/52-RELATIVE-MOBILITY-GEOMETRY-TIMING-CANON-V8.md	50-CURRENT-1939-1941-AIRPOWER-AUDIT/52A-RELATIVE-MOBILITY-GEOMETRY-TIMING-LEDGER-V8.tsv	50-CURRENT-1939-1941-AIRPOWER-AUDIT/47-1939-04-20-HISTORICAL-VEHICLE-DELTA-CANON-V8.md	event terrain/time	replay	CURRENT-HIGH	hardware power does not directly equal terrain movement rate	71-CURRENT-TECHNICAL-CONTROL-V9/02-TECHNICAL-ISSUE-REGISTER-V9.tsv
RECON_DEEP_FIRE	photo reconnaissance / target folder / deep-fire routing	50-CURRENT-1939-1941-AIRPOWER-AUDIT/53-AERIAL-PHOTO-RECON-DEEP-FIRE-INTEGRATION-CANON-V8.md	50-CURRENT-1939-1941-AIRPOWER-AUDIT/53A-AERIAL-PHOTO-RECON-DEEP-FIRE-LEDGER-V8.tsv	50-CURRENT-1939-1941-AIRPOWER-AUDIT/51-FIRE-CONTROL-SIGHTING-BOMBING-INTEGRATION-CANON-V8.md	event dependent	1939 replay	CURRENT-HIGH	information gain and weapon aiming are separate stages	71-CURRENT-TECHNICAL-CONTROL-V9/02-TECHNICAL-ISSUE-REGISTER-V9.tsv
IDENTITY	same designation / different hardware	50-CURRENT-1939-1941-AIRPOWER-AUDIT/50-HISTORICAL-DESIGNATION-NOT-IDENTICAL-HARDWARE-GUARD-V8.md	50-CURRENT-1939-1941-AIRPOWER-AUDIT/50A-HISTORICAL-DESIGNATION-DIFFERENCE-LEDGER-V8.tsv	TERMINOLOGY-AND-SUPERSESSION-GUARD-V9.tsv	all	all	CURRENT-HIGH	resolve identity before copying historical performance or ready rates	71-CURRENT-TECHNICAL-CONTROL-V9/02-TECHNICAL-ISSUE-REGISTER-V9.tsv
