issue_id	family	question	prior_problem	status_current	V9_ruling	authority	remaining_gate	priority
TECH-013	NAVAL_FCS_INTEGRATION	How deeply is an FCS change integrated into a ship?	Old R0-R3 existed only in a discussion overlay and was lost in current routing.	CLOSED-TAXONOMY	R0-R3 remains integration depth separate from FCS0-FCS4. TECHCLOSE2 now assigns class baselines through paid modernization/new-build windows; individual exceptions remain event-local.	71-CURRENT-TECHNICAL-CONTROL-V9/07-NAVAL-FCS-CLASS-CLOSEOUT-V9.md;71-CURRENT-TECHNICAL-CONTROL-V9/07A-NAVAL-FCS-CLASS-LEDGER-V9.tsv	individual-ship exception or later refit only	P0
TECH-014	NAVAL_FCS_CLASSES	Which existing ship/class has which R0-R3 state in 1939?	No class-by-class current ledger.	CLOSED-CLASS-BASELINE / EVENT-GATED	Class-level 1939/default design states are closed in 07A: carriers, capital ships, selected cruisers and destroyer cohorts receive R0-R3 baselines based on actual modernization/new-build windows and CD3 Navy institutional absorption. Radar and later individual changes remain local.	71-CURRENT-TECHNICAL-CONTROL-V9/07-NAVAL-FCS-CLASS-CLOSEOUT-V9.md;71-CURRENT-TECHNICAL-CONTROL-V9/07A-NAVAL-FCS-CLASS-LEDGER-V9.tsv	individual ship exception; later damage/refit/equipment event	P0
TECH-015	NAVAL_EMBEDDED_COMPUTATION	Can 1938-40 computation capability produce dedicated shipboard analog/electrical modules?	Older parent said yes but current interpretation was scattered.	CLOSED-TECH	Yes. Fixed-function modules are compatible with the 1938-40 technical band. Navy CD3 gunnery/ordnance organizations can develop/use them with Asai CD2 electromechanical support; this does not imply a general-purpose ship computer.	71-CURRENT-TECHNICAL-CONTROL-V9/05-CHEAT-DISTANCE-AND-TRANSFER-GUARD-V9.md;71-CURRENT-TECHNICAL-CONTROL-V9/04-NAVAL-COMPUTATION-FCS-INTEGRATION-CLOSURE-V9.md	Specific equipment weight/MTBF/I-O error and adopted ship list	P1
TECH-016	NAVAL_RADAR_FCS	Does computation/electronics progress auto-fit shipboard radar/director?	Backflow risk.	CLOSED-GUARD / EVENT-GATED	No auto-fit. R3 infrastructure can reserve space/power/interfaces, but radar/director hardware still needs its own type/date/quantity/adoption event.	71-CURRENT-TECHNICAL-CONTROL-V9/07-NAVAL-FCS-CLASS-CLOSEOUT-V9.md;TERMINOLOGY-AND-SUPERSESSION-GUARD-V9.tsv	specific radar/director type/date/ship event	P0
TECH-017	NAVAL_LARGE	Large-ship diesel/GT/design-computation branch remained an old P1 open	Post-computation audit item 9 was stale after later v28 work.	CLOSED-TECH / PROCUREMENT CONDITIONAL	Promote detailed large-surface-ship parent. A-140F6 all-steam remains central; large-ship GT is conditional and no generic knot/shp/range bonus applies.	71-CURRENT-TECHNICAL-CONTROL-V9/90-RETAINED-PARENTS/asai-works-surface-ship-large-marine-rebaseline-1934-41.md;50-CURRENT-1939-1941-AIRPOWER-AUDIT/42-MARINE-GT-1939-04-20-STATE-CANON-V8.md	Specific ship procurement/refit/installation	P0
TECH-018	SMALL_CRAFT	Small-craft detailed technical parent was support-only	Routing and authority conflict with support README.	CLOSED-ROUTING	Promote small-craft design parent subordinate to 42 for Apr20 physical execution. Technical design remains closed/rebased; actual procurement remains conditional.	71-CURRENT-TECHNICAL-CONTROL-V9/90-RETAINED-PARENTS/asai-works-marine-gt-small-craft-design-closure-1938-43.md;50-CURRENT-1939-1941-AIRPOWER-AUDIT/42-MARINE-GT-1939-04-20-STATE-CANON-V8.md	E5 qualification craft execution; E6 procurement	P0
TECH-019	MARINE_QUAL_CRAFT	Does an E5 marine qualification craft physically exist on 1939-04-20?	Detailed design could be mistaken for execution.	CLOSED-STATE	No: current Apr20 state asserts zero completed/in-service E5 qualification craft; design architecture can exist without the event.	50-CURRENT-1939-1941-AIRPOWER-AUDIT/42-MARINE-GT-1939-04-20-STATE-CANON-V8.md	Later order/build/launch/trial event	P0
TECH-020	TANK_DETAIL	Where is the detailed source behind Chi-Ha 200/220hp and computation/material changes?	47 referenced later v27 tank parent but live V9 routing omitted it.	CLOSED-DATA/ROUTING	Promote v27 early computation/material, Chi-Ha->Chi-He bridge and diesel-turbo parents; 47/47A remain replay-facing current authority.	71-CURRENT-TECHNICAL-CONTROL-V9/90-RETAINED-PARENTS/asai-works-tank-early-computation-materials-rebaseline-1928-41.md;71-CURRENT-TECHNICAL-CONTROL-V9/90-RETAINED-PARENTS/asai-works-tank-computation-rebaseline-1938-41.md;71-CURRENT-TECHNICAL-CONTROL-V9/90-RETAINED-PARENTS/asai-works-tank-diesel-turbo.md;50-CURRENT-1939-1941-AIRPOWER-AUDIT/47-1939-04-20-HISTORICAL-VEHICLE-DELTA-CANON-V8.md	Exact gear ratios/cooling airflow etc only if needed	P0
TECH-021	VEHICLE_MOBILITY	Can engine/hardware delta be used directly as battlefield movement speed?	Potential category conflation.	CLOSED-METHOD	No. 47/47A is hardware; 52/52A is terrain/geometry/timing mobility; OOB/serviceability remains separate.	50-CURRENT-1939-1941-AIRPOWER-AUDIT/47-1939-04-20-HISTORICAL-VEHICLE-DELTA-CANON-V8.md;50-CURRENT-1939-1941-AIRPOWER-AUDIT/52-RELATIVE-MOBILITY-GEOMETRY-TIMING-CANON-V8.md	Event-specific terrain and route	P0
TECH-022	RADIO_RADAR_RELIABILITY	Asai-chain radio/radar reliability and packaging	Old post-computation audit kept vacuum tube/ferrite/sealing/power/vibration/EMI/QC integration open.	CLOSED-METHOD / EQUIPMENT-LOCAL	Close the broad issue: Asai-origin ferrite/sealing/power/QC/maintenance methods may transfer through paid CD2 channels and be absorbed at CD3. Do not assign a generic radio/radar ready-rate; each set/type retains its own package and field-reliability ledger.	71-CURRENT-TECHNICAL-CONTROL-V9/05-CHEAT-DISTANCE-AND-TRANSFER-GUARD-V9.md;71-CURRENT-TECHNICAL-CONTROL-V9/90-RETAINED-PARENTS/asai-works-computation-ferrite-cipher-memory.md	set/type-specific reliability only when material	P1
TECH-023	EMBEDDED_CALCULATOR_DETAIL	Dedicated calculator component count, mass, MTBF, I/O error, quantity	Old audit classed these P2.	CLOSED-CONTROL / EQUIPMENT-LOCAL	No global calculator-detail open is required. Architecture/timing is closed; mass/MTBF/I-O/component count/quantity belong to the specific equipment record when a chosen device affects ship weight, power, readiness or production.	71-CURRENT-TECHNICAL-CONTROL-V9/04-NAVAL-COMPUTATION-FCS-INTEGRATION-CLOSURE-V9.md;71-CURRENT-TECHNICAL-CONTROL-V9/05-CHEAT-DISTANCE-AND-TRANSFER-GUARD-V9.md	specific equipment ledger only	P2
TECH-024	SURVEY_MET_TABLES	Survey/artillery met/firing-table computation effect	Old audit left broad area open; later 51/53 close part of the chain.	CLOSED-METHOD / EVENT-GATED	The method is closed: tables/survey/data reduction may benefit through institutional computation, but field met/comms/observer capacity is a unit/theater event input rather than a global technical open.	50-CURRENT-1939-1941-AIRPOWER-AUDIT/51-FIRE-CONTROL-SIGHTING-BOMBING-INTEGRATION-CANON-V8.md;50-CURRENT-1939-1941-AIRPOWER-AUDIT/53-AERIAL-PHOTO-RECON-DEEP-FIRE-INTEGRATION-CANON-V8.md;71-CURRENT-TECHNICAL-CONTROL-V9/05-CHEAT-DISTANCE-AND-TRANSFER-GUARD-V9.md	unit/theater event inputs only	P1
TECH-025	OPEN_SCOPE	Is 70/.../10-OPEN-ISSUES-V9.tsv the full technical open list?	Could be misread as global.	CLOSED-CONTROL	No. 70/.../10 is session/combat future queue. Technical open/closed status is controlled by this register.	71-CURRENT-TECHNICAL-CONTROL-V9/02-TECHNICAL-ISSUE-REGISTER-V9.tsv;70-CURRENT-2026-09-05-SESSION-CLOSE/10-OPEN-ISSUES-V9.tsv	Maintain both queues separately	P0
TECH-026	CHEAT_RULES	Is there one current index for cheat distance, aircraft/engine transformation stages, identity, subsystem maturity and deployment/effect gates?	Rules existed across 00A/49/50/51/05 and older H-to-A material, making stage skipping or double counting easy during restart.	CLOSED-CONTROL	Use 08 compendium plus 08A rule index and 08B stage taxonomy. H->C->M->E->P->I->A is consolidated as current method; local V8/V9 numerical/type canon still controls values.	71-CURRENT-TECHNICAL-CONTROL-V9/08-CHEAT-RULE-COMPENDIUM-V9.md;71-CURRENT-TECHNICAL-CONTROL-V9/08A-CHEAT-RULE-INDEX-V9.tsv;71-CURRENT-TECHNICAL-CONTROL-V9/08B-TECHNICAL-STAGE-TAXONOMY-V9.tsv	Add a domain-specific taxonomy only if a new technology cannot be represented by the current axes	P0
