rule_id	family	scope	current_ruling	forbidden_shortcut	primary_authority	status
CR-011	CHEAT_DISTANCE	organization	use CD0-CD4 to identify source of answer-selection advantage; no scalar decay	CD1/CD2 equals a percentage of cheat	71-CURRENT-TECHNICAL-CONTROL-V9/05-CHEAT-DISTANCE-AND-TRANSFER-GUARD-V9.md	CLOSED-RULE
CR-012	TRANSFER_NONDECAY	customer assets	paid/transferred machines, rooms, training, methods and local improvements remain customer assets	Asai absent therefore Navy/customer loses tools	71-CURRENT-TECHNICAL-CONTROL-V9/05-CHEAT-DISTANCE-AND-TRANSFER-GUARD-V9.md	CLOSED-RULE
CR-013	NO_REMOTE_CLONE	external organizations	personal foreknowledge remains CD0 unless concretely transferred; specialists solve domain-specific problems	all Navy/industry engineers behave as reincarnators	71-CURRENT-TECHNICAL-CONTROL-V9/05-CHEAT-DISTANCE-AND-TRANSFER-GUARD-V9.md	CLOSED-RULE
CR-014	SPECIALIST_LIMIT	crypto/naval doctrine/etc	CD0 can supply broad concept/instrumentation/workflow but does not manufacture specialist target-specific insight	Asai automatically solves enemy cipher or Navy doctrine	71-CURRENT-TECHNICAL-CONTROL-V9/05-CHEAT-DISTANCE-AND-TRANSFER-GUARD-V9.md	CLOSED-RULE
CR-015	COMPUTATION_MATURITY	customer computation	U1-U4 is organizational computation maturity and independent of CD distance	U4 means CD0 or access to Asai hidden methods	71-CURRENT-TECHNICAL-CONTROL-V9/08-CHEAT-RULE-COMPENDIUM-V9.md	CLOSED-TAXONOMY
CR-016	AIRCRAFT_REBASE	aircraft	use H->C->M->E->P->I->A; N/O only after adopted states are compared	add standard Asai upgrades directly to historical datasheet	71-CURRENT-TECHNICAL-CONTROL-V9/08-CHEAT-RULE-COMPENDIUM-V9.md	CLOSED-TAXONOMY
CR-017	ENGINE_REBASE	piston/GT analogous	separate EH/EC/EMQ/ES/EI/EA so engine core/process/system/adoption are not double counted	put all engine development into aircraft installation E	71-CURRENT-TECHNICAL-CONTROL-V9/08-CHEAT-RULE-COMPENDIUM-V9.md	CLOSED-TAXONOMY
CR-018	AIRCRAFT_SUBSYSTEM_MATURITY	engine/prop/cooling	state EA-D/Q/S, PA-D/Q/S and CI-D/Q/S separately	prototype flight means service/serial qualification	50-CURRENT-1939-1941-AIRPOWER-AUDIT/11-HOMARE-QUARTERLY-DEVELOPMENT-QUALIFICATION-CANON-V8.md;50-CURRENT-1939-1941-AIRPOWER-AUDIT/15-HIGH-POWER-PROPELLER-COOLING-INTEGRATION-CANON-V8.md	CLOSED-TAXONOMY
CR-019	IDENTITY	aircraft/vehicle/ship	resolve ID0-ID5/IDH before copying historical specification or ready rate	same designation means identical hardware/state	50-CURRENT-1939-1941-AIRPOWER-AUDIT/50-HISTORICAL-DESIGNATION-NOT-IDENTICAL-HARDWARE-GUARD-V8.md	CLOSED-TAXONOMY
CR-020	EXHAUST_STATE	piston aircraft	EX0-EX3 is state differential; historical EX2 anchor consumes full EX0->EX2 benefit	add collector-to-stack benefit to historical EX2 aircraft	50-CURRENT-1939-1941-AIRPOWER-AUDIT/49-PISTON-EXHAUST-ENERGY-RECOVERY-CANON-V8.md	CLOSED-TAXONOMY
CR-021	MATERIAL_DOUBLE_COUNT	aircraft/structures	material already contained in H is not an additional Asai card; maturity and adoption separate	re-add historical advanced material and future material capability	71-CURRENT-TECHNICAL-CONTROL-V9/08-CHEAT-RULE-COMPENDIUM-V9.md	CLOSED-RULE
CR-022	INTEGRATED_AIRCRAFT	aircraft performance	I state must solve coupled mass/CG/power/drag/prop/range/control/carrier limits	add maximum independent deltas into dream aircraft	71-CURRENT-TECHNICAL-CONTROL-V9/08-CHEAT-RULE-COMPENDIUM-V9.md	CLOSED-RULE
CR-023	ADOPTION_REINVESTMENT	aircraft/vehicle design	A state chooses where technical margin is spent; possible equipment is not automatically fitted	all possible protection/firepower/range/speed improvements appear together	71-CURRENT-TECHNICAL-CONTROL-V9/08-CHEAT-RULE-COMPENDIUM-V9.md	CLOSED-RULE
CR-024	NICHE_REGENERATION	aircraft programs	compare contemporary A states then regenerate niche N and original program O	preserve old fictional/original aircraft role regardless of rebaseline	71-CURRENT-TECHNICAL-CONTROL-V9/08-CHEAT-RULE-COMPENDIUM-V9.md	CLOSED-RULE
CR-025	OOB_STATE	units/equipment	separate count -> worldline lot/config -> serviceable -> forward -> combat used	historical OOB count copies historical config and ready rate	TERMINOLOGY-AND-SUPERSESSION-GUARD-V9.tsv	CLOSED-RULE
CR-026	SHIP_HEADLINE_CHAIN	ships/carriers	separate hull/machinery/power/speed/WOD/aircraft handling/capacity/sortie chain	better machinery/QC means generic knots/range/sortie gain	50-CURRENT-1939-1941-AIRPOWER-AUDIT/50-HISTORICAL-DESIGNATION-NOT-IDENTICAL-HARDWARE-GUARD-V8.md	CLOSED-RULE
CR-027	NAVAL_FCS_AXES	ships	FCS0-FCS4 technical maturity and R0-R3 ship integration are independent	FCS3 means every ship R3 or R3 means future FCS fitted	71-CURRENT-TECHNICAL-CONTROL-V9/04-NAVAL-COMPUTATION-FCS-INTEGRATION-CLOSURE-V9.md	CLOSED-TAXONOMY
CR-028	EMBEDDED_COMPUTATION	ship/aircraft/vehicle	central machine does not imply onboard machine; dedicated package must pay weight/power/environment/reliability/production/adoption	install shore computer capability directly aboard platform	TERMINOLOGY-AND-SUPERSESSION-GUARD-V9.tsv	CLOSED-RULE
CR-029	CRYPTO_CHAIN	cryptography/SIGINT	close collection->analysis->insight/key->machine->decrypt->translation->fusion->distribution->exploitation for named target/date	mechanized cryptanalysis means enemy cipher is readable	71-CURRENT-TECHNICAL-CONTROL-V9/06-CRYPTO-SIGINT-INSTITUTIONAL-CLOSEOUT-V9.md	CLOSED-RULE
CR-030	FIRE_EFFECT_CHAIN	weapons/bombing/AA	resolve observation->sight->input->calculation->indication->boresight/release->ammo->crew->environment->effect	copy historical hit rate or multiply several upstream bonuses	50-CURRENT-1939-1941-AIRPOWER-AUDIT/51-FIRE-CONTROL-SIGHTING-BOMBING-INTEGRATION-CANON-V8.md	CLOSED-RULE
CR-031	ALLOCATION_LOCALITY	all theaters/units	technical or saved capital reaches named theater/unit only through explicit allocation/reassignment	available/saved stock instantly benefits every theater	TERMINOLOGY-AND-SUPERSESSION-GUARD-V9.tsv	CLOSED-RULE
CR-032	STOP_LINE	all technical	state explicitly what remains unclosed after each closure	interpret silence as adoption/quantity/field validation	71-CURRENT-TECHNICAL-CONTROL-V9/08-CHEAT-RULE-COMPENDIUM-V9.md	CLOSED-RULE
