axis	code	meaning	gate_or_use	does_not_imply	primary_authority
ENGINE_REBASE	ES	engine internal systems	supercharger/reduction/fuel/ignition/lubrication/internal cooling/accessories	aircraft cowl/intake/exhaust installation	71-CURRENT-TECHNICAL-CONTROL-V9/08-CHEAT-RULE-COMPENDIUM-V9.md
ENGINE_REBASE	EI	integrated engine state	ratings/map/mass/BSFC/temperature/endurance/failure/maintenance resolved together	serial/adoption by service	71-CURRENT-TECHNICAL-CONTROL-V9/08-CHEAT-RULE-COMPENDIUM-V9.md
ENGINE_REBASE	EA	adoptable engine	manufacturer/service can contract/produce/train/procure/test	specific aircraft installation or quantity	71-CURRENT-TECHNICAL-CONTROL-V9/08-CHEAT-RULE-COMPENDIUM-V9.md
ENGINE_AVAILABILITY	EA-D	development-flight engine	prototype/development flight under manufacturer support	service qualification or serial reproducibility	50-CURRENT-1939-1941-AIRPOWER-AUDIT/11-HOMARE-QUARTERLY-DEVELOPMENT-QUALIFICATION-CANON-V8.md
ENGINE_AVAILABILITY	EA-Q	service-qualified engine	approved fuel/oil/operating envelope and installation qualification	series quantity/repeatability	50-CURRENT-1939-1941-AIRPOWER-AUDIT/11-HOMARE-QUARTERLY-DEVELOPMENT-QUALIFICATION-CANON-V8.md
ENGINE_AVAILABILITY	EA-S	series-repeatable engine	production lots reproduce qualified state with controlled variance	unlimited national quantity/allocation	50-CURRENT-1939-1941-AIRPOWER-AUDIT/11-HOMARE-QUARTERLY-DEVELOPMENT-QUALIFICATION-CANON-V8.md
PROPELLER_AVAILABILITY	PA-D	propeller available for development	development flight under explicit envelope	service release	50-CURRENT-1939-1941-AIRPOWER-AUDIT/15-HIGH-POWER-PROPELLER-COOLING-INTEGRATION-CANON-V8.md
PROPELLER_AVAILABILITY	PA-Q	propeller installation qualified	representative engine-prop-airframe vibration/overspeed/governor/flight tests passed	serial quantity	50-CURRENT-1939-1941-AIRPOWER-AUDIT/15-HIGH-POWER-PROPELLER-COOLING-INTEGRATION-CANON-V8.md
PROPELLER_AVAILABILITY	PA-S	propeller serial-reproducible	tooling/gauges/acceptance frozen enough for repeatability	unlimited national quantity	50-CURRENT-1939-1941-AIRPOWER-AUDIT/15-HIGH-POWER-PROPELLER-COOLING-INTEGRATION-CANON-V8.md
COOLING_AVAILABILITY	CI-D	cooling installation development	instrumented ground/limited-flight installation	qualified hot-day/service envelope	50-CURRENT-1939-1941-AIRPOWER-AUDIT/15-HIGH-POWER-PROPELLER-COOLING-INTEGRATION-CANON-V8.md
COOLING_AVAILABILITY	CI-Q	cooling installation qualified	hot-day climb/sustained power/high-speed/ground/altitude oil cases closed	serial reproducibility	50-CURRENT-1939-1941-AIRPOWER-AUDIT/15-HIGH-POWER-PROPELLER-COOLING-INTEGRATION-CANON-V8.md
COOLING_AVAILABILITY	CI-S	cooling installation serial-reproducible	geometry and acceptance checks frozen for serial manufacture	allocation or combat reliability	50-CURRENT-1939-1941-AIRPOWER-AUDIT/15-HIGH-POWER-PROPELLER-COOLING-INTEGRATION-CANON-V8.md
IDENTITY	ID0	near-historical hardware	historical headline usable unless locally changed	historical ready rate	50-CURRENT-1939-1941-AIRPOWER-AUDIT/50-HISTORICAL-DESIGNATION-NOT-IDENTICAL-HARDWARE-GUARD-V8.md
IDENTITY	ID1	same designation installed-system delta	propulsion/prop/exhaust/cooling/transmission/electrical installation differs	full historical datasheet identity	50-CURRENT-1939-1941-AIRPOWER-AUDIT/50-HISTORICAL-DESIGNATION-NOT-IDENTICAL-HARDWARE-GUARD-V8.md
IDENTITY	ID2	same designation production delta	material/process/QC/acceptance changes realized performance/life/variance	configuration unchanged in all details	50-CURRENT-1939-1941-AIRPOWER-AUDIT/50-HISTORICAL-DESIGNATION-NOT-IDENTICAL-HARDWARE-GUARD-V8.md
IDENTITY	ID3	same designation service-state delta	availability/repair/radio/workflow/support differs	headline hardware performance necessarily changes	50-CURRENT-1939-1941-AIRPOWER-AUDIT/50-HISTORICAL-DESIGNATION-NOT-IDENTICAL-HARDWARE-GUARD-V8.md
IDENTITY	ID4	lot/variant split	early/late/depot retrofit states require date/serial/lot	blanket fleet upgrade	50-CURRENT-1939-1941-AIRPOWER-AUDIT/50-HISTORICAL-DESIGNATION-NOT-IDENTICAL-HARDWARE-GUARD-V8.md
IDENTITY	ID5	designation remap/collision	name/code maps to different worldline hardware	historical same-name specifications	50-CURRENT-1939-1941-AIRPOWER-AUDIT/50-HISTORICAL-DESIGNATION-NOT-IDENTICAL-HARDWARE-GUARD-V8.md
IDENTITY	IDH	historical anchor only	comparison/calibration object requiring rebaseline pass	worldline production article	50-CURRENT-1939-1941-AIRPOWER-AUDIT/50-HISTORICAL-DESIGNATION-NOT-IDENTICAL-HARDWARE-GUARD-V8.md
EXHAUST	EX0	collector/common exhaust	no meaningful rearward momentum recovery credit	individual-thrust benefit	50-CURRENT-1939-1941-AIRPOWER-AUDIT/49-PISTON-EXHAUST-ENERGY-RECOVERY-CANON-V8.md
EXHAUST	EX1	individual non-integrated exhaust	separate stubs without optimized thrust-recovery integration	full EX2 credit automatically	50-CURRENT-1939-1941-AIRPOWER-AUDIT/49-PISTON-EXHAUST-ENERGY-RECOVERY-CANON-V8.md
EXHAUST	EX2	thrust individual/ejector exhaust	intentional rearward momentum recovery; gross collector-to-stack gain consumed	full EX0->EX2 card again	50-CURRENT-1939-1941-AIRPOWER-AUDIT/49-PISTON-EXHAUST-ENERGY-RECOVERY-CANON-V8.md
EXHAUST	EX3	integrated exhaust-energy recovery	EX2 plus nozzle/back-pressure/cooling/life/repeatability/A-B closure	large new collector-to-stack bonus	50-CURRENT-1939-1941-AIRPOWER-AUDIT/49-PISTON-EXHAUST-ENERGY-RECOVERY-CANON-V8.md
FIRE_CONTROL	FCS0	historical/basic fire-control chain	no current worldline change beyond service variation	better computation automatically	50-CURRENT-1939-1941-AIRPOWER-AUDIT/51-FIRE-CONTROL-SIGHTING-BOMBING-INTEGRATION-CANON-V8.md
FIRE_CONTROL	FCS1	calibration/QC chain	historical sight/director retained; calibration/boresight/QC/maintenance improved	gyro/automatic lead or terminal-effect bonus	50-CURRENT-1939-1941-AIRPOWER-AUDIT/51-FIRE-CONTROL-SIGHTING-BOMBING-INTEGRATION-CANON-V8.md
FIRE_CONTROL	FCS2	dedicated sight/calculator/workflow improvement	modified sight/mechanical calculator/transmission/formalized tables adopted	integrated automatic system	50-CURRENT-1939-1941-AIRPOWER-AUDIT/51-FIRE-CONTROL-SIGHTING-BOMBING-INTEGRATION-CANON-V8.md
FIRE_CONTROL	FCS3	integrated gyro/electrical/analog assistance	synchro/resolver/gyro/servo/dedicated continuous analog reduces workload/delay	fleetwide fit	50-CURRENT-1939-1941-AIRPOWER-AUDIT/51-FIRE-CONTROL-SIGHTING-BOMBING-INTEGRATION-CANON-V8.md
FIRE_CONTROL	FCS4	mature integrated director/automatic follow-up	local weapon/director/servo/sensor audit required	inferred from computation capability alone	50-CURRENT-1939-1941-AIRPOWER-AUDIT/51-FIRE-CONTROL-SIGHTING-BOMBING-INTEGRATION-CANON-V8.md
SHIP_INTEGRATION	R0	calibration/function package	little structural/electrical alteration	new director architecture	71-CURRENT-TECHNICAL-CONTROL-V9/04-NAVAL-COMPUTATION-FCS-INTEGRATION-CLOSURE-V9.md
SHIP_INTEGRATION	R1	transmitters/wiring/synchronization	angle/data transmission, repeaters, power/interface work	full system replacement	71-CURRENT-TECHNICAL-CONTROL-V9/04-NAVAL-COMPUTATION-FCS-INTEGRATION-CLOSURE-V9.md
SHIP_INTEGRATION	R2	director/AA FCS/switchboard integration	director/FCS equipment plus target-allocation/switchboard work	R3 structural architecture	71-CURRENT-TECHNICAL-CONTROL-V9/04-NAVAL-COMPUTATION-FCS-INTEGRATION-CLOSURE-V9.md
SHIP_INTEGRATION	R3	complete architecture + structural foundations	foundations/routing/power/spaces/system architecture designed in	future hardware already installed	71-CURRENT-TECHNICAL-CONTROL-V9/04-NAVAL-COMPUTATION-FCS-INTEGRATION-CLOSURE-V9.md
