authority_rank	status	role	pointer	supersession_note
14	CURRENT-HIGH	Navy aircraft/torpedo naming-inheritance ledger	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-NAVAL-AIRCRAFT-TORPEDO-NAMING-INHERITANCE-LEDGER-V1.tsv	structured naming, torpedo-speed and inheritance closure
13.15	CURRENT-HIGH	B5N2 piston/TP comparative closeout	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-B5N2-PISTON-TP-COMPARATIVE-CLOSEOUT-1939-1941-V1.md	closes worldline B5N2 performance baseline, test-only E5-S-T conversion and 1941 Type91 inheritance
13.16	CURRENT-HIGH	B5N2 piston/TP comparative ledger	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-B5N2-PISTON-TP-COMPARATIVE-LEDGER-V1.tsv	structured historical anchors, EX2 delta, TP H->A and procurement verdict
13.17	CURRENT-HIGH	G3M2 piston/TP comparative closeout	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-G3M2-PISTON-TP-COMPARATIVE-CLOSEOUT-1939-1941-V1.md	closes G3M2 long-range gasoline baseline and rejects serial E5/E6-S-T G3M conversion
13.18	CURRENT-HIGH	G3M2 piston/TP comparative ledger	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-G3M2-PISTON-TP-COMPARATIVE-LEDGER-V1.tsv	structured G3M2 historical anchors, EX2 delta, torpedo-radius and TP comparisons
13.2	CURRENT-HIGH	E6 Twin cost/procurement rebase	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E6-TWIN-COST-PROCUREMENT-REBASELINE-1939-1940-V1.md	supersedes E6REBASE1 36-60 pilot-production band; 144 firm-order class +72 option / 120-156 accepted planning
13.3	CURRENT-HIGH	E6 Twin cost/procurement ledger	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E6-TWIN-COST-PROCUREMENT-LEDGER-V1.tsv	structured cost and 1940 ramp values
13.4	CURRENT-HIGH	E6 Twin mission/armament/high-speed release	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E6-TWIN-MISSION-ARMAMENT-HIGHSPEED-RELEASE-CLOSURE-1939-1940-V1.md	closes two-seat common mission architecture, ~0.40t internal bay, HSR/HSC service-release family; no combat-clock advance
13.5	CURRENT-HIGH	E6 Twin mission/release ledger	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E6-TWIN-MISSION-ARMAMENT-HIGHSPEED-RELEASE-LEDGER-V1.tsv	structured mission weights/load/release values
13.6	CURRENT-HIGH	E6 FRP ordnance carriage/high-speed stores	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E6-FRP-ORDNANCE-CARRIAGE-HIGHSPEED-STORE-CLOSURE-1939-1940-V1.md	refines E6MISSION1 with S6/S4/M1 adapters, HSR 50/60/100/250 and FRP store architecture; no combat-clock advance
13.7	CURRENT-HIGH	E6 FRP ordnance carriage ledger	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E6-FRP-ORDNANCE-CARRIAGE-HIGHSPEED-STORE-LEDGER-V1.tsv	structured adapter/store/release/material values
13.8	CURRENT-HIGH	E5/E6 1940 production transition / fleet accumulation	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E5-E6-1940-PRODUCTION-TRANSITION-FLEET-ACCUMULATION-CLOSEOUT-V1.md	closes residual 1939 E5 firm order and 1940 E5->E6 production-share transition; combat clock unchanged
13.9	CURRENT-HIGH	E5/E6 monthly transition ledger	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E5-E6-1940-PRODUCTION-TRANSITION-FLEET-LEDGER-V1.tsv	central 1940 acceptance/attrition-stock planning; losses are allowances not pre-recorded events
13.19	CURRENT-HIGH	1941 year-end aerial torpedo effectiveness/employment	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-1941-YEAREND-NAVAL-AERIAL-TORPEDO-EFFECTIVENESS-EMPLOYMENT-CLOSEOUT-V1.md	closes Mod1/Mod2 power/reliability, valid-release hit bands, damage ladder and multi-axis employment; no combat-clock advance
13.20	CURRENT-HIGH	1941 aerial torpedo effectiveness/employment ledger	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-1941-YEAREND-NAVAL-AERIAL-TORPEDO-EFFECTIVENESS-EMPLOYMENT-LEDGER-V1.tsv	structured weapon/reliability/hit-band/platform/formation planning values
13.21	CURRENT-HIGH	D3A1 piston/TP/dive-bombing closeout	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-D3A1-PISTON-TP-DIVE-BOMBING-COMPARATIVE-CLOSEOUT-1939-1941-V1.md	closes EX2 piston baseline, dive-bomb hit-realization bands, TP test-only decision and D4Y replacement opportunity gate
13.22	CURRENT-HIGH	D3A1 comparative/dive-bombing ledger	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-D3A1-PISTON-TP-DIVE-BOMBING-LEDGER-V1.tsv	structured airframe/performance/release/hit/TP/replacement values
13.23	CURRENT-HIGH	G4M1 piston/TP/long-range attack closeout	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-G4M1-PISTON-TP-LONGRANGE-ATTACK-COMPARATIVE-CLOSEOUT-1939-1941-V1.md	closes EX2 piston baseline, long-range torpedo role, level-bombing guard, TP rejection and ramp opportunity
13.24	CURRENT-HIGH	G4M1 comparative attack ledger	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-G4M1-PISTON-TP-LONGRANGE-ATTACK-COMPARATIVE-LEDGER-V1.tsv	structured performance/radius/bombing/TP/replacement values
14	CURRENT-HIGH	wet/heavy mobility/Chi-Ha	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-1939-WET-WEATHER-RIVER-CROSSING-HEAVY-MOBILITY-CHIHA-CLOSEOUT-V1.md	WET1 / 200-220hp / no deep wading
15	CURRENT-HIGH	winter GT	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-1939-WINTER-GT-COLD-START-HEAT-SUPPORT-CLOSEOUT-V1.md	temperature-banded supported-cluster effect
16	CURRENT-NEXT	1940 weapon appearance	76-CURRENT-1940-WEAPON-GATE-V10/ASAI-1940-WEAPON-APPEARANCE-FIELDING-LEDGER-V1.md	planning gate; combat clock not advanced
16.1	CURRENT-HIGH	cross-theater V2 ledger	74-CURRENT-CHINA-1939-REPLAY-V10/ASAI-1939-POST-NOMONHAN-CHINA-CROSS-THEATER-LEDGER-V2.tsv	supersedes V1 return wording
16.2	CURRENT-HIGH	cumulative audit through 1939	77-CURRENT-2026-09-07-SESSION-CLOSE/04-CUMULATIVE-AUDIT-THROUGH-1939-12-31-V10.md	aggregates only already-closed deltas
17	CURRENT-BASE	V9 technical control	71-CURRENT-TECHNICAL-CONTROL-V9/	still mandatory unless V10 technical addendum overrides
18	PROVENANCE	V9 session close	70-CURRENT-2026-09-05-SESSION-CLOSE/00-SESSION-HANDOFF-V9.md	baseline/provenance; Nomonhan/China clock superseded by V10
99	PROVENANCE-SUPERSEDED	post-V9 stale drafts	90-PROVENANCE-SUPERSEDED-POST-V9/	not current authority
13.25	CURRENT-HIGH	E7/E6 airframe retrofit prewar outlook	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E7-E6-AIRFRAME-RETROFIT-PREWAR-OUTLOOK-1940-1942-V1.md	1940-41 E7 research-close schedule, E6 Single/Twin retrofit H->A and future-aircraft engine-review rule
13.26	CURRENT-HIGH	E7/E6 retrofit outlook ledger	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E7-E6-AIRFRAME-RETROFIT-PREWAR-OUTLOOK-LEDGER-V1.tsv	structured schedule/capability/performance/design-target values
13.27	CURRENT-HIGH	E7 turboprop/shaft prewar outlook	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E7-TURBOPROP-SHAFT-PRODUCT-PREWAR-OUTLOOK-1940-1942-V1.md	E7 scale-sensitive shaft/TP product bands, B6N comparator, AT-3 growth and propeller gates; no future combat advance
13.28	CURRENT-HIGH	E7 turboprop/shaft outlook ledger	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E7-TURBOPROP-SHAFT-PRODUCT-PREWAR-OUTLOOK-LEDGER-V1.tsv	structured E7 S/M/L shaft-product and aircraft-selection outlook values
13.29	CURRENT-HIGH	B6N Tenzan piston/E6-S-T/E7-M-LF comparative outlook	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-B6N-TENZAN-PISTON-E6ST-E7M-TP-COMPARATIVE-OUTLOOK-1939-1942-V1.md	14-Shi carrier geometry; E7 lower-medium TP conditional main candidate; no future service pre-recorded
13.30	CURRENT-HIGH	B6N Tenzan comparative ledger	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-B6N-TENZAN-PISTON-E6ST-E7M-TP-COMPARATIVE-LEDGER-V1.tsv	structured piston/E6-S-T/E7-M-LF mass/performance/range/schedule outlook
13.31	CURRENT-HIGH	D4Y Suisei piston/E7-S-T comparative outlook	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-D4Y-SUISEI-PISTON-E7ST-TP-COMPARATIVE-OUTLOOK-1940-1942-V1.md	clean Atsuta comparator; E7-S-T small-core recon/fast-strike conditional branch; structural/replacement timing
13.32	CURRENT-HIGH	D4Y comparative ledger	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-D4Y-SUISEI-PISTON-E7ST-TP-COMPARATIVE-LEDGER-V1.tsv	structured mass/speed/range/dive/schedule/procurement outlook
13.33	CURRENT-HIGH	naval carrier TP D4Y/B6N application split	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-NAVY-CARRIER-TP-APPLICATION-SPLIT-D4Y-B6N-1941-1942-V1.md	E7-S vs E7-M scale split and shared naval bottlenecks
13.34	CURRENT-HIGH	E5-derived E6 fast-heavy-bomber outlook	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E5-DERIVED-E6-FAST-HEAVY-BOMBER-OUTLOOK-1938-1941-V1.md	E5 attack-driven dedicated 1.0-1.2t internal fast-bomber branch; E7 growth outlook; no future service pre-recorded
13.35	CURRENT-HIGH	E6 fast-heavy-bomber outlook ledger	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E5-DERIVED-E6-FAST-HEAVY-BOMBER-OUTLOOK-LEDGER-V1.tsv	structured requirement/mass/payload/performance/radius/E7-growth values
13.36	CURRENT-HIGH	E5/E6/E7 aircraft-engine family Army/Navy matrix	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-AIRCRAFT-ENGINE-GENERATION-FAMILY-ARMY-NAVY-MATRIX-1937-1942-V1.md	generation/core-scale/backend/airframe/service hierarchy; same-engine multiple-airframe and same-generation cross-core closure
13.37	CURRENT-HIGH	E5/E6/E7 aircraft-engine family structured ledger	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-AIRCRAFT-ENGINE-GENERATION-FAMILY-ARMY-NAVY-LEDGER-1937-1942-V1.tsv	structured E5-E7 engine-product/airframe/service crosswalk
13.38	CURRENT-HIGH	aircraft nomenclature alias/restoration guard	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-AIRCRAFT-NOMENCLATURE-ALIAS-RESTORATION-GUARD-V1.md	separates technical identity from provisional service naming; preserves old labels and permits formal restoration
13.39	CURRENT-HIGH	aircraft nomenclature alias/restoration ledger	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-AIRCRAFT-NOMENCLATURE-ALIAS-RESTORATION-LEDGER-V1.tsv	structured protected/prior labels vs working aliases
