topic	current_authority	intent_guard	status
uranium / nuclear branch	70-CURRENT-2026-09-05-SESSION-CLOSE/06-URANIUM-NUCLEAR-RESEARCH-HANDOFF-V9.md	laboratory/basic research branch allowed; no industrial enrichment or kg-scale enriched uranium at Aug1939	CURRENT
legacy V7 decision intent	DECISION-INTENT-INDEX-V7.tsv	provenance/fallback only; never override a V8/V9 current authority	PROVENANCE-ONLY
technical discussion routing	71-CURRENT-TECHNICAL-CONTROL-V9/01-TECHNICAL-DISCUSSION-INDEX-V9.tsv	route by technology family and question type; use local current parent/ledger rather than directory search	CURRENT-HIGH
technical open/closed status	71-CURRENT-TECHNICAL-CONTROL-V9/02-TECHNICAL-ISSUE-REGISTER-V9.tsv	this is the global technical issue register; 70/.../10 is not exhaustive for technology	CURRENT-HIGH
computation / cryptography	71-CURRENT-TECHNICAL-CONTROL-V9/03-COMPUTATION-CRYPTO-TECHNICAL-CLOSURE-V9.md	computation gives named engineering/workflow benefits, not generic performance; cryptanalytic machine capability does not imply named decrypt success	CURRENT-HIGH
naval computation / ship FCS integration	71-CURRENT-TECHNICAL-CONTROL-V9/04-NAVAL-COMPUTATION-FCS-INTEGRATION-CLOSURE-V9.md	separate FCS0-FCS4 technical maturity from R0-R3 ship integration depth and from actual class adoption	CURRENT-HIGH
China G3M exhaust state	70-CURRENT-2026-09-05-SESSION-CLOSE/11-G3M-CHONGQING-EX-STATE-CLOSEOUT-V9.md	Jun1939 replay uses conservative EX0-equivalent headline performance; do not invent unit EX2 fraction; named lot evidence may locally override	CURRENT-HIGH
Nomonhan special 37mm ammo flow	70-CURRENT-2026-09-05-SESSION-CLOSE/12A-NOMONHAN-SPECIAL-AMMO-FLOW-LEDGER-V9.tsv	use formal minimum accepted/forwarded flow and V9 912/288 Aug19 stock; exact factory gross output remains unasserted	CURRENT-HIGH
Nomonhan aviation stock-flow	70-CURRENT-2026-09-05-SESSION-CLOSE/13A-NOMONHAN-AVIATION-STOCKFLOW-LEDGER-V9.tsv	campaign stock-flow is closed at replay-sufficient level; only future named transfer/day questions reopen locally	CURRENT-HIGH
uranium Aug1939 system balance	70-CURRENT-2026-09-05-SESSION-CLOSE/14A-URANIUM-SYSTEM-BALANCE-LEDGER-V9.tsv	55-65 t-U center62 is scenario strategic system accounting, not Home-Islands-only or geological resources	CURRENT
RIKEN isotope research through Aug1939	70-CURRENT-2026-09-05-SESSION-CLOSE/15A-RIKEN-ISOTOPE-RESEARCH-LEDGER-V9.tsv	research state closed through date; no industrial enrichment/kg enriched U; future scale-up is new chronological gate	CURRENT
