topic	intent	current_authority
Army/Navy helicopter evaluation	formal evaluation and sponsorship in 1939-41; no ordinary service OOB	80-CURRENT-2026-09-08-HELICOPTER-CLOSE/02-ARMY-NAVY-HELICOPTER-EVALUATION-1939-1941-V1.md
H2 small turboshaft helicopter	close E5-S-S 330/360shp 1.35t machine, four development airframes by 1941YE, OOB zero	80-CURRENT-2026-09-08-HELICOPTER-CLOSE/03-H2-E5SS-SMALL-TURBOSHAFT-HELICOPTER-CLOSEOUT-1940-1941-V1.md
Kayaba interaction	independent rotorcraft actor; research exchange/comparison allowed; no forced joint design or auto-inventory	80-CURRENT-2026-09-08-HELICOPTER-CLOSE/05-KAYABA-INDEPENDENT-ROTORCRAFT-INTERACTION-GUARD-V1.md
H3 medium helicopter	1941 design/rig growth outlook only; no flight airframe before 1942 gate	80-CURRENT-2026-09-08-HELICOPTER-CLOSE/06-H3-MEDIUM-HELICOPTER-GROWTH-OUTLOOK-1941-1942-V1.md
ground 1941 accounting	separate new hulls, conversions, development articles, support packages and OOB	81-CURRENT-2026-09-09-GROUND-VEHICLE-CLOSE/01-1941-GROUND-VEHICLE-PROCUREMENT-PHYSICAL-INVENTORY-V1.tsv
next-medium tank	prewar technical-test research exists; production/service follows post-opening threat/trials/industrial gate	81-CURRENT-2026-09-09-GROUND-VEHICLE-CLOSE/02-TANK-FAMILY-AND-POSTWAR-BRANCH-CLOSEOUT-V1.md
naval Asai scope	technical ripple/collaboration, not control of Navy requirements, doctrine, procurement or ship primes	82-CURRENT-2026-09-09-NAVAL-MARINE-CLOSE/10-ASAI-NAVAL-SCOPE-AND-NONDOMINANCE-GUARD-V1.md
marine GT adoption	judge life/salt/gear/maintenance, not merely achievable shaft power or ship speed	82-CURRENT-2026-09-09-NAVAL-MARINE-CLOSE/02-MARINE-GT-RATING-LIFE-AND-QUALIFICATION-CLOSEOUT-V1.md
propulsion test ship	use permanent A/B sea laboratory because E6/larger-core/recuperation/electric test queue justifies dedicated infrastructure	82-CURRENT-2026-09-09-NAVAL-MARINE-CLOSE/03-YOKOSUKA-PROPULSION-TEST-SHIP-CLOSEOUT-V1.md
naval option value	track time from requirement to prototype/acceptance/production separately from current series inventory	82-CURRENT-2026-09-09-NAVAL-MARINE-CLOSE/04-SURFACE-FLEET-ARCHITECTURE-OPTION-VALUE-CLOSEOUT-V1.md
carrier GT / STOL	do not retrofit slow carriers for speed prewar; 1942+ powered-lift qualification may create distinct low-speed carrier role	82-CURRENT-2026-09-09-NAVAL-MARINE-CLOSE/07-LOW-SPEED-STOL-CARRIER-AND-CARRIER-GT-DECISION-V1.md
