priority	scope	file_or_tree	note
-10	current combat gate / Nanchang Apr27-May9	60-CURRENT-1939-COMBAT-REPLAY/02-1939-04-27-05-09-NANCHANG-CLOSEOUT-GATE-V8.md	REPLAY2 highest chronological combat authority through 1939-05-09 24:00
-9	current combat event ledger	60-CURRENT-1939-COMBAT-REPLAY/02A-1939-04-27-05-09-NANCHANG-EVENT-LEDGER-V8.tsv	machine-readable Apr27-May9 combat outcomes
-8	current concurrent aviation gate	60-CURRENT-1939-COMBAT-REPLAY/03-1939-04-27-05-10-CONCURRENT-AVIATION-EVENTS-GATE-V8.md	REPLAY2 authority for E6 Twin No1 Apr29 / HS-2 May4 first-flight events
-7	current May10 state ledger	60-CURRENT-1939-COMBAT-REPLAY/04-1939-05-10-STATE-LEDGER-V8.tsv	current state / next-gate authority
-6	prior combat gate / Nanchang Apr21-26	60-CURRENT-1939-COMBAT-REPLAY/00-1939-04-21-26-NANCHANG-COUNTEROFFENSIVE-GATE-V8.md	REPLAY1 prior chronological authority; retained as causal input
-5	prior combat event ledger	60-CURRENT-1939-COMBAT-REPLAY/00A-1939-04-21-26-NANCHANG-EVENT-LEDGER-V8.tsv	REPLAY1 prior event outcomes
-4	prior Apr26 state ledger	60-CURRENT-1939-COMBAT-REPLAY/01-1939-04-26-STATE-LEDGER-V8.tsv	superseded as current by May10 state ledger
-3	mandatory capability / reincarnator / non-double-rating guard	50-CURRENT-1939-1941-AIRPOWER-AUDIT/00A-MANDATORY-CHEAT-CAPABILITY-PREFLIGHT-CANON-V8.md	AIRPOWER6 retains AIRPOWER5 highest capability-audit preflight; must be read before changing propulsion/material/high-speed/future-tech capability
-2	global replay terminology/supersession guard	TERMINOLOGY-AND-SUPERSESSION-GUARD-V8.tsv	AIRPOWER14 replay-facing guard for current clock, Chi-Ha 200/220, future-only Nomonhan labels and no historical capability ceilings
-1	state-machine / rollback semantics	50-CURRENT-1939-1941-AIRPOWER-AUDIT/10-HANDOFF-STATE-MACHINE-CANON-V8.md	AIRPOWER14 authority on clock semantics, rollback lineage and READY_TO_RESUME_COMBAT_REPLAY workflow state
-0.75	historical designation / non-identical hardware guard	50-CURRENT-1939-1941-AIRPOWER-AUDIT/50-HISTORICAL-DESIGNATION-NOT-IDENTICAL-HARDWARE-GUARD-V8.md	IDENTITY1 cross-service authority; same name is not permission to copy historical datasheet; Navy A7M=Gaifu while historical Reppu maps to worldline A9M
-0.7	historical designation / machine-readable difference ledger	50-CURRENT-1939-1941-AIRPOWER-AUDIT/50A-HISTORICAL-DESIGNATION-DIFFERENCE-LEDGER-V8.tsv	IDENTITY1 machine guard for ID0-ID5/IDH, Army/Navy/engine/ground same-name cautions
-0.5	piston-aircraft exhaust energy recovery / double-count guard	50-CURRENT-1939-1941-AIRPOWER-AUDIT/49-PISTON-EXHAUST-ENERGY-RECOVERY-CANON-V8.md	EXHAUST1 current technical authority; B5N2 correction; EX0-EX3 state-differential semantics; no named-unit retrofit auto-creation
0	combat replay launch / Apr21 gate	50-CURRENT-1939-1941-AIRPOWER-AUDIT/48-1939-04-20-COMBAT-REPLAY-LAUNCH-CARD-V8.md	AIRPOWER14 top replay-facing launch authority; releases audit hold without advancing Apr20 clock
1	historical vehicle deltas / Chi-Ha power closure	50-CURRENT-1939-1941-AIRPOWER-AUDIT/47-1939-04-20-HISTORICAL-VEHICLE-DELTA-CANON-V8.md	AIRPOWER14 current replay authority; Chi-Ha 200hp continuous/220hp short; older 180/200 superseded for new 1939 calculations
2	1939-04-20 Asai company master roster	50-CURRENT-1939-1941-AIRPOWER-AUDIT/39-1939-04-20-ASAI-COMPANY-MASTER-ROSTER-CANON-V8.md	AIRPOWER12 company-wide Apr20 physical/organizational authority; blocks Sep/Nomonhan back-propagation
3	1939-04-20 Asai company master ledger	50-CURRENT-1939-1941-AIRPOWER-AUDIT/39A-1939-04-20-ASAI-COMPANY-MASTER-ROSTER-LEDGER-V8.tsv	machine-readable company physical/state ledger
4	small-helicopter rotor topology closure	50-CURRENT-1939-1941-AIRPOWER-AUDIT/40-SMALL-HELICOPTER-ROTOR-TOPOLOGY-CLOSURE-V8.md	AIRPOWER12 restores v46 single-main-rotor + tail-rotor main-line closure; exact geometry remains open
5	dense materials / special AP Apr20 state	50-CURRENT-1939-1941-AIRPOWER-AUDIT/41-DENSE-MATERIALS-1939-04-20-STATE-CANON-V8.md	AIRPOWER12 authority; proof/range qualification and limited stock are current, Nomonhan FIELD VALIDATED is future
6	marine GT Apr20 physical/program state	50-CURRENT-1939-1941-AIRPOWER-AUDIT/42-MARINE-GT-1939-04-20-STATE-CANON-V8.md	AIRPOWER12 authority; shore marine rigs active, E5 qualification-craft architecture closed but execution history open
7	controls/computation/data organization Apr20	50-CURRENT-1939-1941-AIRPOWER-AUDIT/43-CONTROLS-DATA-ORGANIZATION-1939-04-20-CANON-V8.md	AIRPOWER12 authority separating existing function from future H2 formal groups
8	ground/mobile power and vehicle support Apr20	50-CURRENT-1939-1941-AIRPOWER-AUDIT/44-GROUND-MOBILE-POWER-VEHICLE-1939-04-20-CANON-V8.md	AIRPOWER12 rollback-safe stock/state closure; no Nomonhan allocation/field-validation back-propagation
9	flexible spall-liner Apr20 pre-field state	50-CURRENT-1939-1941-AIRPOWER-AUDIT/45-FLEXIBLE-SPALL-LINER-1939-04-20-STATE-CANON-V8.md	AIRPOWER13 closes technical readiness without back-propagating Nomonhan vehicle counts or field validation
10	1939-04-20 reconstruction replay-readiness closure	50-CURRENT-1939-1941-AIRPOWER-AUDIT/46-1939-04-20-REPLAY-READINESS-CLOSURE-V8.md	AIRPOWER13 capstone separating closed Apr20 background state from intentionally open future event outputs
11	GT E6-S/JF/E7-E9 rebase semantics	50-CURRENT-1939-1941-AIRPOWER-AUDIT/20-GT-E6S-JF-E7-E9-REBASE-CANON-V8.md	AIRPOWER5 authority for non-double-rating, E6-S flow repair, JF ceiling semantics and E8/E9 continuous front
12	GT life/rating semantics	50-CURRENT-1939-1941-AIRPOWER-AUDIT/21-GT-LIFE-RATING-SEMANTICS-CANON-V8.md	AIRPOWER5 authority for L_mat/L_core/H_qual/TBO/cycle separation; rejects blanket historical TBO downrating
13	GT advanced-branch 1939 readiness	50-CURRENT-1939-1941-AIRPOWER-AUDIT/22-GT-ADVANCED-BRANCH-1939-STATE-CANON-V8.md	AIRPOWER5 authority for VSV/two-spool/reheat/fan/cooling/PR8+ subsystem readiness at 1939-04-20
14	GT advanced-branch machine ledger	50-CURRENT-1939-1941-AIRPOWER-AUDIT/22A-GT-ADVANCED-BRANCH-1939-STATE-LEDGER-V8.tsv	machine-readable 1939 readiness states
15	GT E5-J/JF installed product closure	50-CURRENT-1939-1941-AIRPOWER-AUDIT/23-GT-E5-J-JF-INSTALLED-PRODUCT-CANON-V8.md	AIRPOWER6 authority for E5-J/JF installed thrust, TSFC, mass/envelope, fan/aft-module and 1937-39 chronology
16	GT E5-J/JF machine ledger	50-CURRENT-1939-1941-AIRPOWER-AUDIT/23A-GT-E5-J-JF-PRODUCT-LEDGER-V8.tsv	machine-readable E5 product/rating closure
17	E5/E6 aircraft propulsion reverse audit	50-CURRENT-1939-1941-AIRPOWER-AUDIT/24-E5-E6-AIRCRAFT-PROPULSION-REVERSE-AUDIT-V8.md	AIRPOWER6 authority for physical consistency of current E5 aircraft/research roster against closed propulsion packages
18	E5/E6 aircraft propulsion state ledger	50-CURRENT-1939-1941-AIRPOWER-AUDIT/24A-E5-E6-AIRCRAFT-PROPULSION-STATE-LEDGER-V8.tsv	machine-readable aircraft/propulsion reverse-audit state
19	GT E6-S-J installed development package	50-CURRENT-1939-1941-AIRPOWER-AUDIT/25-GT-E6S-J-INSTALLED-PACKAGE-CANON-V8.md	AIRPOWER7 authority for E6-S-J thrust/rating, mass/envelope, nozzle and 1939 flight-release state
20	GT E6-S-J machine ledger	50-CURRENT-1939-1941-AIRPOWER-AUDIT/25A-GT-E6S-J-PRODUCT-LEDGER-V8.tsv	machine-readable E6-S-J installed package closure
21	GT E6-M J/JF rating package	50-CURRENT-1939-1941-AIRPOWER-AUDIT/26-GT-E6M-J-JF-RATING-PACKAGE-CANON-V8.md	AIRPOWER8 authority for E6-M-J mass and JF 835-920C engineering rating/free-LP thermal ladder
22	GT E6-M J/JF rating ledger	50-CURRENT-1939-1941-AIRPOWER-AUDIT/26A-GT-E6M-J-JF-RATING-LEDGER-V8.tsv	machine-readable E6-M J/JF rating closure
23	GT E6-M reheat/variable nozzle	50-CURRENT-1939-1941-AIRPOWER-AUDIT/27-GT-E6M-REHEAT-VARIABLE-NOZZLE-CANON-V8.md	AIRPOWER8 authority for R2 installed reheat/nozzle research envelope; no 1939 flight claim
24	GT E6-M reheat ledger	50-CURRENT-1939-1941-AIRPOWER-AUDIT/27A-GT-E6M-REHEAT-LEDGER-V8.tsv	machine-readable reheat/nozzle closure
25	E6 aircraft backend reverse audit	50-CURRENT-1939-1941-AIRPOWER-AUDIT/28-E6-AIRCRAFT-BACKEND-REVERSE-AUDIT-V8.md	AIRPOWER8 check of E6 Single/Twin/HS-2/HS-3 planning against closed engine packages
26	1939-04-20 Asai aircraft/product/experimental physical roster	50-CURRENT-1939-1941-AIRPOWER-AUDIT/29-1939-04-20-ASAI-AIRCRAFT-PRODUCT-EXPERIMENTAL-ROSTER-CANON-V8.md	AIRPOWER9 authority; blocks back-propagation of old Sep1939 roster
27	1939-04-20 aircraft roster ledger	50-CURRENT-1939-1941-AIRPOWER-AUDIT/29A-1939-04-20-ASAI-AIRCRAFT-ROSTER-LEDGER-V8.tsv	machine-readable physical/build state
28	P2 STOL product closure	50-CURRENT-1939-1941-AIRPOWER-AUDIT/30-P2-STOL-PRODUCT-CLOSURE-V8.md	AIRPOWER9 product/technical state at Apr20; future quantities open
29	P2 STOL product ledger	50-CURRENT-1939-1941-AIRPOWER-AUDIT/30A-P2-STOL-PRODUCT-LEDGER-V8.tsv	machine-readable P2 coordinate
30	Material No.2 Apr20 state	50-CURRENT-1939-1941-AIRPOWER-AUDIT/31-MATERIAL-NO2-1939-STATE-CANON-V8.md	AIRPOWER9 build/q-release authority; no first-flight claim
31	Material No.2 q-release ledger	50-CURRENT-1939-1941-AIRPOWER-AUDIT/31A-MATERIAL-NO2-Q-RELEASE-LEDGER-V8.tsv	machine-readable q gates
32	E6 airframe build state Apr20	50-CURRENT-1939-1941-AIRPOWER-AUDIT/32-E6-AIRFRAME-BUILD-STATE-1939-04-20-CANON-V8.md	AIRPOWER9 physical build authority; future flight results remain open
33	small helicopter Apr20 state	50-CURRENT-1939-1941-AIRPOWER-AUDIT/33-SMALL-HELICOPTER-1939-04-20-STATE-CANON-V8.md	AIRPOWER9 count/maturity retained; AIRPOWER12 file 40 supersedes topology-OPEN wording with single-main-rotor + tail-rotor closure
34	CFRP I-IV structural maturation rebase	50-CURRENT-1939-1941-AIRPOWER-AUDIT/34-CFRP-I-IV-REBASE-CANON-V8.md	AIRPOWER10 authority; retains staged mechanism but supersedes old historical-calendar and M0.78 endpoint ceilings
35	CFRP I-IV state ledger	50-CURRENT-1939-1941-AIRPOWER-AUDIT/34A-CFRP-I-IV-STATE-LEDGER-V8.tsv	machine-readable research sequence/readiness
36	HS/CFRP convergence research vehicle	50-CURRENT-1939-1941-AIRPOWER-AUDIT/35-HS-CFRP-CONVERGENCE-RESEARCH-VEHICLE-CANON-V8.md	AIRPOWER10 concept/dependency authority; no future flight result
37	HS/CFRP convergence ledger	50-CURRENT-1939-1941-AIRPOWER-AUDIT/35A-HS-CFRP-CONVERGENCE-STATE-LEDGER-V8.tsv	machine-readable convergence gates
38	CFRP physical state Apr20	50-CURRENT-1939-1941-AIRPOWER-AUDIT/36-CFRP-1939-04-20-PHYSICAL-STATE-CANON-V8.md	AIRPOWER10 supplement to physical roster; 0 completed CFRP-series flight aircraft
39	Material No.3 heavy-transport origin	50-CURRENT-1939-1941-AIRPOWER-AUDIT/37-MATERIAL-NO3-HEAVY-TRANSPORT-ORIGIN-CANON-V8.md	AIRPOWER11 authority; restores practical large-transport material outlet; no Apr20 airframe/procurement
40	Material No.3 origin ledger	50-CURRENT-1939-1941-AIRPOWER-AUDIT/37A-MATERIAL-NO3-ORIGIN-STATE-LEDGER-V8.tsv	machine-readable Apr20 state/dependency
41	Material No.3 / AT-3 technical envelope	50-CURRENT-1939-1941-AIRPOWER-AUDIT/38-MATERIAL-NO3-AT3-TECHNICAL-ENVELOPE-V8.md	AIRPOWER11 technical shadow; flight/procurement future conditional
42	Material No.3 / AT-3 technical ledger	50-CURRENT-1939-1941-AIRPOWER-AUDIT/38A-MATERIAL-NO3-AT3-TECHNICAL-LEDGER-V8.tsv	machine-readable heavy-transport envelope
43	Homare quarter-level development / qualification / availability	50-CURRENT-1939-1941-AIRPOWER-AUDIT/11-HOMARE-QUARTERLY-DEVELOPMENT-QUALIFICATION-CANON-V8.md	AIRPOWER3 authority through 1943Q1; supersedes file 07 where explicitly stated
44	Ha-43 pre-branch development state	50-CURRENT-1939-1941-AIRPOWER-AUDIT/13-HA43-PREBRANCH-DEVELOPMENT-AUDIT-V8.md	AIRPOWER3 authority for branch-neutral early Ha-43 path through 1943Q1
45	piston-engine pre-branch rollup	50-CURRENT-1939-1941-AIRPOWER-AUDIT/14-PISTON-ENGINE-PREBRANCH-ROLLUP-V8.md	handoff bridge; engine availability gates for aircraft work
46	high-power propeller / governor / cooling availability	50-CURRENT-1939-1941-AIRPOWER-AUDIT/15-HIGH-POWER-PROPELLER-COOLING-INTEGRATION-CANON-V8.md	AIRPOWER4 canon for 1,800-2,200 hp propeller and cooling integration states through 1943Q1
47	prebranch Homare/Ha-43 airframe integration	50-CURRENT-1939-1941-AIRPOWER-AUDIT/16-PREBRANCH-HOMARE-HA43-AIRFRAME-INTEGRATION-CANON-V8.md	AIRPOWER4 canon for branch-neutral J2M/B7A/N1K integration and guarded Reppu path through 1943Q1
48	airframe integration machine ledger	50-CURRENT-1939-1941-AIRPOWER-AUDIT/17-PREBRANCH-HOMARE-HA43-AIRFRAME-INTEGRATION-STATE-LEDGER-V8.tsv	machine-readable EA/PA/CI and branch-sensitivity state
49	1943Q1 piston-airframe technical snapshot	50-CURRENT-1939-1941-AIRPOWER-AUDIT/18-1943Q1-PISTON-AIRFRAME-TECHNICAL-SNAPSHOT-V8.md	compact forward technical boundary; does not advance combat clock
50	1942 requirement/procurement replay boundary	50-CURRENT-1939-1941-AIRPOWER-AUDIT/19-1942-REQUIREMENT-PROCUREMENT-REPLAY-GATE-V8.md	AIRPOWER4 handoff gate separating closed engineering feasibility from combat-derived requirements/procurement
51	1939-04-20 current revalidated combat checkpoint / replay-hold state	50-CURRENT-1939-1941-AIRPOWER-AUDIT/00-1939-04-20-RESTART-BASELINE-V8.md	V8 authority; distinguish from older furthest-explored 1939-09-01 post-Nomonhan V6 branch
52	engine/requirements/team-release	50-CURRENT-1939-1941-AIRPOWER-AUDIT/01-ENGINE-REQUIREMENT-TEAM-RELEASE-CANON-V8.md	V8 authority
53	E6/E7 integrated core-family production schedule	50-CURRENT-1939-1941-AIRPOWER-AUDIT/02-GT-E6-E7-CORE-FAMILY-PRODUCTION-CANON-V8.md	V8 schedule authority, read under AIRPOWER5 files 00A/20/21/22; not an invention-date ceiling
54	water aircraft/flying boats	50-CURRENT-1939-1941-AIRPOWER-AUDIT/03-WATER-AIRCRAFT-FLYING-BOAT-LINEAGE-CANON-V8.md	V8 authority
55	Shiden / automatic combat flap lineage	50-CURRENT-1939-1941-AIRPOWER-AUDIT/04-OPEN-SHIDEN-AUTO-COMBAT-FLAP-ASAI-AUTOMATION-V8.md	legacy filename; core question resolved in AIRPOWER2
56	Asai high-altitude gasoline/turbo research and transfer mechanism	50-CURRENT-1939-1941-AIRPOWER-AUDIT/06-ASAI-HIGH-ALTITUDE-GASOLINE-ENGINE-TECH-TRANSFER-CANON-V8.md	V8 AIRPOWER2 authority
57	Homare development/service realization	50-CURRENT-1939-1941-AIRPOWER-AUDIT/07-HOMARE-DEVELOPMENT-SERVICE-PERFORMANCE-AUDIT-V8.md	broad mechanism authoritative; exact service envelopes marked working
58	fighter/material/powerplant quantitative envelope	50-CURRENT-1939-1941-AIRPOWER-AUDIT/08-FIGHTER-POWERPLANT-MATERIAL-INTEGRATION-WORKING-V8.md	WORKING numerical authority; not final measured canon
59	2026-09-03 session delta	50-CURRENT-1939-1941-AIRPOWER-AUDIT/09-SESSION-DELTA-2026-09-03-V8.md	prior rollover/guards where not superseded
60	1937-1938 canon	10-CURRENT-1937-1938/	V7 remains authority where not superseded
61	1931-1938 aviation rebase	20-AVIATION-1931-1938-REBASE/	V7 remains authority where not superseded
62	older V6/V5 material	01-BASE-V6/	reference/replay/comparator unless specifically promoted
