key	value	status	authority
E6_HIGH_SPEED_RELEASE	small stores ~700-760km/h TAS at 7-9km; 250kg-class initial ~650-720km/h at 6-8km; area/harassment not precision	H->A-CLOSED-BAND	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E6-FRP-ORDNANCE-CARRIAGE-HIGHSPEED-STORE-CLOSURE-1939-1940-V1.md
E6_MAX_SERVICE_TAKEOFF	~5.05t ordinary heavy planning ceiling; full fuel+D320F+0.4t strike stacking prohibited	CLOSED-WORKING	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E6-TWIN-MISSION-ARMAMENT-HIGHSPEED-RELEASE-CLOSURE-1939-1940-V1.md
E6_BAY_ADAPTERS	S6 up to 6x50/60kg; S4 up to 4x100kg/HSC; M1 1x250kg, all subject ~0.40t bay limit	CLOSED-E6FRPORD1	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E6-FRP-ORDNANCE-CARRIAGE-HIGHSPEED-STORE-CLOSURE-1939-1940-V1.md
E6_FRP_ORDNANCE_SCOPE	plant-FRP bay doors/cassette fairings/high-speed tail fairings/HSC/D320F; HE bomb body and concentrated-load fittings remain metal	CLOSED-E6FRPORD1	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E6-FRP-ORDNANCE-CARRIAGE-HIGHSPEED-STORE-CLOSURE-1939-1940-V1.md
E6_HSR_250	selected Army/Navy 250kg-class service bomb; separate initial release ladder ~650-720km/h TAS at 6-8km	1940-Q1-Q2-SERVICE-PATH	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E6-FRP-ORDNANCE-CARRIAGE-HIGHSPEED-STORE-CLOSURE-1939-1940-V1.md
E5_1939_PROGRAM_COMPLETED	142 total = 2 development + 140 military accepted by 1939-07-31	RECONCILED-CLOSED	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E5-E6-1940-PRODUCTION-TRANSITION-FLEET-ACCUMULATION-CLOSEOUT-V1.md
E5_1940_OPENING_EXTANT	130 military + 2 development	RECONCILED-CLOSED	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E5-E6-1940-PRODUCTION-TRANSITION-FLEET-ACCUMULATION-CLOSEOUT-V1.md
E5_1940_BRIDGE_PRODUCTION	30-42 accepted; center 36; no normal new starts after H1; Q3 tail WIP only	PLANNING-CLOSED	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E5-E6-1940-PRODUCTION-TRANSITION-FLEET-ACCUMULATION-CLOSEOUT-V1.md
E5_1940_YEAREND_STOCK	center ~152 military extant; band ~142-160; actual replay losses open	PLANNING-CLOSED	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E5-E6-1940-PRODUCTION-TRANSITION-FLEET-ACCUMULATION-CLOSEOUT-V1.md
E6_1940_YEAREND_STOCK	center ~136 service extant after planning attrition; band ~110-150; actual replay losses open	PLANNING-CLOSED	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E5-E6-1940-PRODUCTION-TRANSITION-FLEET-ACCUMULATION-CLOSEOUT-V1.md
E6_SINGLE_1939_FIRST_FLIGHT	1939-05-31	CLOSED-E6SINGLE1	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E6-SINGLE-PERFORMANCE-SERVICE-PROCUREMENT-CLOSEOUT-1939-1940-V1.md
E6_SINGLE_PROPULSION	1x E6-M-J; 850kgf normal / 900kgf selected short	CLOSED-E6SINGLE1	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E6-SINGLE-PERFORMANCE-SERVICE-PROCUREMENT-CLOSEOUT-1939-1940-V1.md
E6_SINGLE_SERVICE_PERFORMANCE	2.85t center; 17.5m2; ~750km/h@6km; 6km ~5.6-6.0min; radius 400-500km	H->A-CLOSED-E6SINGLE1	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E6-SINGLE-PERFORMANCE-SERVICE-PROCUREMENT-CLOSEOUT-1939-1940-V1.md
E6_SINGLE_COST	~115-135kY mission-equipped; center ~125kY	H->A-COST-E6SINGLE1	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E6-SINGLE-PERFORMANCE-SERVICE-PROCUREMENT-CLOSEOUT-1939-1940-V1.md
E6_SINGLE_1940_PROCUREMENT	96 firm-order class +48 option; 84-108 accepted center ~96; pure-J standard	PLANNING-CLOSED-E6SINGLE1	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E6-SINGLE-PERFORMANCE-SERVICE-PROCUREMENT-CLOSEOUT-1939-1940-V1.md
NAVAL_E5_RECON_NAME	九八式高速陸上偵察機 / R1As	CLOSED-NAVALJETTORP1	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E5-E6-NAVAL-RECON-LAND-ATTACK-TORPEDO-LINEAGE-1938-1941-V1.md
NAVAL_E6_RECON_NAME	零式高速陸上偵察機 / R2As	CLOSED-NAVALJETTORP1	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E5-E6-NAVAL-RECON-LAND-ATTACK-TORPEDO-LINEAGE-1938-1941-V1.md
NAVAL_E6_LAND_ATTACK	零式陸上攻撃機一一型 / G4As1; one Type91-class torpedo OR ~0.35-0.40t bomb mission	CLOSED-NAVALJETTORP1	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E5-E6-NAVAL-RECON-LAND-ATTACK-TORPEDO-LINEAGE-1938-1941-V1.md
TYPE91_MOD2_1941_HIGHSPEED	~400-430km/h normal air-drop qualification; selected ~450km/h development growth	CLOSED REQUIREMENT / 1941 SERVICE GATE	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E5-E6-NAVAL-RECON-LAND-ATTACK-TORPEDO-LINEAGE-1938-1941-V1.md
B6N_TORPEDO_INTERFACE	~400-430km/h design-origin release target; E7-M-LF main TP candidate conditional, piston schedule hedge	CLOSED-OUTLOOK-B6NAUDIT1	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-B6N-TENZAN-PISTON-E6ST-E7M-TP-COMPARATIVE-OUTLOOK-1939-1942-V1.md
B5N2_1940_CURRENT	Sakae B5N2 serial baseline; applicable later EX2/QC lots ~382-384km/h; normal mission range ~980-1020km	CLOSED-B5NAUDIT1	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-B5N2-PISTON-TP-COMPARATIVE-CLOSEOUT-1939-1941-V1.md
B5N2_E5ST_TP	2-4 conversion/test aircraft only; no serial re-engine program	CLOSED-TEST-ONLY-B5NAUDIT1	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-B5N2-PISTON-TP-COMPARATIVE-CLOSEOUT-1939-1941-V1.md
B5N2_TP_RANGE	~680-780km heavy/normal mission screening; ferry ~1350-1600km	H->A-B5NAUDIT1	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-B5N2-PISTON-TP-COMPARATIVE-CLOSEOUT-1939-1941-V1.md
B5N2_TYPE91_1941	Type91 ~400-430km/h normal envelope exceeds B5N practical torpedo-attack speed; airframe becomes ordinary speed limiter	CLOSED-INHERITANCE-B5NAUDIT1	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-B5N2-PISTON-TP-COMPARATIVE-CLOSEOUT-1939-1941-V1.md
G3M2_1940_CURRENT	gasoline long-range land-attack baseline; applicable later EX2 ~377-381km/h	CLOSED-G3MAUDIT1	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-G3M2-PISTON-TP-COMPARATIVE-CLOSEOUT-1939-1941-V1.md
G3M2_TORPEDO_RADIUS	~650-800km ordinary torpedo H->A planning band; max/ferry ~4400km is not torpedo radius	H->A-G3MAUDIT1	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-G3M2-PISTON-TP-COMPARATIVE-CLOSEOUT-1939-1941-V1.md
G3M2_E5ST_TP	paper study only; no physical/serial conversion priority	CLOSED-NO-CONVERSION-G3MAUDIT1	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-G3M2-PISTON-TP-COMPARATIVE-CLOSEOUT-1939-1941-V1.md
G3M2_E6ST_TP	no serial G3M derivative; ~550-700km torpedo screening loses reach and overlaps G4As	CLOSED-NO-SERIAL-G3MAUDIT1	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-G3M2-PISTON-TP-COMPARATIVE-CLOSEOUT-1939-1941-V1.md
NAVY_AVIATION_FUEL_MIX_1940_41	gasoline piston fleets + kerosene E5/E6/G4As/selected TP coexist deliberately	CLOSED-SEMANTIC-G3MAUDIT1	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-G3M2-PISTON-TP-COMPARATIVE-CLOSEOUT-1939-1941-V1.md
TYPE91_MOD1_1941	~784kg / ~150kg Type97 / 41-43kt / ~2000m; retained service weapon	CLOSED-TORPEDO41CLOSE1	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-1941-YEAREND-NAVAL-AERIAL-TORPEDO-EFFECTIVENESS-EMPLOYMENT-CLOSEOUT-V1.md
TYPE91_MOD2_1941_EFFECT	~935kg / ~205kg Type97; +36.7% charge vs Mod1; ~400-430km/h normal high-speed qualification	CLOSED-TORPEDO41CLOSE1	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-1941-YEAREND-NAVAL-AERIAL-TORPEDO-EFFECTIVENESS-EMPLOYMENT-CLOSEOUT-V1.md
TYPE91_HIT_MODEL_1941	valid releases first; anchored ~45-60%; maneuvering capital multi-axis ~16-24%; damaged/boxed ~25-40%; cruiser ~10-18%; destroyer ~5-12%	H->A-CLOSED-BANDS	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-1941-YEAREND-NAVAL-AERIAL-TORPEDO-EFFECTIVENESS-EMPLOYMENT-CLOSEOUT-V1.md
TYPE91_MOD2_ENTRY_RUN_400_430	~94-97% after technically correct release	H->A-CLOSED-BAND	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-1941-YEAREND-NAVAL-AERIAL-TORPEDO-EFFECTIVENESS-EMPLOYMENT-CLOSEOUT-V1.md
TORPEDO_CAPABLE_CARRIER_BLOCK	18-24 aircraft planning implication; not all torpedo-loaded; valid releases/opposition remain event-local	PLANNING-IMPLICATION	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-1941-YEAREND-NAVAL-AERIAL-TORPEDO-EFFECTIVENESS-EMPLOYMENT-CLOSEOUT-V1.md
D3A1_1940_CURRENT	piston Type99 carrier bomber baseline; later EX2/QC lots ~391-393km/h at ~3km; range ~1430-1500km	CLOSED-D3AAUDIT1	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-D3A1-PISTON-TP-DIVE-BOMBING-COMPARATIVE-CLOSEOUT-1939-1941-V1.md
D3A1_DIVE_HIT_MODEL_1941	valid release first; moving large ship ~18-28% direct hit per valid 250kg release; favorable ~25-35%; smoke/evasive ~8-15%	H->A-CLOSED-BANDS	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-D3A1-PISTON-TP-DIVE-BOMBING-COMPARATIVE-CLOSEOUT-1939-1941-V1.md
D3A1_E5ST_TP	2 conversion aircraft + optional third technical article only; no serial TP D3A	CLOSED-TEST-ONLY-D3AAUDIT1	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-D3A1-PISTON-TP-DIVE-BOMBING-COMPARATIVE-CLOSEOUT-1939-1941-V1.md
D3A1_REPLACEMENT_GATE	future D4Y audit should test ~3-6 month earlier effective replacement opportunity; 1941H2 taper only if D4Y passes independent gates	FUTURE-GATE-D3AAUDIT1	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-D3A1-PISTON-TP-DIVE-BOMBING-COMPARATIVE-CLOSEOUT-1939-1941-V1.md
G4M1_1941_CURRENT	gasoline very-long-range Type1 land attack; applicable early EX2/QC ~433-436km/h at ~4.2km	CLOSED-G4MAUDIT1	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-G4M1-PISTON-TP-LONGRANGE-ATTACK-COMPARATIVE-CLOSEOUT-1939-1941-V1.md
G4M1_TORPEDO_RADIUS	~900-1150km ordinary; ~1200-1300km favorable sensitivity only	H->A-G4MAUDIT1	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-G4M1-PISTON-TP-LONGRANGE-ATTACK-COMPARATIVE-CLOSEOUT-1939-1941-V1.md
G4M1_E6ST_TP	no serial conversion; ~650-850km torpedo screening and lower altitude-power margin destroy long-range advantage	CLOSED-NO-SERIAL-G4MAUDIT1	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-G4M1-PISTON-TP-LONGRANGE-ATTACK-COMPARATIVE-CLOSEOUT-1939-1941-V1.md
G4M1_PROTECTION_1941	no generic self-sealing integral wing tank or crew armor back-port; QC/plumbing improvements only	CLOSED-GUARD-G4MAUDIT1	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-G4M1-PISTON-TP-LONGRANGE-ATTACK-COMPARATIVE-CLOSEOUT-1939-1941-V1.md
G4M1_RAMP_OPPORTUNITY	~2-4 months earlier effective ramp; ~20-50 extra late-1941 acceptance opportunity if factory rate matched; not pre-recorded inventory	H->A-PLANNING	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-G4M1-PISTON-TP-LONGRANGE-ATTACK-COMPARATIVE-CLOSEOUT-1939-1941-V1.md
E7_INTEGRATED_CORE_OUTLOOK	1940H1 rigs -> 1940H2 gas-generator -> 1941H1 full-core ground -> 1941H2 ground-qualified development core	TARGET-CLOSED-E7OUTLOOK1	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E7-E6-AIRFRAME-RETROFIT-PREWAR-OUTLOOK-1940-1942-V1.md
E6_SINGLE_E7_RETROFIT	1941H2 earliest conditional flight-development; ~785-800km/h@6km / ~800-815@8km / 6km ~4.8-5.3min	H->A-FUTURE-E7OUTLOOK1	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E7-E6-AIRFRAME-RETROFIT-PREWAR-OUTLOOK-1940-1942-V1.md
E6_TWIN_E7_RETROFIT	1941H2 earliest conditional flight-development; clean ~805-825km/h, prefer ~5.4-5.6t heavy-margin use after local reinforcement	H->A-FUTURE-E7OUTLOOK1	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E7-E6-AIRFRAME-RETROFIT-PREWAR-OUTLOOK-1940-1942-V1.md
FUTURE_AIRCRAFT_EGEN_REVIEW	re-open engine choice at project start/detail freeze/pre-first-flight; do not freeze to project-start E-number	CLOSED-PLANNING-RULE-E7OUTLOOK1	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E7-E6-AIRFRAME-RETROFIT-PREWAR-OUTLOOK-1940-1942-V1.md
E7_TP_SMALL_OUTLOOK	~1425-1500shp normal / ~1525-1575 short at 7.5-8.0kg/s	H->A-FUTURE-E7TPOUTLOOK1	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E7-TURBOPROP-SHAFT-PRODUCT-PREWAR-OUTLOOK-1940-1942-V1.md
E7_TP_LOWER_MEDIUM_OUTLOOK	~1750-1850shp normal / ~1900-2000 short at ~10-11kg/s; B6N-size main candidate	H->A-FUTURE-E7TPOUTLOOK1	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E7-TURBOPROP-SHAFT-PRODUCT-PREWAR-OUTLOOK-1940-1942-V1.md
E7_TP_MEDIUM_CENTRAL_OUTLOOK	~2250-2450shp normal; ~2500-2650 capability-dependent short; prop/reducer gate primary	H->A-FUTURE-E7TPOUTLOOK1	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E7-TURBOPROP-SHAFT-PRODUCT-PREWAR-OUTLOOK-1940-1942-V1.md
E7_TP_LARGE_OUTLOOK	~3500-4000shp first-aircraft flat-rated; core capability ~4.65-4.78k hp neighborhood	H->A-FUTURE-E7TPOUTLOOK1	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E7-TURBOPROP-SHAFT-PRODUCT-PREWAR-OUTLOOK-1940-1942-V1.md
B6N_E7_TP_REVIEW	reopen to E7-M lower-flow at detail freeze/pre-first-flight; E6-S-T is fallback/test comparator only	CLOSED-PLANNING-RULE-E7TPOUTLOOK1	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E7-TURBOPROP-SHAFT-PRODUCT-PREWAR-OUTLOOK-1940-1942-V1.md
AT3_E7_TP_GROWTH	preferred growth 4xE7-M ~2300-2450shp each / ~9200-9800 aggregate; 2xE7-L not preferred first step	H->A-FUTURE-E7TPOUTLOOK1	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E7-TURBOPROP-SHAFT-PRODUCT-PREWAR-OUTLOOK-1940-1942-V1.md
B6N_E7M_TP_OUTLOOK	E7-M lower-flow ~1750-1850shp normal / ~1900-2000 short; ~520-535km/h normal max; ~650-800km torpedo radius	H->A-FUTURE-B6NAUDIT1	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-B6N-TENZAN-PISTON-E6ST-E7M-TP-COMPARATIVE-OUTLOOK-1939-1942-V1.md
B6N_E6ST_VERDICT	E6-S-T 1300/1400shp test/fallback only; not normal production choice	CLOSED-B6NAUDIT1	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-B6N-TENZAN-PISTON-E6ST-E7M-TP-COMPARATIVE-OUTLOOK-1939-1942-V1.md
B6N_REPLACEMENT_OPPORTUNITY	~6-12 months earlier effective B5N replacement opportunity if E7 reducer/prop/TBO/carrier gates pass; no service date pre-recorded	H->A-FUTURE-B6NAUDIT1	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-B6N-TENZAN-PISTON-E6ST-E7M-TP-COMPARATIVE-OUTLOOK-1939-1942-V1.md
D4Y_PISTON_OUTLOOK	healthy Atsuta baseline ~583-592km/h late 1.4khp class; 1941H2-42H1 service-development opportunity if structural gates pass	H->A-FUTURE-D4YAUDIT1	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-D4Y-SUISEI-PISTON-E7ST-TP-COMPARATIVE-OUTLOOK-1940-1942-V1.md
D4Y_E7ST_TP_OUTLOOK	E7-S-T ~1425-1500shp normal / ~1525-1575 short; ~585-598 normal / ~595-607 short; B+ to A- conditional, recon/fast-strike first	H->A-FUTURE-D4YAUDIT1	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-D4Y-SUISEI-PISTON-E7ST-TP-COMPARATIVE-OUTLOOK-1940-1942-V1.md
D4Y_TP_FRONTAL_GUARD	TP cowling is not automatically narrower than ~0.71m Atsuta inline; radiator removal vs local frontal/prop drag must be tested	CLOSED-GUARD-D4YAUDIT1	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-D4Y-SUISEI-PISTON-E7ST-TP-COMPARATIVE-OUTLOOK-1940-1942-V1.md
NAVAL_E7_TP_SPLIT	D4Y uses E7-S small core; B6N uses E7-M lower-flow; shared reducer/prop/carrier qualification rather than direct core competition	CLOSED-OUTLOOK-D4YAUDIT1	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-NAVY-CARRIER-TP-APPLICATION-SPLIT-D4Y-B6N-1941-1942-V1.md
NEXT_NAVAL_AIRCRAFT_WASH	B7A composition after D4Y/B6N comparator closure	NEXT-TECHNICAL-WASH	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-NAVY-CARRIER-TP-APPLICATION-SPLIT-D4Y-B6N-1941-1942-V1.md
