ledger_id	region	customer_or_group	product_or_capability	1937_quantity_low	1937_quantity_high	unit	status	confidence	canonical_treatment	notes
M-TECHCALC-01	Manchuria	SMR research / major industrial planning and engineering	technical calculation process	2	4	sites	RESTORE-CANDIDATE	medium	Do not equate with Japanese U4 engine offices	Main value is planning, survey, engineering tables and operations research-like clerical calculation.
J-GT-01	Japan	military fixed E4 emergency / peak power	E4-family independent GT	15	25	new cores/year	CURRENT-WORKING	high	Retain current military ledger	Current V4 range.
J-GT-02	Japan	military fixed spares / replacement	E4-family independent GT	5	10	cores/year	CURRENT-WORKING	high	Retain current military ledger	Current V4 range.
J-GT-03	Japan	military small mobile power / large portable E4	GT/APU power sets	5	15	sets/year	CURRENT-WORKING	high	Retain current military ledger	5-12 small mobile plus 0-3 large E4-equivalent.
J-GT-04	Japan	Home Ministry / prefectures / water associations: flood and drainage	E4 / smaller GT pump and emergency power	8	15	cores/year	RESTORE-CANDIDATE	medium-high	Nobi-specific exact contracts remain gated	Strong quarantine customer logic; local geography gives an unusually credible first public customer.
J-GT-05	Japan	Railways / ports / utilities: tunnel, signal, drainage, standby	E4 / smaller GT stationary power	8	15	cores/year	RESTORE-CANDIDATE	medium-high	Keep GT locomotive excluded	Railway diesel turbo is more important than GT traction.
J-GT-06	Japan	industrial standby / peak / special machinery users	E4-family independent GT	15	25	cores/year	WORKING-AUDIT	medium-high	Separate independent GT from compressors/blowers	Industrial turbomachinery may share facilities without being counted as an E4/E5 core sale.
J-GT-07	Japan	commercial / demonstration / loan customers	E4/E5-family independent GT	5	10	cores/year	WORKING-AUDIT	medium	Small niche	Low-duty high-value users only.
J-TURBO-01	Japan+deployed forces	military exhaust turbo total	diesel exhaust turbocharger	325	465	cores/year	CURRENT-WORKING	high	Retain current military ledger	Army heavy vehicles dominate; includes spares, Navy 4-cycle, sub trials, aviation trials.
C-TURBO-01	Japan+Manchuria	merchant / coastal / fishing / large 4-cycle marine diesel	diesel exhaust turbocharger	260	380	cores/year	WORKING-AUDIT	medium	Demand range, not closed deliveries	Asai turbo is mature since 1925; marine diesel ecosystem is historically large, but not every engine is turbocharged.
C-TURBO-02	Japan+Manchuria	stationary industry / mines / generating sets / pumps	diesel exhaust turbocharger	160	240	cores/year	WORKING-AUDIT	medium	Strong Manchuria exposure	Includes power and industrial diesel installations; avoid double-counting marine auxiliaries.
C-TURBO-03	Japan+Manchuria	rail / civilian heavy-special vehicles	diesel exhaust turbocharger	50	90	cores/year	WORKING-AUDIT	medium-low	Keep road-vehicle penetration conservative	Japanese road vehicle and rail diesel markets are still immature in 1937.
C-TURBO-04	Japan+Manchuria	replacement / service / export / training pool	diesel exhaust turbocharger	120	180	cores/year	WORKING-AUDIT	medium	Needed because turbo hot-section life is shorter than host-engine fleet life	Do not count factory inventory twice.
M-TURBO-SHARE	Manchuria	civil + institutional + deployed military share of above categories	diesel exhaust turbocharger	80	125	cores/year	WORKING-AUDIT	medium	Subset, not additive to total	Likely concentrated in mines, generators, railway/support fleets and military heavy vehicles; civilian-only roughly 60-90.
J-MAT-01	Japan	arsenals / yards / major factories	AH steels + carbide tooling + gauges/QC			contract exposure	CURRENT-CLOSED	high	Retain generic adoption	Economic effect is primarily machining time, tool life, variance reduction and maintainability.
M-MAT-01	Manchuria	major mines / repair shops / industrial plants	tooling / gauges / process control			contract exposure	RESTORE-CANDIDATE	medium	No blanket diffusion	Likely follows Japanese-managed heavy industry and railway workshops.
