id	status	topic	decision	guard
V20-064	CURRENT-CLOSE	torch_1942	Historical-scale Operation Torch unavailable while US remains formally nonbelligerent	A later US entry can reopen
V20-065	CURRENT-PLANNING	german_japan_postwar_boundary	Japan now wants explicit German clarification of Far-Eastern/post-Soviet spheres before treating German victory as automatically beneficial	Actual German response is next political topic
V20-066	CURRENT-PLANNING	eurasia_outcome_a	Prolonged German-Soviet mutual attrition recognized as broadly favorable to Japanese freedom of action	Actor preferences differ; do not publish as official doctrine without replay
V20-067	CURRENT-PLANNING	eurasia_outcome_b	German western victory plus Soviet state compressed into Urals/Siberia recognized as potentially dangerous to Japan	Important next political perception question
V20-068	CURRENT-PLANNING	eurasia_outcome_c	Soviet collapse plus Japanese Far-Eastern faits accomplis recognized as Army-favorable outcome	Requires successful timing/war or state collapse
V20-069	CURRENT-PLANNING	eurasia_outcome_d	Soviet collapse with German influence reaching deep east before Japanese settlement recognized as dangerous	Alliance != unconditional trust
V20-070	CURRENT-PLANNING	eurasia_outcome_e	German-Soviet negotiated peace recognized as dangerous because both armies become freer	Actor weighting to audit
V20-071	CURRENT-PLANNING	eurasia_outcome_f	Soviet strategic recovery while Germany still pins main Red Army recognized as dangerous preventive-war window	Central future political/military gate
V20-072	CURRENT-PLANNING	eurasia_outcome_g	Decisive Soviet victory recognized as dangerous but potentially manageable through accommodation and partial Anglo-American interest convergence	Not an automatic Japan-US alliance
V20-073	NEXT-GATE	political_perception	Audit how each major leadership recognizes/welcomes/fears Eurasian end-states and how it reads others' triggers	Distinguish fact, estimate, belief, planning input and propaganda
