service	item	period_or_variant	identity_class	historical_anchor_retained	worldline_difference	historical_data_rule	cross_reference	confidence
ARMY	Ki-27	late production / 1939 service	ID1;ID2;ID3;ID4	basic historical airframe/armament	late-production EX2; matching/QC/serviceability	historical count can stand; exact unit lot mix/ready rate cannot be copied	47;49A;50	B+
ARMY	Ki-15-II	1939 production	ID1;ID2	historical reconnaissance lineage	EX2/early EX3 favored plus QC	use local variant performance; full card only versus EX0	49A;50	B
ARMY/NAVY	C5M1/C5M2	1938/1940	ID1;ID4	Ki-15-derived historical lineage	engine/install differ; C5M2 EX2 standard likely	do not inherit Ki-15-II or C5M1 number blindly	49A;50	C+
ARMY	Ki-43-I	1941	ID1;ID2;ID3	historical lineage	EX2/EX3 from production plus A0 reinvestment/QC	use A0 rebaseline; later historical EX2 gets residual only	49A;50	A
ARMY	Ki-44-I	1941-42	ID1;ID2	historical lineage	EX2/EX3 production and installation closure	full shadow is design sensitivity, not extra late-war card	49A;50	A-
ARMY	Ki-45 Kai	1941+	ID1;ID4	historical heavy-fighter lineage	EX2/EX3 at redesign; historical late thrust exhaust proves suitability	variant timing required	49A;50	B+
ARMY	Ki-46-II	1941	ID1;ID2	historical high-speed reconnaissance lineage	EX3 standard favored	historical later individual-exhaust speed is calibration, not additive to EX2 anchor	49A;50	A-
ARMY	Ki-48-I	1940+	ID1;ID2	historical light-bomber lineage	EX2 likely plus QC	historical manifold exact hardware remains OPEN	49A;50	C+
ARMY	Ki-49-I/IIa	1941+	ID1;ID2	historical bomber lineage	EX2/EX3 production	later historical EX2 gets residual only	49A;50	B
ARMY	Ki-51	1939+	ID1;ID2	historical attack-aircraft lineage	EX2/EX3 margin may be reinvested in protection/cooling/rough-field life	do not force full speed shadow into headline speed	49A;50	B
ARMY	Ki-61	production	ID1;ID2;IDH	DB601/Ha-40-derived EX2 exhaust lineage	EX3 residual; Ha-40 metallurgy/QC and radiator recovery bigger	full exhaust conversion prohibited	49A;50	A-
ARMY	Ki-84 earliest prototype	1943	ID4;IDH	historical earliest collector prototype	worldline can begin EX2/EX3	7-12 km/h is comparison shadow only	49A;50	A-
ARMY	Ki-84 production	1944+	ID2;IDH	historical production EX2	EX3 residual; Homare realization/cooling/QC main	631-class anchor already includes EX2; no full-card repeat	49A;50	A
ARMY	Ki-64	current naming	ID5	historical Kawasaki tandem-Ha-40 experimental lineage restored	old fictional P-47-class single-engine turbo production line removed	never import superseded old Ki-64 production concept	50; naming map	A
ARMY	Ki-76 / Type 1 liaison line	accelerated service	ID1;ID5	historical role/manufacturer/designation slot recognizable	worldline earlier STOL lineage inherits slot	historical service-entry date is not a capability ceiling	50; naming map	B+
ENGINE	Homare	1940s	ID2;ID3	historical design ratings/architecture useful	rated-output realization, bearing/fuel/ignition/cooling/QC/variance differ	do not copy historical fleet failure/derating wholesale; use quarterly engine canon	11;50	A
ENGINE	Ha-40 / Atsuta	1940s	ID2;ID3	historical DB601-derived architecture	materials/process/QC and supply health differ	historical shortage/failure and Ki-100 trigger are not automatic	50; late-war canon	A-
ENGINE	Sakae / Ha-25	1939-42	ID2	historical variant ratings broadly retained	matching/QC/exhaust/install differ by variant	no generic horsepower bonus; use variant altitude map	49;50	A-
ENGINE	Ha-43	1942+	ID2;IDH	historical engine/install evidence useful	worldline qualification/integration can differ	historical Reppu installation is H anchor; never attach to worldline A7M Gaifu by code	15;50	A-
GROUND	Type 97 Chi-Ha	1938-39 production	ID1;ID2;ID3	historical hull/gun/armor lineage broadly retained	200 hp continuous / 220 hp short; Asai low-pressure turbo/intake; support/QC	historical engine output/mobility/ready rate not direct copy; no automatic deployment	47/47A;50	A
GROUND	Type 95 Ha-Go	1938-39 mass line	ID0;ID2;ID3	~120 hp NA mass configuration near historical	QC/support; special altitude turbo branch separate	do not blanket-convert to 140-145 hp turbo	47/47A;50	A
GROUND	heavy 6x4 trucks / artillery tractors	1938-39 selected fleets	ID1;ID2;ID3;ID4	historical class/count anchors may be usable	selected turbo-diesel, filter/transmission/cooling/QC, workshop/recovery package	historical towing/ready/repair performance not automatic; allocation is unit-specific	47/47A;44;50	A-
GROUND	Type 94/97 tankette/light armored class	1938-39	ID0;ID2;ID3	headline capability near historical	production/QC/support differences	no blanket turbo conversion	47/47A;50	A
AMMUNITION	37 mm dense-core special AP family	1939-06-27	ID4	historical guns remain same weapons	two separate non-interchangeable qualified/issued complete rounds now exist: infantry AT-37 and tank-gun TANK-37	do not assume caliber identity means interchangeability; neither stock is field-combat validated yet	41;50;51;60/05-06	A
GROUND	flexible spall liner retrofit	1939-06-27	ID4	base vehicle designation unchanged	engineering-ready trial retrofit exists upstream; current combat fit count remains 0	do not infer blanket fitment or combat effect; allocation/event gate	45;50;60/06	A
NAVY-SHIP	large surface ships - generic	1934-41+	ID0;ID2;ID3	historical hull/armor/main-plant headline data remain default anchors	Asai QC/metrology/auxiliary reliability may change realized availability and maintenance before headline geometry changes	NO generic shp/knot/range bonus; local hull/plant/adoption audit required for headline deltas	42;50;large-marine rebaseline	A
NAVY-SHIP	Akagi / Kaga	post-modernization 1938-39	ID0;ID2;ID3	historical post-modernization hull, deck, hangar, elevators, shafts and main plant	possible QC/auxiliary/electrical/maintenance deltas only unless explicit refit closes more	do not increase speed, hangar/elevator size, aircraft capacity or deck cycle from Asai capability alone	50;large-marine rebaseline	A-
NAVY-SHIP	Soryu / Hiryu	1937-39 service	ID0;ID2;ID3	historical high-speed purpose-built carrier architecture	machinery repeatability/serviceability may improve; no automatic redesign	cube-law and prop/hull gates: no generic knot bonus; aircraft capacity and sortie generation separate	50;large-marine rebaseline	A-
NAVY-SHIP	Shokaku class	1937 design / 1939 construction	IDH;ID2	historical class is H anchor for hull/deck/machinery/range/elevator/air-group data	Asai-era design/QC inputs may alter details only if design-freeze/yard/procurement audit closes them	do not silently change displacement, speed, range, elevator, hangar, protection, capacity or completion date	50;large-marine rebaseline	B+
NAVY-SHIP	Hosho / Ryujo and small-carrier class	1930s service	ID0;ID2;ID3	historical hull/deck/elevator/stability limits	possible maintenance/electrical/QC deltas; severe topweight/deck-area constraints remain	no free larger-aircraft compatibility, AA/radar weight, capacity or sortie-rate increase	50	A-
NAVY-SHIP	low-speed converted / merchant carriers incl Taiyo-type	1940s conversion candidate	IDH;ID1;ID4	historical merchant hull/conversion geometry and low-speed baseline	GT boost may be a short-duration WOD aid only after full integration and procurement gates	FORBIDDEN: convert ~21 kt carrier into fleet carrier by GT speed alone; protection/deck-cycle/seakeeping remain	42;50;large-marine rebaseline	A
NAVY-SHIP	carrier main steam plant	existing carriers	ID0;ID2;ID3	historical boiler/turbine/shaft rating and architecture	QC, balancing, bearings, gauges, maintenance may improve delivered repeatability/availability	rated shp and maximum speed do not rise automatically; redesign/test required	50	A
NAVY-SHIP	carrier GT boost	1939-41 technical candidate	ID4	no historical current installation in Apr20 1939 branch	possible short-duration WOD/auxiliary role after reducer/clutch/intake/exhaust/salt/fuel gates	technical capability != ship installation; no fleet count or speed delta without event/procurement	42;50;large-marine rebaseline	A
NAVY-SHIP	carrier emergency GT generation / auxiliary power	1939-41 candidate	ID4	historical carrier electrical architecture remains anchor	GT emergency generation is lower integration-tax than propulsion and can improve recovery resilience if adopted	do not convert emergency electrical capability into propulsion speed or automatic damage-control outcome	42;50;large-marine rebaseline	A-
NAVY-SHIP	carrier air-group capacity	all carriers	ID3;ID4	historical physical hangar/deck/elevator capacity remains geometry anchor	worldline aircraft serviceability and maintenance may change operational count	separate physical stowage / embarked / serviceable / deck-ready / sortie rate; never treat as one aircraft-count bonus	50	A
NAVY-SHIP	carrier aircraft compatibility	all carrier-aircraft pairings	ID4	historical aircraft-carrier compatibility is only an anchor for historical pair	worldline aircraft weight/size/prop/landing speed may differ despite same designation lineage	must close elevator size/load, hangar clearance, deck strength, arresting load, deck run and WOD before compatibility	19;50	A
NAVY-SHIP	carrier WOD / launch performance	all carriers	ID4	historical ship speed and deck geometry anchors	possible local boost or aircraft improvement changes launch envelope	ship knot gain != automatic MTOW gain; ambient wind/course/deck run/aircraft acceleration/recovery remain	42;50	A
NAVY-SHIP	carrier sortie generation	all carriers	ID3;ID4	historical deck/hangar procedure and geometry anchors	better aircraft reliability/tooling can shorten some maintenance cycles	fueling, ordnance handling, elevators, spotting, deck clearance and recovery remain independent bottlenecks	50	A
NAVY-SHIP	carrier aviation fuel / fire protection / damage control	all carriers	ID2;ID3;ID4	historical compartmentation and fuel-system architecture remain anchor unless refit	better pumps, wiring, seals, emergency power/materials can improve resilience if actually fitted/trained	no automatic USN-style damage control; doctrine/training/redundancy/compartmentation must be audited	50	A
NAVY-SHIP	shipboard AA / directors / radar	1939-45	ID1;ID4	historical gun/mount/director/radar installations remain date-specific anchors	Asai electronics/QC can enable better subsystems when adopted	do not copy aircraft electronics progress into ship fit; gun range/ROF/director accuracy/radar fit each require local audit	50	A
NAVY-SHIP	Yamato / A-140 main propulsion	1937 decision onward	ID0;ID2	historical-style all-steam A-140F6 central path	No.13 diesel knowledge/QC remains a technical branch, not automatic capital-ship installation	do not reopen mixed diesel main plant or add GT solely because capability exists	42;50;large-marine rebaseline	A
NAVY-SHIP	destroyer / cruiser GT boost	1938-41 candidate	ID4	historical hull/main plant/speed anchors	GT can be studied for short boost or damaged-plant supplementation	high-speed cube-law return small; intake/exhaust/reducer/shaft/salt MTBO gates mandatory	42;50;large-marine rebaseline	A
NAVY-SHIP	ship construction count / commissioning schedule	1937-45	ID4	historical yard/slip/material/procurement schedule is default anchor	industrial/QC efficiency can reduce some rework or delays	no extra hull or earlier commissioning without yard capacity, materials, budget/procurement and recorded construction event	50	A
NAVY	naval ships / shipboard weapons not explicitly listed	current guard	ID0 default	historical hardware remains default anchor	no silent Asai delta unless a current local canon closes one	do not generalize aircraft/vehicle improvements into ships/ordnance; open local audit if material	50	A
ALL	historical weapon/aircraft fire-effect numbers	all periods	ID2;ID3;ID4	historical hardware/weapon identity may remain	sight/calibration/boresight/ballistics/workflow/training state may differ	do not copy historical hit-rate/CEP/first-round-hit simply from same designation	51/51A;50	A
ARMY-AIR	Ki-27 gunnery chain	1939 Nomonhan	ID2;ID3;ID4	Type 89 telescopic sight + 2x7.7mm hardware retained	FCS1 optical/boresight/mount/sync/ammo-lot/re-zero quality differs	same Ki-27 != same gunnery realization; no blanket reflector/gyro sight	51/51A	A
ARMY-AIR	Ki-21/Ki-30 bombing chain	1939	ID2;ID3;ID4	historical bombsight architecture retained	instrument calibration/ballistic tables/release-delay/wind-setting workflow improved	same bomber/bomb load != identical bombing concentration; no future analog computer	51/51A	A-
GROUND	same gun designation / firing effect	1939+	ID2;ID3;ID4	gun/caliber may remain historical	sight zero/recoil return/ammo-lot/range-table/workshop re-zero may differ	do not convert QC into penetration; resolve ammunition separately	51/51A	A
NAVY-SHIP	same naval gun / AA weapon / director effect	1939+	ID1;ID2;ID3;ID4	historical weapon/director installation remains date-specific	computation/angle transmission/servo/fuze/QC may differ if adopted	no generic accuracy/ROF/range bonus; mount/sensor/ammo/director each local gate	51/51A;50	A
AMMUNITION	AT-37 dense-core AP / Type94 infantry 37mm rapid-fire gun	1939-06-27	ID4	historical infantry AT gun retained	48 rounds forward =4 guns x12	separate complete round; combat validation still OPEN; cannot be fired as Ha-Go tank-gun stock	41;50;51;60/05-06	A
AMMUNITION	TANK-37 dense-core AP / Type94 37mm tank gun	1939-06-27	ID4	historical Ha-Go tank gun retained	48 rounds forward =8 Ha-Go x6	separate short-case tank-gun complete round; combat validation still OPEN; not interchangeable with AT-37	50;51;60/05-06	A
