path	layer	authority_status	domain_guess	size_bytes	first_heading
nested/asai-worldline-v48r3-source-restored/142-SOURCE-RESTORE-INTEGRITY-V48R3-2026-08-26.md	semantic-v48-support	BASE-SUPPORT	cross-domain	1792	142 — v48r3 source restore / integrity repair — 2026-08-26
nested/asai-worldline-v48r3-source-restored/143-PACKAGE-QA-V48R3-2026-08-26.md	semantic-v48-support	BASE-SUPPORT	cross-domain	699	143 — Package QA v48r3 — 2026-08-26
nested/asai-worldline-v48r3-source-restored/15-SUBMARINE-REBASELINE-P0-1927-33-2026-08-23.md	semantic-v48-support	BASE-SUPPORT	marine	969	P0 潜水艦再基底化 — 1927–33
nested/asai-worldline-v48r3-source-restored/16-SUBMARINE-MATURATION-P0-1934-37-2026-08-23.md	semantic-v48-support	BASE-SUPPORT	marine	1325	P0 潜水艦再基底化 — 1934–37
nested/asai-worldline-v48r3-source-restored/17-SUBMARINE-AIRCRAFT-P0-1929-41-2026-08-23.md	semantic-v48-support	BASE-SUPPORT	aviation;marine	1574	P0要約 — 潜水艦搭載機 1929–41
nested/asai-worldline-v48r3-source-restored/18-SUBMARINE-SERIES-P0-1938-41-2026-08-23.md	semantic-v48-support	BASE-SUPPORT	marine	1350	1938–41 潜水艦系列 P0監査要約
nested/asai-worldline-v48r3-source-restored/19-SUBMARINE-PROPULSION-P0-1940-43-2026-08-23.md	semantic-v48-support	BASE-SUPPORT	marine	1227	19 — 潜水艦主機合理化 P0 1940–43（v20）
nested/asai-worldline-v48r3-source-restored/20-SUBMARINE-UNDERWATER-P0-1938-43-2026-08-23.md	semantic-v48-support	BASE-SUPPORT	marine	1902	20 — 潜水艦水中系 P0 1938–43（v21）
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/00-NEXT-CHAT-START-HERE.md	marine-process-history	ARCHIVE-PROCESS	marine;gas-turbine;company	5660	2026-08-27 Marine GT / naval adoption handoff — START HERE
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/01-WORKING-ENGINE-LEDGER.md	marine-process-history	ARCHIVE-PROCESS	marine;gas-turbine;company	7739	Working engine ledger — marine GT discussion through 2026-08-27
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/02-MARINE-IMPLEMENTATION-WORKING.md	marine-process-history	ARCHIVE-PROCESS	marine;gas-turbine;company	5939	Marine implementation working state — OPEN unless stated otherwise
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/03-CARRIER-WORKING-CALCULATIONS.md	marine-process-history	ARCHIVE-PROCESS	marine;gas-turbine;computation;company	4913	Carrier GT working calculations — NOT adoption canon
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/04-FUEL-POOL-WORKING.md	marine-process-history	ARCHIVE-PROCESS	marine;gas-turbine;company	4263	Fuel-pool working model — GT / turbo-diesel / steam / aviation
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/05-OPEN-CLOSED-MATRIX.tsv	marine-process-history	ARCHIVE-PROCESS	marine;gas-turbine;company	2631	
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/06-ENGINE-SCALE-WORKING.csv	marine-process-history	ARCHIVE-PROCESS	marine;gas-turbine;company	1020	
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/07-TAIYO-WORKING-CALC.csv	marine-process-history	ARCHIVE-PROCESS	marine;gas-turbine;company	574	
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/08-HISTORICAL-CROSSWALK-SEED.tsv	marine-process-history	ARCHIVE-PROCESS	marine;gas-turbine;company	1649	
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/09-NEXT-CHAT-CHECKLIST.md	marine-process-history	ARCHIVE-PROCESS	marine;gas-turbine;company	1058	Next-chat checklist
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/10-HISTORICAL-TECH-CROSSWALK-V1.tsv	marine-process-history	ARCHIVE-PROCESS	marine;gas-turbine;company	9428	
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/100-PROCESS-STATE-V7.json	marine-process-history	ARCHIVE-PROCESS	marine;gas-turbine;company	2856	schema=asai-marine-gt-processing-state-v7
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/101-PROCESS-VALIDATION-REPORT-V7.txt	marine-process-history	ARCHIVE-PROCESS	marine;gas-turbine;company	1576	
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/102-EVIDENCE-AND-HISTORY-CLASS-TAXONOMY-V8.tsv	marine-process-history	ARCHIVE-PROCESS	marine;gas-turbine;company	3445	
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/103-MARINE-GT-CLAIM-BOUNDARY-REGISTER-V8.tsv	marine-process-history	ARCHIVE-PROCESS	marine;gas-turbine;company	6016	
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/104-HISTORY-PROMOTION-AND-STOP-RULES-V8.tsv	marine-process-history	ARCHIVE-PROCESS	marine;gas-turbine;company	2672	
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/105-ENGINEERING-VS-HISTORY-AUTHORITY-MATRIX-V8.tsv	marine-process-history	ARCHIVE-PROCESS	marine;gas-turbine;company	1530	
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/106-MARINE-GT-DECISION-FRONTIER-V8.tsv	marine-process-history	ARCHIVE-PROCESS	marine;gas-turbine;company	2458	
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/107-MARINE-GT-REWORK-QUEUE-V8.tsv	marine-process-history	ARCHIVE-PROCESS	marine;gas-turbine;company	2176	
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/108-V8-BOUNDARY-NOTES.md	marine-process-history	ARCHIVE-PROCESS	marine;gas-turbine;company	3940	Marine GT V8 — engineering/history boundary hardening
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/109-MARINE-GT-PRECEDENCE-OVERLAY-V8.tsv	marine-process-history	ARCHIVE-PROCESS	marine;gas-turbine;company	1732	
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/11-CROSSWALK-DECISION-PASS1.md	marine-process-history	ARCHIVE-PROCESS	marine;gas-turbine;company	4128	Crosswalk decision pass 1 — 2026-08-27
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/110-PROCESSED-START-HERE-V8.md	marine-process-history	ARCHIVE-PROCESS	marine;gas-turbine;company	1720	Marine GT processed handoff — START HERE V8
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/111-PROCESS-STATE-V8.json	marine-process-history	ARCHIVE-PROCESS	marine;gas-turbine;company	2543	schema=asai-marine-gt-processing-state-v8
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/112-PROCESS-VALIDATION-REPORT-V8.txt	marine-process-history	ARCHIVE-PROCESS	marine;gas-turbine;company	1806	
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/113-POWER-STATION-ACCOUNTING-CORRECTION-V9.tsv	marine-process-history	ARCHIVE-PROCESS	marine;gas-turbine;company	2189	
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/114-LL20-R2-TECHNICAL-PACKAGE-V9.tsv	marine-process-history	ARCHIVE-PROCESS	marine;gas-turbine;company	5111	
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/115-LL20-R2-FACILITY-AND-TEST-LOADS-V9.tsv	marine-process-history	ARCHIVE-PROCESS	marine;gas-turbine;company	3032	
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/116-E6-M-MARINE-BOOST-ROLE-QUALIFICATION-V9.tsv	marine-process-history	ARCHIVE-PROCESS	marine;gas-turbine;turbo-boost;company	3283	
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/117-TAIYO-DUAL-PATH-COMMON-INTERFACE-V9.tsv	marine-process-history	ARCHIVE-PROCESS	marine;gas-turbine;company	4606	
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/118-MARINE-GT-REWORK-QUEUE-V9.tsv	marine-process-history	ARCHIVE-PROCESS	marine;gas-turbine;company	2457	
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/119-V9-TECHNICAL-NOTES.md	marine-process-history	ARCHIVE-PROCESS	marine;gas-turbine;company	4953	Marine GT V9 — technical continuation inside the V8 history stop line
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/12-MARINE-LARGE-SCALE-AUDIT-V1.py	marine-process-history	ARCHIVE-PROCESS	marine;gas-turbine;company	4783	
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/120-MARINE-GT-PRECEDENCE-OVERLAY-V9.tsv	marine-process-history	ARCHIVE-PROCESS	marine;gas-turbine;company	1342	
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/121-PROCESSED-START-HERE-V9.md	marine-process-history	ARCHIVE-PROCESS	marine;gas-turbine;company	1326	Marine GT processed handoff — START HERE V9
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/122-PROCESS-STATE-V9.json	marine-process-history	ARCHIVE-PROCESS	marine;gas-turbine;company	2818	schema=asai-marine-gt-processing-state-v9
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/123-PROCESS-VALIDATION-REPORT-V9.txt	marine-process-history	ARCHIVE-PROCESS	marine;gas-turbine;company	2501	
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/124-E5-QUALIFICATION-CRAFT-TECHNICAL-DOSSIER-V10.tsv	marine-V10-current	CURRENT-MARINE	marine;gas-turbine;company	4820	
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/125-E5-QUALIFICATION-CRAFT-DELETION-AND-CLOSURE-LEDGER-V10.tsv	marine-V10-current	CURRENT-MARINE	marine;gas-turbine;company	2422	
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/126-TEST-PLATFORM-INFORMATION-COVERAGE-MATRIX-V10.tsv	marine-V10-current	CURRENT-MARINE	marine;gas-turbine;company	1601	
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/127-TEST-PLATFORM-MARGINAL-VALUE-AND-ACTIVATION-GATES-V10.tsv	marine-V10-current	CURRENT-MARINE	marine;gas-turbine;company	2604	
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/128-MARINE-EVIDENCE-PRIMARY-SECONDARY-METHOD-V10.tsv	marine-V10-current	CURRENT-MARINE	marine;gas-turbine;company	2372	
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/129-MARINE-GT-REWORK-QUEUE-V10.tsv	marine-V10-current	CURRENT-MARINE	marine;gas-turbine;company	2162	
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/13-MARINE-LARGE-SCALE-AUDIT-V1.tsv	marine-process-history	ARCHIVE-PROCESS	marine;gas-turbine;company	3591	
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/130-V10-TECHNICAL-NOTES.md	marine-V10-current	CURRENT-MARINE	marine;gas-turbine;company	3835	Marine GT V10 — qualification-craft dossier and test-platform information value
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/131-MARINE-GT-PRECEDENCE-OVERLAY-V10.tsv	marine-V10-current	CURRENT-MARINE	marine;gas-turbine;company	1388	
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/132-PROCESSED-START-HERE-V10.md	marine-V10-current	CURRENT-MARINE	marine;gas-turbine;company	2625	Marine GT processed handoff V10 — start here
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/133-PROCESS-STATE-V10.json	marine-V10-current	CURRENT-MARINE	marine;gas-turbine;company	2888	schema=asai-marine-gt-processing-state-v10
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/134-PROCESS-VALIDATION-REPORT-V10.txt	marine-process-history	ARCHIVE-PROCESS	marine;gas-turbine;company	2838	
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/14-MARINE-LARGE-SCALE-AUDIT-NOTES-V1.md	marine-process-history	ARCHIVE-PROCESS	marine;gas-turbine;company	3368	Marine large-scale audit notes V1 — 2026-08-27
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/15-TAIYO-WORKING-RECALC-V2.csv	marine-process-history	ARCHIVE-PROCESS	marine;gas-turbine;company	728	
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/16-LARGE-CORE-AVAILABILITY-GATES-V1.tsv	marine-process-history	ARCHIVE-PROCESS	marine;gas-turbine;company	2054	
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/17-E6-TORPEDO-BOAT-DECISION-V1.md	marine-process-history	ARCHIVE-PROCESS	marine;gas-turbine;company;weapons-systems	2549	E6 torpedo-boat decision V1 — 2026-08-27
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/18-TEST-PLATFORM-DECISION-V1.md	marine-process-history	ARCHIVE-PROCESS	marine;gas-turbine;company	3309	Marine GT test-platform decision V1 — 2026-08-27
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/19-CARRIER-BOOST-COMPARISON-V1.csv	marine-process-history	ARCHIVE-PROCESS	marine;gas-turbine;turbo-boost;company	5815	
nested/asai-worldline-v48r3-source-restored/2026-08-27-marine-gt-handoff/20-CARRIER-DECISION-PASS1.md	marine-process-history	ARCHIVE-PROCESS	marine;gas-turbine;company	6448	Carrier propulsion decision pass 1 — 2026-08-27
