domain	item	historical_1937_summer	historical_note	current_branch_effect	performance_delta	production_development_delta	status	next_audit
陸軍・迫撃	九七式90mm迫撃砲	制式化境界	1937式。生産年次に資料差	同上	小	早期量産候補だが史実確認優先	HIGH-OPEN	正確な採用・生産開始
陸軍・迫撃	九七式150mm迫撃砲	制式化境界	九六式簡略化枝とされるが年次資料に混乱	同上	小	前倒しすると支援火力景観が変わるので保留	HIGH-OPEN	96/97型の系譜と台数
陸軍・小火器	九六式軽機関銃	採用済/量産立上げ	1936採用。1937に南部会社が中央工業へ。大規模量産は1938との資料	浅井の限界ゲージ、工具寿命、熱処理、部品互換/QCが最も効きやすい	中。弾道は同じだが初期故障率・互換性・生産速度が変わり得る	1937夏に「大量普及済み」は不可。ただし史実より量産立上げを数か月～半年滑らかにする余地大	HIGH-OPEN	工場設備導入と1937月産を監査
陸軍・小火器	九七式狙撃銃	採用/生産準備	1937採用、主要生産は1938以後	精密加工・光学取付ゲージで歩留り改善	小～中。精度の平均より下側品質を改善	1937夏の大量配備は不可	HOLD-HISTORICAL	1937試製数
陸軍・小火器	九七式車載重機関銃	採用・生産入口	1937制式、後に大量生産	ゲージ/熱処理/QCが効く	小	チハ等の量産と同期。夏の大量在庫は不要	LIKELY	採用月・初年度台数
陸軍・対戦車	九七式自動砲 20mm	試験	1937に8挺級試作試験、1938に50挺運用試験	加工・熱処理で成立性は上がるが重く複雑という設計問題は残る。高密度芯special APとの相性は良いが、1937夏は砲自体が試験段階なので弾も試験/少量備蓄に留める。	通常弾は史実級。special APでは対軽装甲性能の大幅改善余地があるが具体値OPEN	1937夏に量産は不可。試験数と弾種比較を増やし、1938以後の採用判断へ繋げる	HOLD-HISTORICAL	20mm弾芯質量、初速維持、反動/給弾、実射貫徹を監査
陸軍・戦車砲	九七式57mm戦車砲	採用/チハ連動	チハ用低初速歩兵支援砲	加工/QCで耐久・再現性改善。対戦車性能は改善しない。dense-core弾は試験可能だが低初速という根本制約を解消しない。	小。special APでも高初速対戦車砲の代用にはならず、通常の歩兵支援砲という性格を維持	チハ量産と同期	HOLD-HISTORICAL	砲生産の先行在庫有無
陸軍・戦車砲	ハ号37mm砲の1937改良	改良移行	1937頃に高初速化/新型砲への移行枝	砲身材/QCは寄与し得る	小～中	既存車への改修速度を少し上げ得る	AUDIT	Type94/Type97 37mm呼称混乱を整理
陸軍航空	九七式司令部偵察機 Ki-15	量産開始/実戦投入直前	1936年5月初飛行、1937年5月から量産機引渡し	機体性能は原則史実。発動機・冷却・振動・試験収束が少し良い	小。最高速を盛らない	1937夏に実際に存在する九七式航空機。中国戦開始時に主力偵察へ	CLOSED-METHOD	1937年末までの引渡し数
陸軍航空	九七式戦闘機 Ki-27	前生産	1937年6–12月に前生産10機、量産命令は12月28日	原則史実性能。U4計算で試作収束は良化可能	小	夏は数機以下。早期大量生産を置くと景色が変わり過ぎるため不可	CLOSED-METHOD	数か月前倒しを許すかは要求/工場監査後
陸軍航空	九七式重爆撃機 Ki-21	試作/競争	1937年競争試験、11月量産発注、引渡しは1938	計算・発動機整合で試験は効率化するが機体を先行量産しない	小	夏は試作機のみ	CLOSED-METHOD	Fiat BR.20購入との関係を後で監査
陸軍航空	九七式軽爆撃機 Ki-30	試作	1937年2月初飛行、実用試験機は1938初まで	計算/冷却/振動の収束改善	小	夏は試作。量産は1938	CLOSED-METHOD	Ki-32競争との工程差
陸軍航空	Ki-32軽爆	試作	1937年3月初飛行、液冷Ha-9系問題	浅井計算だけで発動機固有問題を魔法解決しない	小	史実並みの遅延を基本保持	HOLD-HISTORICAL	浅井部品供給が実際にあるか
海軍航空	九六式艦上戦闘機 A5M	量産・実戦配備	1936制式・生産	機体諸元ほぼ史実。計算/QCでばらつき・冷却・整備性改善	小	史実に近い生産。既に戦力景観を作る機種	CLOSED-METHOD	1937夏の型別在庫
海軍航空	九六式陸上攻撃機 G3M	量産・配備	G3M1は1936から34機、より強力なG3M2へ移行	金星系列の成熟、冷却・振動・量産再現性が改善	小～中。headline性能は史実級	史実より「同じ機体がちゃんと動く」方向。量産年次は大幅前倒ししない	CLOSED-METHOD	G3M2切替月と発動機型
海軍航空	九六式小型水上機 E9W	量産・潜水艦配備	1935生産開始、1936制式	接着・治具・防食/QCは相性が良い	小	史実量産維持、組立再現性向上	LIKELY	植物FRPは主構造へ入れない
海軍航空	九六式艦上爆撃機 D1A2	量産	1936–40生産	材料/QCの間接影響のみ	小	史実生産	HOLD-HISTORICAL	特段の浅井枝なし
海軍航空	九六式艦上攻撃機 B4Y	量産・橋渡し	1937–38に約200機規模	工具/QCのみ。旧式構成を先端化しない	小	史実に近い。B5Nまでの橋渡し	HOLD-HISTORICAL	1937年産数
海軍航空	九七式艦上攻撃機 B5N	競争勝利/初期生産入口	1937年1月初飛行、競争後に生産発注。新機構に海軍が慎重	U4計算・試験で油圧/構造の収束を少し早め得るが、海軍の慎重さは残る	小～中	1937夏に大量配備は不可。後半から初期生産が妥当	AUDIT	史実初号量産機の月と浅井による前倒し上限
海軍航空	九七式艦攻競争 B5M	競争/限定生産	B5N競争相手、固定脚など保守的	浅井影響小	小	史実同様に限定枝	HOLD-HISTORICAL	生産数/時期
海軍航空	九七式飛行艇 H6K	試作/試験	1936年7月初飛行、就役/引渡し1938年1月	金星成熟・多発機計算/QCの恩恵は大きめだが日程を飛躍させない	小～中	1937夏は試作機。量産配備を前倒ししない	CLOSED-METHOD	1937試作機数と改修
航空兵装	九七式航空機銃	採用/初期生産	1937型、後に広く使用	ゲージ・工具・熱処理の量産効果	小	航空機の搭載数に同期。夏の在庫量は要監査	AUDIT	陸海別のType97呼称を分離
海軍・対空	九六式25mm機銃	採用直後/増備	1936年8月採用。初期撃針寿命約250発→熱処理・形状・加工改善で約4000発とされる	浅井の特殊鋼・熱処理・ゲージ・加工QCが歴史的問題に直撃。surface/light-armor用special APとしてdense-core弾を限定評価できるが、対空性能の主問題は解決しない。	信頼性は中～大。対軽装甲用special APは追加利得あり得るが、15発弾倉・追随・照準等の対空限界は残る	史実より早く撃針/部品寿命改善を量産へ戻せる可能性が高い。砲自体をBofors化しない	HIGH-OPEN	撃針寿命改善時期に加え、25mm対軽装甲special APを補助用途として別評価
海軍・射撃指揮	九二式射撃盤・九四式方位盤等	配備拡大	史実の機械式射撃指揮体系	浅井計算、同期電動、切替盤、計測で情報伝達/調整を改善	中。射撃理論そのものを未来化しない	大型艦改装/新造に順次反映。1937夏の既存艦全てに一律ではない	CLOSED-DIRECTION	艦別装備crosswalk
海軍・艦艇	最上型巡洋艦	就役/改修	初期艦は溶接・復原性等の問題、後続艦で改善	浅井材料/QC/計算は助けるが、史実の構造問題を消さない	小～中	最上・三隈の問題は残す。鈴谷・熊野で成熟がやや滑らか	HOLD-HISTORICAL	艦別改修時期
海軍・艦艇	金剛型/比叡改装	改装進行	史実の高速戦艦化・射撃指揮/電装更新	浅井は電源・切替・計算・工具/QCに寄与。蒸気主機をGTで置換しない	中（電装信頼性）	比叡のE4非常GTは1937–40改装文脈の限定overlay	CLOSED-DIRECTION	E4搭載時期と配置
海軍・基地	E4固定式非常GT	定常少量納入	史実に同種GTなし	1932以後、基地・要塞・工廠へ475kW級発電装置	大。新能力	1937年新規15–25＋予備5–10コア/年working	CLOSED-DIRECTION	設置先実名・台数
海軍・推進	E4/E5舶用GT	共同試験	史実に同等なし	1934から艦政共同研究、1937夏は評価段階	大だが未制式	量産艇主機ゼロ。試験基数のみ	CLOSED-DIRECTION	1938以後marine qualification
共通・特殊徹甲弾	天然U高密度芯special AP	史実日本に同等の実用弾なし	天然Uは高密度だが1937史実では工業的弾材として未利用	浅井の天然U金属化を使い、20–37mm級高初速対装甲火器向けに1937から限定戦備化。後世DU合金のself-sharpening性能は自動付与しない	材料密度による短距離対装甲利得は大きい可能性。ただし無合金天然Uの強度・異方性・腐食制約があり具体貫徹値OPEN	1937軍用弾材1.5–3t-U/年。1938 qualification良好なら4–6t/年級へ。1939以後は核研究用機会費用から抑制	WORKING-ALLOCATION	九四式37mm・九七式20mmの弾芯質量を置いて完成弾数へ変換
共通・特殊徹甲弾	W系高密度芯special AP	海外でhard-W/WC系高密度芯思想が成立し始める時期	WHA自体は1935発明級だがpenetrator-grade成熟とは分離	WC/硬質Wを性能照合とbackupに使い、WHAは弾道用強度を確認する限定試験。Uが使える用途ではW弾を意図的に節約	短距離対装甲性能は大きく改善し得る。WHAがWCより優越するとは置かない	1937弾材0.5–1.5t-W eq/年。U代替で1937 2–4t-W/年、1938 4–7t-W/年orderのWを工具/HSS/WCへ温存	CLOSED-DIRECTION	用途別W配賦、WCとWHAの弾道比較、特殊弾完成数を監査
共通・資源配分	dense-core弾材のW/U配分	該当なし	日本にとってWは工具・超硬にも重要な戦略資源	同等用途をUで代替できる限りWを弾薬へ浪費せず、HSS/cemented carbide等へ優先する	兵器単体の性能ではなく、特殊弾供給と工作能力の両立に効く	1937はU 60–80% / W系20–40%程度から開始。qualification良好なら1938はU 75–90% / W系10–25%を中央方向	CLOSED-DIRECTION	1937-38の特殊弾需要とHSS/WC需要を同一W資源勘定で統合
