claim_id	domain	entity	claim	status	authority_layer	effective_branch	source_pointer	supersedes	notes
B-0013	gas-turbine	E5	1934–37世代、standard small core 7.6kg/s、headline約1,000hp級。1936成立域	CLOSED	semantic-v48-main	v48+	main/asai-works-engine-capability-core-e1-e9.md		E5-S-T complete installationは別gate
B-0014	computation	engine makers U4	1935–37に三菱・中島主要発動機部門がU4へ移行。設備購入だけで浅井内部能力を即相続しない	CLOSED	semantic-v48-main	v48+	main/asai-works-computation-origin-business.md; main/asai-works-engine-computation-maturation-1934-37.md		
B-0015	materials	plant-fiber epoxy composite	1934–37に麻/亜麻＋樹脂、紙ハニカム、接着構造が二次～準構造へ進む。1937夏に主桁等全面一次構造化はしない	CLOSED-TECH	semantic-v48-main + current-session	2026-08-30	main/asai-works-materials-resin.md; 07-SESSION-DELTA-2026-08-30.md		
B-0016	aviation	plant-composite small TP aircraft	1937夏までに植物FRP部分構造を使う実用寄り小型TP機系列が外部評価/少量販売域へ来ている枝を救済	WORKING	current-session	2026-08-30	07-SESSION-DELTA-2026-08-30.md; archive-previous-overlay/CURRENT-HANDOFF-NOTES-2026-08-29-pre-naval-integration.md	pre-v48 STOL/材一号 adoption	名称・販売数・STOLとの同一性は再監査
B-0017	rotorcraft	Asai helicopter program	1932予備、1933正式着手、1935拘束浮揚/hop、1936自由飛行、1937夏までに浅井180–200hp機関搭載試験	CLOSED-TECH	current-session	2026-08-30	07-SESSION-DELTA-2026-08-30.md	pre-v48 Kayaba fixed division	萱場は独立史実寄り枝
B-0018	rotorcraft	post-1937 large helicopter	E5/E6 1000–1500hp級単発/双発輸送・軍用化	OPEN	current-session	2026-08-30	07-SESSION-DELTA-2026-08-30.md	old rotorcraft adoption	1937夏以後は見込み
B-0019	aviation	1937 summer historical aircraft effect	A5M/G3M/Ki-15/Ki-27等は原則史実機のまま。主差は発動機・計算・試験・failure loopの成熟	CLOSED-METHOD	current-session + v48	2026-08-30	07-SESSION-DELTA-2026-08-30.md; main/asai-works-aviation-reconstruction-framework-v48.md	old uniform performance bonuses	
B-0020	ground	Type 97 ordinary tank	Type 97まで普通戦車線を閉鎖。Chi-Haは三菱V12＋浅井低圧turbo/intake、約180PS normal/200PS max、peak torque約700Nm、39–40km/h	CLOSED	late-8/29-overlay	2026-08-29+	CURRENT-HANDOFF-NOTES-2026-08-29-FULL-V3.md	older tank canon	
B-0021	ground	1938 GT tank	約15t、300/340hp prototype。技術成功、通常主力代替はfuel/dustで否定。特殊冬季枝	CLOSED-TECH	late-8/29-overlay	2026-08-29+	CURRENT-HANDOFF-NOTES-2026-08-29-FULL-V3.md	older GT tank expansion	
B-0022	ground-marine	landing craft propulsion	SR-III、小発/大発/特大発はNA diesel本流。河川装甲艇は重量増で400–450hp turbo-dieselが自然。通常GT推進不利	CLOSED	late-8/29-overlay	2026-08-29+	CURRENT-HANDOFF-NOTES-2026-08-29-FULL-V3.md	older GT landing-craft branches	
B-0023	marine	E5 small marine GT	旧E5 1300hp舶用設定を廃棄しstandard E5-Sは約1000hp級	CLOSED	late-8/29-overlay + v41	2026-08-29+	CURRENT-HANDOFF-NOTES-2026-08-29-FULL-V3.md; main/asai-works-e4-e5-product-massflow-size-rebaseline-1931-37.md	old 1300hp E5-S	
B-0024	marine	carrier GT boost before 1941-12-08	中央線で実搭載なし	CLOSED	late-8/29-overlay	2026-08-29+	CURRENT-HANDOFF-NOTES-2026-08-29-FULL-V3.md	older carrier GT adoption	
B-0025	marine	Hiei emergency GT	E4系400–450kW級非常GT generator 1基P2を比叡に載せるdiscussion overlay	CLOSED-OVERLAY	late-8/29-overlay	2026-08-29+	CURRENT-HANDOFF-NOTES-2026-08-29-FULL-V3.md		翔鶴/大和へ自動標準化しない
B-0026	marine	propulsion test ship classification	横須賀海軍工廠所属雑役船（雑種船）、用途呼称機関実験船、固有名なし、公称番号船	CLOSED	current-session	2026-08-30	07-SESSION-DELTA-2026-08-30.md	8/29 name/class OPEN	番号4017はworking
B-0027	marine	propulsion test ship machinery	1938要求/1939設計発注/1940進水艤装/1941本格試験、700–900t基準、2軸、初期2×E6-M約4,000–4,400hp＋safe-return diesel	CLOSED-DIRECTION	late-8/29 + current-session	2026-08-30	CURRENT-HANDOFF-NOTES-2026-08-29-FULL-V3.md; 07-SESSION-DELTA-2026-08-30.md		詳細配置は後続設計論
B-0028	production	1937 GT/turbo actual output	GT約125 cores/year、排気ターボ約1300 cores/year	WORKING	current-session	2026-08-30	07-SESSION-DELTA-2026-08-30.md		実需・工場監査前
B-0029	production	1937 excess capacity	通常能力GT270–320、turbo2000–2200/year、二交代混成GT350–400＋turbo1700–1900、航空最優先E5 500–600/year級	WORKING	current-session	2026-08-30	07-SESSION-DELTA-2026-08-30.md		人員/設備/材料監査が必要
B-0030	production	jet production argument	pure jetは航空用main reduction gearとlarge propeller系を不要とし、既存piston航空機関ラインと競合しにくい追加生産能力として1937以後売り込める	CLOSED-METHOD	current-session	2026-08-30	07-SESSION-DELTA-2026-08-30.md		accessory gearsまでゼロという意味ではない
B-0031	materials	uranium feedstock strategy	1926–30以後の中央はbulk低品位鉱石大量備蓄でなく、vanadium/radium副産物のuranium-bearing residue/concentrate/oxideへの長期off-take＋必要在庫	CLOSED-METHOD	current-session + old uranium branch	2026-08-30	14-URANIUM-ROUTE-ECONOMIC-AUDIT-1937.md; main/asai-works-uranium.md	old cheap-bulk-ore wording	U contentの限界価格が低いことと精製済みmetalが安いことを分離
B-0032	materials	1937 natural uranium specialty metal	1926–30から別lineを育てるなら1937夏に天然uranium metalを特殊高密度材として小量販売できる段階は成立可能	WORKING	current-session + historical-cost audit	2026-08-30	14-URANIUM-ROUTE-ECONOMIC-AUDIT-1937.md	old unpriced uranium route	一般commodityではなくtungsten-density役との競争
B-0033	production	1937 uranium economic band	1937 engineering natural-U metal cost $4.5–7/lb、controlled dense-U billet/simple alloy $6–10/lb、saleは概ね$7–14/lbを中央とする	WORKING	current-session + historical-cost audit	2026-08-30	15-URANIUM-TUNGSTEN-DENSE-MATERIALS-AUDIT-1937.md	old $8–15/lb cost / $12–20 sale band	nuclear-grade purityではなくindustrial dense metalとして再監査
B-0034	materials	uranium titanium assumption	U-0.75Tiを1937浅井の中央材料からREMOVE。Ti一般研究は別branchでありuranium商品材の前提にしない	SUPERSEDED	current-session	2026-08-30	15-URANIUM-TUNGSTEN-DENSE-MATERIALS-AUDIT-1937.md	old U-Ti uranium-ap wording	uranium compositionは別途qualificationする
B-0035	materials	uranium carbide hardmetal	UC等をWC/cemented-carbideの切削・耐摩耗代替にする中央案は棄却。1930年代前半の比較研究dead-endは可	CLOSED-TECH-REJECT	current-session + materials audit	2026-08-30	15-URANIUM-TUNGSTEN-DENSE-MATERIALS-AUDIT-1937.md	old uranium hard-alloy expectation	UCは硬度・密度・酸化/発火取扱でWC代替にならない
B-0036	materials	tungsten heavy alloy	浅井のW粉末冶金/超硬能力から1935–37にW-Ni-Cu級heavy alloyを小量商品化可能。counterweight/shield/dense componentが中央	WORKING-CENTRAL	current-session + historical calibration	2026-08-30	15-URANIUM-TUNGSTEN-DENSE-MATERIALS-AUDIT-1937.md		1935史実発明/1938商用化を能力drivenで少し前倒し
B-0037	materials	uranium dense alloy ordnance evaluation	1937にU-base high-density metalを軍用dense-core材料として評価可能だが、量産採用・具体弾道性能はOPEN	WORKING-TECH	current-session	2026-08-30	15-URANIUM-TUNGSTEN-DENSE-MATERIALS-AUDIT-1937.md	old uranium-ap mass-adoption implication	WHA/WC/Uの3-way material comparison
B-0038	materials	tungsten dense-core ammunition	1937浅井はW系dense-core対装甲弾を評価可能。ただし小口径で即戦力の中央はWC/硬質W芯で、W-Ni-Cu heavy alloy penetratorは遮蔽材より弾道用強度要求が厳しく限定試験扱い	WORKING-TECH	current-session + historical calibration	2026-08-30	16-DENSE-CORE-AMMUNITION-MILITARY-IMPACT-1937.md	WHA=即APCRという単純化	1935 WHA発明とpenetrator-grade成熟を分離
B-0039	materials	natural uranium dense-core ammunition	1937に天然U金属を高密度芯材として実射評価することは可能。ただし無合金天然Uへ後世DU合金のself-sharpening/高強度を自動付与しない	WORKING-TECH	current-session + materials audit	2026-08-30	16-DENSE-CORE-AMMUNITION-MILITARY-IMPACT-1937.md	natural U = modern DU penetrator	密度19.05g/ccは利点、異方性/腐食/強度は制約
B-0040	weapons	dense-core ammunition military effect	軍事効果の中央は既存/近接世代の20–37mm高初速対装甲火器へ少量のspecial APを与えること。九四式37mm対戦車砲は大、九七式20mm自動砲は量産後大。チハ九七式57mm低初速砲はdense coreだけでは対戦車砲化しない	CLOSED-DIRECTION	current-session + historical ballistics comparison	2026-08-30	16-DENSE-CORE-AMMUNITION-MILITARY-IMPACT-1937.md	all guns benefit equally	貫徹値そのものは実射監査までWORKING
B-0041	strategy	natural uranium ammunition after fission discovery	1939以後は天然Uの核研究用機会費用が急増するため、天然U弾の全面量産は抑制し、既存在庫/限定用途を除きW系または将来のdepleted-Uへ移すのが中央	CLOSED-DIRECTION	current-session + strategic-material logic	2026-08-30	16-DENSE-CORE-AMMUNITION-MILITARY-IMPACT-1937.md	natural-U ammunition as unlimited wartime commodity	1937–39は評価・限定採用window
B-0042	production	1937 uranium supply envelope	1937夏の浅井が利用可能な北米uranium feedはcurrent inflow 11–20 t-U/year、prior inventory込みusable feed 13–25 t-Uを中央。Canada単独数十t-U/yearは否定	WORKING-SUPPLY	current-session + historical production audit	2026-08-30	17-DENSE-MATERIAL-AMMUNITION-SUPPLY-AUDIT-1937.md	old 10–30 t-U/year broad supply wording	Port Hope 1937 9.1t U3O8、Uravan 1937–38 250,000lb U3O8をanchor
B-0043	production	1937 Asai natural-U metal output	専用uranium metallurgy lineの1937 routine outputは8–12 t/year、surge upper約15 t/yearをworking中央	WORKING-CAPACITY	current-session + historical production audit	2026-08-30	17-DENSE-MATERIAL-AMMUNITION-SUPPLY-AUDIT-1937.md		feedstockではなくmetalization lineが律速
B-0044	weapons	1937 dense-core ammunition material allocation	1937軍用dense-core材はnatural-U 1.5–3 t/year、W系0.5–1.5 t-W equivalent/yearをworking中央。U qualification後はUをmajority、Wを照合/backup/U不適用途へ限定	WORKING-ALLOCATION	current-session + resource-allocation audit	2026-08-30	17-DENSE-MATERIAL-AMMUNITION-SUPPLY-AUDIT-1937.md	W special AP as co-equal routine material	exact rounds and penetration remain OPEN
B-0045	strategy	tungsten rationing with uranium substitute	U dense-coreが実用化した場合、1938以後のdense-core special APはnatural-U 75–90%、W系10–25%を中央方向とし、WをHSS/cemented carbide等へ優先。1937 W savingは2–4 t/year order、1938は4–7 t/year order	CLOSED-DIRECTION	current-session + resource-allocation audit	2026-08-30	17-DENSE-MATERIAL-AMMUNITION-SUPPLY-AUDIT-1937.md		W系をzeroにはしない
B-0046	method	contingent-event continuity rule	偶発事象は、当該事象を生む実質的前提条件が現branchでも同じなら史実同様に発生させる。関連条件が変わった場合は史実結果を強制せず、その時点から再シミュレーションする	CLOSED-METHOD	current-session	2026-08-30	18-1937-07-07-EVENT-GATE.md		結果を史実へ吸着させるためのルールではなく、条件付きの偶発性保存
B-0047	history	Marco Polo Bridge Incident initial occurrence	1937-07-07夜の盧溝橋/宛平周辺の局地条件は現branchで発火を避けるほど変わっていないため、事件そのものは同日に発生する。最初の発砲者は固定せず、7月8日以後の拡大は変更済み条件から再判定する	CLOSED-EVENT	current-session + historical baseline	1937-07-07	18-1937-07-07-EVENT-GATE.md		FRUS contemporary reportingでもinitial shot responsibilityは不確定。事件発生と責任断定を分離
B-0048	history	Marco Polo Bridge initial response through 05:30 July 8	1937-07-07夕刻の夜間演習から1937-07-08 05:30前後の本格交戦開始まで、現地配置・指揮官・連絡・移動条件に浅井差が実質介在しないため、銃声・行方不明兵・交渉・再銃声・一木大隊前進/牟田口交戦許可・交戦開始の順序を史実同様にCLOSEする。最初の発砲主体は固定しない	CLOSED-EVENT	current-session + NIDS/FRUS baseline	1937-07-08	19-1937-07-07-08-INITIAL-RESPONSE-GATE.md		初動の細部責任論とevent continuityを分離
B-0049	history	Asai relevance in Marco Polo initial hours	初動数時間では浅井の過給重車両・移動電源・dense-core弾・GT航空はdecision gateにならない。歩兵軽機の九六式配備率のみminor uncertaintyだが局地決心を変えない	CLOSED-DIRECTION	current-session + equipment crosscheck	1937-07-08	19-1937-07-07-08-INITIAL-RESPONSE-GATE.md	uniform Asai effect assumption	第1連隊第3大隊の具体装備表は必要なら別監査
B-0050	history	Marco Polo first combat 05:30-06:00 July 8	1937-07-08 05:30の本格交戦開始から06:00の一時射撃停止まで、浅井差は徒歩局地戦・小火器・交渉を分岐させるほど介在しないため、短時間火戦と06:00停止を史実同様にCLOSE。個別死傷数は固定しない	CLOSED-EVENT	current-session + primary-source reconstruction	1937-07-08	20-1937-07-08-FIRST-COMBAT-GATE-0530-0600.md		Hokkaido law review uses battle report/Peiping Army Agency/embassy records
B-0051	weapons	Type 96 LMG relevance at Marco Polo first combat	九六式軽機の1937低率配備が浅井工具/QCで多少前倒しされる余地はあるが、支那駐屯歩兵第1聯隊を全面更新したとはせず、05:30-06:00の戦術結果を変える要因にしない	CLOSED-DIRECTION	current-session + equipment crosscheck	1937-07-08	20-1937-07-08-FIRST-COMBAT-GATE-0530-0600.md		具体配備数はOPEN
B-0052	history	Marco Polo morning 06:00-12:00 July 8	1937-07-08 06:00の一時停止後から正午まで、停止命令不徹底による散発射撃、長辛店方面との射撃、撤退交渉、長辛店中国軍増強は浅井差で分岐せず史実同様にCLOSEする。個別死傷・命中は固定しない	CLOSED-EVENT	current-session + primary-source reconstruction	1937-07-08	21-1937-07-08-MORNING-GATE-0600-1200.md		正午まで確定的branch divergenceなし
B-0053	communications	Fengtai military telephone outage morning July 8	豊台―天津/北平軍用電話の不調は線路漏電/障害の問題であり、浅井の移動GT電源車は解決要因にならない。当該軍用線自体を浅井が供給・保守していたCLOSED設定もないため障害と日本側の疑念は史実同様	CLOSED-DIRECTION	current-session + historical/technical crosscheck	1937-07-08	21-1937-07-08-MORNING-GATE-0600-1200.md		九二式電話はlocal battery/magneto系。diagnostic tool差はnon-branching
B-0054	movement	Tongzhou reinforcement departure 11:40 July 8	通州方面の日本軍部隊は1937-07-08 11:40に現地へ向け出発する。出発命令時刻は史実同様。11:40出発部隊の厳密編成、輸送手段、到着時刻は未固定で、道路車両差がある場合の最初の実時間branch候補として次gateへ送る	CLOSED-DEPARTURE/OPEN-ARRIVAL	current-session + primary-source reconstruction	1937-07-08	21-1937-07-08-MORNING-GATE-0600-1200.md		通州常駐1小隊と事件前に通州方面で演習中の第1大隊主力を混同しない
B-0055	person/history	Asai stance at outbreak of China conflict	盧溝橋事件・対中衝突の開始に際し、浅井本人は流れに逆らって政治的に止めようとはせず、現地交渉にも介入しない。個人的には中華民国側犠牲者への身近な接触もあり、戦争となるなら敗北を避けたいという心情が強まるため、事件初動の不拡大工作へ浅井個人が介入するbranchは置かない	CLOSED-CHARACTER	current-session	1937-07-08+	07-SESSION-DELTA-2026-08-30.md		後続の増産・軍需協力意思には影響し得るが、現地事件の因果には非関与
B-0056	history	Marco Polo afternoon 12:00-18:30 July 8	1937-07-08正午から18:30まで、部分撤退案・北平交渉難航・増援接近を経ても、浅井差は決心を反転させず、18:30の日本側自発的永定河東岸撤収決定を史実同様にCLOSEする	CLOSED-EVENT	current-session + primary-source reconstruction	1937-07-08	22-1937-07-08-AFTERNOON-GATE-1200-1830.md		18:30以後は別gate
B-0057	movement	Tongzhou/Tianjin reinforcement movement afternoon July 8	通州/天津方面増援では浅井過給重車両が道路行軍の故障脱落・牽引余裕を改善し得るが、混成縦隊は戦車/砲/歩兵/道路律速であり、18:30以前の決定的早着は置かない。exact transport/arrivalはOPEN	CLOSED-DIRECTION/OPEN-DETAIL	current-session + historical/equipment crosscheck	1937-07-08	22-1937-07-08-AFTERNOON-GATE-1200-1830.md		数十分orderのmobility marginのみ許容
B-0058	history	18:30 voluntary east-bank withdrawal decision	河邉旅団側は交渉決裂時に天津増援到着後の攻撃を腹案に持ちながらも、平和的折衝継続のため18:30自発撤収を決定。current branchでも同じ	CLOSED-EVENT	current-session + Hokkaido primary-source synthesis	1937-07-08 18:30	22-1937-07-08-AFTERNOON-GATE-1200-1830.md		増援到着と撤収決定は両立する
B-0059	history	General Staff non-expansion order 18:42 July 8	1937-07-08 18:42、参謀本部は支那駐屯軍に臨命400号で更なる兵力行使回避を指示。current branchでも同時刻・同内容。現地は18:30に既に東岸自発撤収を決定しており、当夜前半のevent sequenceを新たに反転させる命令ではない	CLOSED-EVENT	current-session + historical central-command reconstruction	1937-07-08	23-1937-07-08-09-EVENING-OVERNIGHT-GATE-1830-0210.md		
B-0060	movement	Tianjin reinforcement arrival around 19:00 July 8	天津増援は歩1第2大隊、戦車1中隊、砲兵第2大隊、工兵小隊を含み19時頃到着。浅井turbo牽引/重貨物車が一部に入る余地はあるが、混成縦隊と史料時刻精度から明確な早着は置かず、故障落伍減・到着時稼働率改善のみlatent差とする	CLOSED-TIME/WORKING-READINESS	current-session + garrison-order/artillery crosscheck	1937-07-08	23-1937-07-08-09-EVENING-OVERNIGHT-GATE-1830-0210.md		exact turbo vehicle count remains OPEN
B-0061	history	Marco Polo negotiations 19:00 July 8 to 02:10 July 9	秦徳純側不拡大表明、今井/和知系・加藤系・天津軍―張自忠系の並行交渉を経て、02:10頃までに05:00撤兵/第37師部隊移動の実務合意へ至る流れを史実同様にCLOSE	CLOSED-EVENT	current-session + Hokkaido primary-source synthesis	1937-07-08/09	23-1937-07-08-09-EVENING-OVERNIGHT-GATE-1830-0210.md		
B-0062	history	37th Division / 219th Regiment night attack July 8	第219団の夜襲意図・局地夜間行動は第29軍全体ではなく第37師levelの判断として発生。current branchで直接条件が変わらないためeventを保存するが、具体時刻・人数・戦果は史料差が大きくOPEN	CLOSED-EVENT/OPEN-TACTICAL-DETAIL	current-session + Chinese cable/US naval attaché crosscheck	1937-07-08 night	23-1937-07-08-09-EVENING-OVERNIGHT-GATE-1830-0210.md		02:10-07:10 gateで撤兵命令failureと接続
B-0063	history	withdrawal-order transmission failure 02:10-05:00 July 9	02:10頃までの05:00撤兵合意は中国側前線へ間に合って伝達されず、05:00になっても撤兵が始まらない。電話線切断/伝令阻止は中国側説明として保持し、独立事実とは断定しないが、命令未達という結果はCLOSEする	CLOSED-EVENT	current-session + Hokkaido primary-source synthesis	1937-07-09	24-1937-07-09-WITHDRAWAL-COMMS-FAILURE-GATE-0210-0710.md		浅井は中国側指揮通信網を置換していない
B-0064	history	05:00 renewed fire July 9	撤兵命令未達の中国側前線が、協定に基づき移動/集結する日本軍へ05:00前後に再射撃し局地交戦が再発。条件が実質同じためcurrent branchでもeventを保存。正確な発砲地点/分/死傷はOPEN	CLOSED-EVENT/OPEN-TACTICAL-DETAIL	current-session + Hokkaido/FRUS crosscheck	1937-07-09	24-1937-07-09-WITHDRAWAL-COMMS-FAILURE-GATE-0210-0710.md		
B-0065	communications	Asai communications relevance to July 9 order failure	失敗の中心は中国第29軍内部→前線の命令伝達であり、日本側の浅井系電話測定/電源/通信品質では代替できない。共有tactical radio網も存在しないためfailure chainは史実同様	CLOSED-DIRECTION	current-session + communications causal audit	1937-07-09	24-1937-07-09-WITHDRAWAL-COMMS-FAILURE-GATE-0210-0710.md		日本軍側装備が良い=相手側命令網も良い、とはしない
B-0066	history/movement	06:40 liaison arrival / 07:10 Wanping entry July 9	05:10頃に再連絡措置、06:40頃に中島顧問らが現地到着、07:10頃に宛平へ入り撤兵命令を直接伝達して対立を一旦収束。混成連絡団/調整時間が律速で浅井車両による有意な時刻前倒しは置かない	CLOSED-EVENT	current-session + Hokkaido/FRUS crosscheck	1937-07-09	24-1937-07-09-WITHDRAWAL-COMMS-FAILURE-GATE-0210-0710.md		FRUSは07:00頃再停止と報告
B-0067	history	withdrawal monitoring 07:10-noon July 9	07:10直接伝達後、中国側撤退は正午頃まで進み、日本側は監視用2個中隊を残して主力を豊台へ戻す。残置は意図的監視措置であり浅井車両差では消えない	CLOSED-EVENT	current-session + Hokkaido primary-source synthesis	1937-07-09	25-1937-07-09-WITHDRAWAL-SECURITY-FORCE-GATE-0710-1600.md		2個中隊残置が中国側の不信を残す
B-0068	history	Wulidian security-force misidentification clash July 9	撤退後の警備引継ぎ部隊は到着連絡伝令を阻止され、雨天外套が第29軍と同様で、実際にも馮治安直属正規軍部隊を変装させたものだったため日本側が増援と判断し五里店附近で衝突。eventと若干の死傷を保存し、正確な発砲/損害はOPEN	CLOSED-EVENT/OPEN-TACTICAL-DETAIL	current-session + Hokkaido Chinese/Japanese-source synthesis	1937-07-09	25-1937-07-09-WITHDRAWAL-SECURITY-FORCE-GATE-0710-1600.md		単純な制服見間違いではない
B-0069	communications	Asai relevance to Wulidian misidentification	1937浅井radio差は部品/電源/reliability支援が中心で小部隊portable radio高密度配備やIFFはない。伝令阻止で欠落した部隊identity情報を日本側通信品質だけでは生成できず、誤認衝突を消さない	CLOSED-DIRECTION	current-session + v48 radio reliability source	1937-07-09	25-1937-07-09-WITHDRAWAL-SECURITY-FORCE-GATE-0710-1600.md		optics/lighting革命もCLOSED設定なし
B-0070	history	local withdrawal/security handover complete around 16:00 July 9	12:20頃の再協議を経て、16:00頃までに中国軍は永定河西側への撤退と治安警備引継ぎを完了。警備部隊の50/150名記録差は残すが、主力撤退と制限された治安部隊への引継ぎという機能的結果はCLOSE	CLOSED-EVENT/OPEN-HEADCOUNT-DETAIL	current-session + Hokkaido primary-source synthesis	1937-07-09	25-1937-07-09-WITHDRAWAL-SECURITY-FORCE-GATE-0710-1600.md		次gateは9日16:00→10日16:00
B-0071	history	9 July Tokyo non-expansion / dispatch shelving	1937-07-09朝、不拡大方針を再確認し、陸相提起の内地3個師団派遣は現地撤退交渉進展等を受け一旦見送り。current branchでも同じ	CLOSED-EVENT	current-session + Hokkaido central-policy reconstruction	1937-07-09	26-1937-07-09-10-DEESCALATION-PREPARATION-GATE-1600-1600.md		previous local gate omitted central backfill
B-0072	history	29th Army broader defensive preparation July 9	宋哲元命令で陣地構築・弾薬補充・部隊移駐準備、第132師/騎兵第9師等が出動準備。第37師はより積極的で9日深夜に吉星文部隊が出撃	CLOSED-DECISION/OPEN-TACTICAL-DETAIL	current-session + Hokkaido Chinese-source synthesis	1937-07-09/10	26-1937-07-09-10-DEESCALATION-PREPARATION-GATE-1600-1600.md		Asai does not supply 29th Army
B-0073	history	10 July noon local tactical separation	米軍武官現地確認で日本軍大部は鉄道線から退き豊台方面、中国正規軍は永定河西岸、宛平は保安隊。current branchでも同じ外形	CLOSED-EVENT	current-session + FRUS field observation	1937-07-10 noon	26-1937-07-09-10-DEESCALATION-PREPARATION-GATE-1600-1600.md		~50 Japanese visible is observation estimate
B-0074	movement	Asai mechanized readiness July 9-10	日本側機械化/砲兵部隊の一部では浅井turbo牽引・重貨物車により過熱/落伍低下・牽引余裕・集結後可動率改善を認めるが、10日16時まで配置/時刻を変えるbranchは置かない	CLOSED-DIRECTION	current-session + current military delivery ledger	1937-07-09/10	26-1937-07-09-10-DEESCALATION-PREPARATION-GATE-1600-1600.md		exact turbo vehicle count remains OPEN
B-0075	history	10 July pre-16:00 Japanese contingency planning	10日には関東軍/朝鮮軍/内地師団/飛行部隊の contingency mobilization案検討が進むが、23時頃の中央軍北上情報等はgate外。16時まで大規模実行前倒しなし	CLOSED-DIRECTION	current-session + Hokkaido central-policy reconstruction	1937-07-10	26-1937-07-09-10-DEESCALATION-PREPARATION-GATE-1600-1600.md		Asai affects later sustainment not trigger
B-0076	history	10 July 16:00 Longwangmiao renewed-tension trigger	16時頃、善後交渉開始とほぼ同時に竜王廟附近の日本側斥候へ八宝山方面から迫撃砲射撃、中国軍増加を観測。条件保存によりcurrent branchでもtrigger発生	CLOSED-TRIGGER/OPEN-CONSEQUENCE	current-session + Hokkaido primary-source synthesis	1937-07-10 16:00	26-1937-07-09-10-DEESCALATION-PREPARATION-GATE-1600-1600.md		next gate follows 16:00-21:15
B-0077	history	10 July 17:00 restraint / 17:10 Chinese advance	17:00橋本参謀長が河岸兵力進出抑制を直接電話通知する一方、17:10頃に衙門口から中国兵約100名が迫撃砲支援で竜王廟へ前進。双方条件保存によりcurrent branchでも発生	CLOSED-EVENT	current-session + Hokkaido primary-source synthesis	1937-07-10	27-1937-07-10-LONGWANGMIAO-SECOND-BATTLE-GATE-1600-2115.md		抑制命令の通信は機能済みで浅井通信差は非分岐
B-0078	history	10 July Chinese attacker identity / reinforcement	18時頃の竜王廟攻撃主力は初発の第219団第3営ではなく第220団+特殊兵。馮治安は同時刻に第675団1営+山砲1連+野砲1連+重迫撃砲4門を西苑から長辛店へ増援命令	CLOSED-IDENTITY/OPEN-ARRIVAL	current-session + Chinese telegrams via Hokkaido synthesis	1937-07-10	27-1937-07-10-LONGWANGMIAO-SECOND-BATTLE-GATE-1600-2115.md		増援の21:15以前現着は自動仮定しない
