id	station	x_m	x_over_L	width_m	height_m	section_type	scope_note
Ki-42	S02	1.539	0.180	0.749	0.936	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
Ki-42	S03	2.565	0.300	0.936	1.116	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
Ki-42	S04	3.677	0.430	1.040	1.200	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
Ki-42	S05	4.788	0.560	1.019	1.200	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
Ki-42	S06	5.814	0.680	0.853	1.032	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
Ki-42	S07	6.840	0.800	0.603	0.756	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
Ki-42	S08	7.866	0.920	0.333	0.432	round	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
Ki-42	S09	8.550	1.000	0.083	0.108	round	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
HS-2	S00	0.000	0.000	0.037	0.044	round	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
HS-2	S01	0.684	0.080	0.322	0.440	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
HS-2	S02	1.539	0.180	0.662	0.858	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
HS-2	S03	2.565	0.300	0.828	1.023	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
HS-2	S04	3.677	0.430	0.920	1.100	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
HS-2	S05	4.788	0.560	0.902	1.100	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
HS-2	S06	5.814	0.680	0.754	0.946	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
HS-2	S07	6.840	0.800	0.534	0.693	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
HS-2	S08	7.866	0.920	0.294	0.396	round	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
HS-2	S09	8.550	1.000	0.074	0.099	round	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
E5-Twin	S00	0.000	0.000	0.057	0.065	round	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
E5-Twin	S01	0.812	0.080	0.483	0.624	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
E5-Twin	S02	1.827	0.180	0.874	1.079	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
E5-Twin	S03	3.248	0.320	1.104	1.274	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
E5-Twin	S04	4.771	0.470	1.150	1.300	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
E5-Twin	S05	6.293	0.620	1.058	1.196	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
E5-Twin	S06	7.714	0.760	0.770	0.910	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
E5-Twin	S07	9.034	0.890	0.414	0.546	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
E5-Twin	S08	10.150	1.000	0.057	0.078	round	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
E6-Single	S00	0.000	0.000	0.043	0.049	round	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
E6-Single	S01	0.736	0.080	0.378	0.492	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
E6-Single	S02	1.656	0.180	0.778	0.959	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
E6-Single	S03	2.760	0.300	0.972	1.144	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
E6-Single	S04	3.956	0.430	1.080	1.230	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
E6-Single	S05	5.152	0.560	1.058	1.230	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
E6-Single	S06	6.256	0.680	0.886	1.058	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
E6-Single	S07	7.360	0.800	0.626	0.775	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
E6-Single	S08	8.464	0.920	0.346	0.443	round	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
E6-Single	S09	9.200	1.000	0.086	0.111	round	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
E6-Twin	S00	0.000	0.000	0.055	0.062	round	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
E6-Twin	S01	0.796	0.080	0.462	0.600	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
E6-Twin	S02	1.791	0.180	0.836	1.037	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
E6-Twin	S03	3.184	0.320	1.056	1.225	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
E6-Twin	S04	4.676	0.470	1.100	1.250	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
E6-Twin	S05	6.169	0.620	1.012	1.150	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
E6-Twin	S06	7.562	0.760	0.737	0.875	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
E6-Twin	S07	8.855	0.890	0.396	0.525	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
E6-Twin	S08	9.950	1.000	0.055	0.075	round	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
E6-B	S00	0.000	0.000	0.077	0.124	round	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
E6-B	S01	0.812	0.070	0.512	0.744	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
E6-B	S02	1.972	0.170	0.998	1.271	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
E6-B	S03	3.480	0.300	1.216	1.457	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
E6-B	S04	5.220	0.450	1.280	1.550	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
E6-B	S05	6.960	0.600	1.229	1.488	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
E6-B	S06	8.816	0.760	0.973	1.209	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
E6-B	S07	10.440	0.900	0.486	0.698	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
E6-B	S08	11.600	1.000	0.077	0.124	round	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
X-TP	S00	0.000	0.000	0.053	0.065	round	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
X-TP	S01	0.748	0.080	0.445	0.624	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
X-TP	S02	1.683	0.180	0.827	1.066	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
X-TP	S03	2.805	0.300	1.018	1.248	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
X-TP	S04	4.021	0.430	1.060	1.300	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
X-TP	S05	5.423	0.580	0.975	1.196	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
X-TP	S06	6.732	0.720	0.742	0.936	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
X-TP	S07	8.041	0.860	0.403	0.585	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
X-TP	S08	8.976	0.960	0.170	0.260	round	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
X-TP	S09	9.350	1.000	0.042	0.065	round	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
A7M-Gaifu	S00	0.000	0.000	0.054	0.067	round	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
A7M-Gaifu	S01	0.772	0.080	0.454	0.638	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
A7M-Gaifu	S02	1.737	0.180	0.842	1.091	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
A7M-Gaifu	S03	2.895	0.300	1.037	1.277	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
A7M-Gaifu	S04	4.149	0.430	1.080	1.330	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
A7M-Gaifu	S05	5.597	0.580	0.994	1.224	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
A7M-Gaifu	S06	6.948	0.720	0.756	0.958	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
A7M-Gaifu	S07	8.299	0.860	0.410	0.599	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
A7M-Gaifu	S08	9.264	0.960	0.173	0.266	round	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
A7M-Gaifu	S09	9.650	1.000	0.043	0.067	round	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
A8N-Sakufu	S00	0.000	0.000	0.059	0.069	round	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
A8N-Sakufu	S01	0.912	0.080	0.496	0.662	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
A8N-Sakufu	S02	2.052	0.180	0.920	1.132	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
A8N-Sakufu	S03	3.420	0.300	1.133	1.325	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
A8N-Sakufu	S04	4.902	0.430	1.180	1.380	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
A8N-Sakufu	S05	6.612	0.580	1.086	1.270	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
A8N-Sakufu	S06	8.208	0.720	0.826	0.994	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
A8N-Sakufu	S07	9.804	0.860	0.448	0.621	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
A8N-Sakufu	S08	10.944	0.960	0.189	0.276	round	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
A8N-Sakufu	S09	11.400	1.000	0.047	0.069	round	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
Ki-40	S00	0.000	0.000	0.098	0.144	round	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
Ki-40	S01	0.840	0.080	0.529	0.696	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
Ki-40	S02	1.890	0.180	0.764	0.984	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
Ki-40	S03	3.150	0.300	0.921	1.140	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
Ki-40	S04	4.620	0.440	0.980	1.200	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
Ki-40	S05	6.090	0.580	0.862	1.080	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
Ki-40	S06	7.560	0.720	0.627	0.816	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
Ki-40	S07	9.135	0.870	0.333	0.480	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
Ki-40	S08	10.500	1.000	0.049	0.072	round	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
AT-3	S00	0.000	0.000	0.410	0.546	rounded	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
AT-3	S01	2.130	0.060	2.378	2.821	rounded	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
AT-3	S02	4.970	0.140	3.608	3.822	rounded-rect	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
AT-3	S03	8.520	0.240	4.018	4.277	rounded-rect	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
AT-3	S04	13.490	0.380	4.100	4.550	rounded-rect	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
AT-3	S05	19.880	0.560	4.100	4.550	rounded-rect	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
AT-3	S06	25.560	0.720	4.059	4.459	rounded-rect	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
AT-3	S07	29.110	0.820	3.608	4.004	rounded-rect	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
AT-3	S08	32.305	0.910	2.542	3.094	rounded	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
AT-3	S09	35.500	1.000	0.328	0.455	rounded	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
H1	S00	0.000	0.000	0.576	0.787	rounded	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
H1	S01	0.835	0.100	0.998	1.312	rounded	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
H1	S02	1.670	0.200	1.280	1.750	rounded-rect	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
H1	S03	2.672	0.320	1.229	1.610	rounded-rect	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
H1	S04	3.590	0.430	0.922	1.295	rounded	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
H1	S05	4.593	0.550	0.589	0.840	truss/fairing	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
H1	S06	5.845	0.700	0.358	0.525	truss/fairing	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
H1	S07	7.181	0.860	0.230	0.385	truss/fairing	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
H1	S08	8.350	1.000	0.154	0.280	tail	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
H2	S00	0.000	0.000	0.609	0.790	rounded	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
H2	S01	0.915	0.100	1.102	1.354	rounded	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
H2	S02	1.830	0.200	1.392	1.767	rounded-rect	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
H2	S03	3.111	0.340	1.450	1.880	rounded-rect	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
H2	S04	4.300	0.470	1.305	1.692	rounded	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
H2	S05	5.399	0.590	0.870	1.203	rounded	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
H2	S06	6.588	0.720	0.580	0.827	oval-boom	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
H2	S07	7.961	0.870	0.348	0.564	oval-boom	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
H2	S08	9.150	1.000	0.203	0.376	tail	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
