file	primary_layer	secondary_layers	split_required	frontmatter_status	frontmatter_revision	bytes	sha256	legacy_source	rationale
109_資料庫_2026-08-14_Palau確定_Marianas直前実艦台帳確定_FORAGER再計算前.md	WARTIME		False	active		4218	d8945889672600ab0399545fbc04201eb5aedf5019902fe9eee5d75a7b2547d2	99_LEGACY_UNTOUCHED/計算機異聞_1941開戦巻戻し_再生産_v004_2026-08-18/90_完全一式_原典スナップショット/計算機異聞_1941開戦巻戻し_完全一式_2026-08-16/03_検討資料_設定正本/109_資料庫_2026-08-14_Palau確定_Marianas直前実艦台帳確定_FORAGER再計算前.md	Post-opening history, campaign, wartime force ledger, or checkpoint/handoff.
10_水上艦_駆逐艦・戦艦改装・大和型.md	TECH		False	active		45630	d64ac59e3003a7c68ca26e5d283f1537b79438b76e474ac799ee6a0a8b20b0d8	99_LEGACY_UNTOUCHED/計算機異聞_1941開戦巻戻し_再生産_v004_2026-08-18/90_完全一式_原典スナップショット/計算機異聞_1941開戦巻戻し_完全一式_2026-08-16/03_検討資料_設定正本/10_水上艦_駆逐艦・戦艦改装・大和型.md	Technical/engineering capability or military mechanism source.
110_資料庫_2026-08-14_OVERLORD再確認確定_FORAGER再開前.md	WARTIME		False	active		2040	eb27ee1947159502947ec368a0a378f3fbfe6db585a1e8ad880c85b0c56229b2	99_LEGACY_UNTOUCHED/計算機異聞_1941開戦巻戻し_再生産_v004_2026-08-18/90_完全一式_原典スナップショット/計算機異聞_1941開戦巻戻し_完全一式_2026-08-16/03_検討資料_設定正本/110_資料庫_2026-08-14_OVERLORD再確認確定_FORAGER再開前.md	Post-opening history, campaign, wartime force ledger, or checkpoint/handoff.
111_資料庫_2026-08-14_FORAGER前哨・フィリピン海決戦確定_SaipanD+1.md	WARTIME		False	active		2996	fa3ece72163305e0725f2c4d424a1862efe3fa335f7952b2adcde66b02f224e6	99_LEGACY_UNTOUCHED/計算機異聞_1941開戦巻戻し_再生産_v004_2026-08-18/90_完全一式_原典スナップショット/計算機異聞_1941開戦巻戻し_完全一式_2026-08-16/03_検討資料_設定正本/111_資料庫_2026-08-14_FORAGER前哨・フィリピン海決戦確定_SaipanD+1.md	Post-opening history, campaign, wartime force ledger, or checkpoint/handoff.
112_資料庫_2026-08-14_戦術研鑽再監査確定_FORAGER巻戻し.md	WARTIME		False	active		2512	5bd4b84f66784096d60fd33925bafc43bc4d9cdc64eb39db40f9c465bfa1deb0	99_LEGACY_UNTOUCHED/計算機異聞_1941開戦巻戻し_再生産_v004_2026-08-18/90_完全一式_原典スナップショット/計算機異聞_1941開戦巻戻し_完全一式_2026-08-16/03_検討資料_設定正本/112_資料庫_2026-08-14_戦術研鑽再監査確定_FORAGER巻戻し.md	Post-opening history, campaign, wartime force ledger, or checkpoint/handoff.
113_資料庫_2026-08-14_空地分離・攻防対抗戦術確定_FORAGER再計算前.md	WARTIME		False	current-handoff		2130	19d53b1678d4c79e1432f972c0c2717d002ad729ae92e0b81637e2e16ef2c8d8	99_LEGACY_UNTOUCHED/計算機異聞_1941開戦巻戻し_再生産_v004_2026-08-18/90_完全一式_原典スナップショット/計算機異聞_1941開戦巻戻し_完全一式_2026-08-16/03_検討資料_設定正本/113_資料庫_2026-08-14_空地分離・攻防対抗戦術確定_FORAGER再計算前.md	Post-opening history, campaign, wartime force ledger, or checkpoint/handoff.
114_資料庫_2026-08-14_航空人事循環・練度平準化確定_FORAGER再計算前.md	WARTIME		False	current-handoff		3730	781089717f7cb1edf2bdb3d41c4acdf8984ee4a13f96917a983f1afdd9f895b0	99_LEGACY_UNTOUCHED/計算機異聞_1941開戦巻戻し_再生産_v004_2026-08-18/90_完全一式_原典スナップショット/計算機異聞_1941開戦巻戻し_完全一式_2026-08-16/03_検討資料_設定正本/114_資料庫_2026-08-14_航空人事循環・練度平準化確定_FORAGER再計算前.md	Post-opening history, campaign, wartime force ledger, or checkpoint/handoff.
115_資料庫_2026-08-14_航空機技術時系列監査開始_ソフト統合ゲート.md	WARTIME		False	current-handoff		2104	94a80dee51858dfb41a9257b9506199ca099bc434426ac503359dd2dcae14e45	99_LEGACY_UNTOUCHED/計算機異聞_1941開戦巻戻し_再生産_v004_2026-08-18/90_完全一式_原典スナップショット/計算機異聞_1941開戦巻戻し_完全一式_2026-08-16/03_検討資料_設定正本/115_資料庫_2026-08-14_航空機技術時系列監査開始_ソフト統合ゲート.md	Post-opening history, campaign, wartime force ledger, or checkpoint/handoff.
116_資料庫_2026-08-14_航空機技術監査_作業停止点・次回論点.md	WARTIME		False	handoff-snapshot		6846	281da2053b84f10745dd3f88fd5637d879ad8c7538603a71d058dcbeb47f4e5e	99_LEGACY_UNTOUCHED/計算機異聞_1941開戦巻戻し_再生産_v004_2026-08-18/90_完全一式_原典スナップショット/計算機異聞_1941開戦巻戻し_完全一式_2026-08-16/03_検討資料_設定正本/116_資料庫_2026-08-14_航空機技術監査_作業停止点・次回論点.md	Post-opening history, campaign, wartime force ledger, or checkpoint/handoff.
117_資料庫_2026-08-14_推力式単排気管_史実時系列監査.md	TECH		False	監査閉鎖・正本反映前		13268	67943643d388606a02994f1b0bb1008b61e27125753d635bb516004b3c6c67ff	99_LEGACY_UNTOUCHED/計算機異聞_1941開戦巻戻し_再生産_v004_2026-08-18/90_完全一式_原典スナップショット/計算機異聞_1941開戦巻戻し_完全一式_2026-08-16/03_検討資料_設定正本/117_資料庫_2026-08-14_推力式単排気管_史実時系列監査.md	Technical/engineering capability or military mechanism source.
118_資料庫_2026-08-15_航空機HARD監査_戦闘機・B6N中間統合.md	TECH		False	current-audit-summary		11086	4843c03c6276a8c2dd375fca5e21c959ae5a05e48be54af2f9ef6c25dc0e2195	99_LEGACY_UNTOUCHED/計算機異聞_1941開戦巻戻し_再生産_v004_2026-08-18/90_完全一式_原典スナップショット/計算機異聞_1941開戦巻戻し_完全一式_2026-08-16/03_検討資料_設定正本/118_資料庫_2026-08-15_航空機HARD監査_戦闘機・B6N中間統合.md	Technical/engineering capability or military mechanism source.
119_資料庫_2026-08-15_航空機技術監査_作業停止点_D4Y前.md	TECH		False	current-handoff		3745	25ec85e67d483003ec3972ae88636047e212204d90b52269fc14d24d872f38e7	99_LEGACY_UNTOUCHED/計算機異聞_1941開戦巻戻し_再生産_v004_2026-08-18/90_完全一式_原典スナップショット/計算機異聞_1941開戦巻戻し_完全一式_2026-08-16/03_検討資料_設定正本/119_資料庫_2026-08-15_航空機技術監査_作業停止点_D4Y前.md	Technical/engineering capability or military mechanism source.
11_水上艦_最上型・変則艦・生残旧艦.md	TECH		False	active	2026-08-14-r1	7911	ff75b2b6d49fd51eacf4ef0940bdb729dcc2ee47c80f0c2dcda35443295ee9fc	99_LEGACY_UNTOUCHED/計算機異聞_1941開戦巻戻し_再生産_v004_2026-08-18/90_完全一式_原典スナップショット/計算機異聞_1941開戦巻戻し_完全一式_2026-08-16/03_検討資料_設定正本/11_水上艦_最上型・変則艦・生残旧艦.md	Technical/engineering capability or military mechanism source.
20_潜水艦_世代別設計・就役日程.md	TECH		False	active		29790	5dad606d776e0381da9e125079eb7318af838699baea888a8fb9a324d13ac035	99_LEGACY_UNTOUCHED/計算機異聞_1941開戦巻戻し_再生産_v004_2026-08-18/90_完全一式_原典スナップショット/計算機異聞_1941開戦巻戻し_完全一式_2026-08-16/03_検討資料_設定正本/20_潜水艦_世代別設計・就役日程.md	Technical/engineering capability or military mechanism source.
21_潜水艦_任務体系・量産配備・潜高実戦運用.md	TECH	WARTIME	True	active	2026-08-14-r2	11031	0b050eba06a4894cbbe1e30a4fe77ee0e3c88487befaafab79aa4028568cbc5f	99_LEGACY_UNTOUCHED/計算機異聞_1941開戦巻戻し_再生産_v004_2026-08-18/90_完全一式_原典スナップショット/計算機異聞_1941開戦巻戻し_完全一式_2026-08-16/03_検討資料_設定正本/21_潜水艦_任務体系・量産配備・潜高実戦運用.md	Technical/engineering capability or military mechanism source.
22_潜水艦_1941-43建造台帳・潜高船台割当.md	TECH		False	active	2026-08-14-r1	14556	14dd8fc457af2d57c8f19c75ff43e4613dd6cede26b244cfd4b304f9a7d826e7	99_LEGACY_UNTOUCHED/計算機異聞_1941開戦巻戻し_再生産_v004_2026-08-18/90_完全一式_原典スナップショット/計算機異聞_1941開戦巻戻し_完全一式_2026-08-16/03_検討資料_設定正本/22_潜水艦_1941-43建造台帳・潜高船台割当.md	Technical/engineering capability or military mechanism source.
23_潜水艦_1942後半再配置・戦果台帳.md	WARTIME		False	active	2026-08-14-r1	10793	c66f176171361cbc06d1aac45eb2c31e0809de6263270f99ecbc3a43160faa2d	99_LEGACY_UNTOUCHED/計算機異聞_1941開戦巻戻し_再生産_v004_2026-08-18/90_完全一式_原典スナップショット/計算機異聞_1941開戦巻戻し_完全一式_2026-08-16/03_検討資料_設定正本/23_潜水艦_1942後半再配置・戦果台帳.md	Post-opening history, campaign, wartime force ledger, or checkpoint/handoff.
24_潜水艦_1943年1-5月再配置・潜高初期実戦・北方配分.md	WARTIME		False	active	2026-08-14-r1	10856	11d83f7def3e7ac263ceb8c5c84013f3356d87a166f181c2eec0c52238178027	99_LEGACY_UNTOUCHED/計算機異聞_1941開戦巻戻し_再生産_v004_2026-08-18/90_完全一式_原典スナップショット/計算機異聞_1941開戦巻戻し_完全一式_2026-08-16/03_検討資料_設定正本/24_潜水艦_1943年1-5月再配置・潜高初期実戦・北方配分.md	Post-opening history, campaign, wartime force ledger, or checkpoint/handoff.
25_連合海運_1942-43船腹・護衛・間接損失台帳.md	WARTIME		False	active	2026-08-14-r1	13932	0a9d8bd9dc1b8bf82f3212b7491a44f7e3f1d2ef1599599a2f161d189858ad3f	99_LEGACY_UNTOUCHED/計算機異聞_1941開戦巻戻し_再生産_v004_2026-08-18/90_完全一式_原典スナップショット/計算機異聞_1941開戦巻戻し_完全一式_2026-08-16/03_検討資料_設定正本/25_連合海運_1942-43船腹・護衛・間接損失台帳.md	Post-opening history, campaign, wartime force ledger, or checkpoint/handoff.
26A_欧州波及_1944年春_OVERLORD再確認・追加引抜き監査.md	WARTIME		False	active		5338	c706f69a0e42e967c3d442383d5d9c798528324f84d0042df063ccdf1d404ec7	99_LEGACY_UNTOUCHED/計算機異聞_1941開戦巻戻し_再生産_v004_2026-08-18/90_完全一式_原典スナップショット/計算機異聞_1941開戦巻戻し_完全一式_2026-08-16/03_検討資料_設定正本/26A_欧州波及_1944年春_OVERLORD再確認・追加引抜き監査.md	Post-opening history, campaign, wartime force ledger, or checkpoint/handoff.
26_欧州波及_1942-44日程・損耗感度台帳.md	WARTIME		False	active	2026-08-14-r1	19048	1a50dac11dc3dadcedbaa53a12af413a00af16e2eb9fdfc510720f62d291555a	99_LEGACY_UNTOUCHED/計算機異聞_1941開戦巻戻し_再生産_v004_2026-08-18/90_完全一式_原典スナップショット/計算機異聞_1941開戦巻戻し_完全一式_2026-08-16/03_検討資料_設定正本/26_欧州波及_1942-44日程・損耗感度台帳.md	Post-opening history, campaign, wartime force ledger, or checkpoint/handoff.
27_歴史考察_1943年6月_Efate無力化作戦_OOB・索敵・戦果.md	WARTIME		False	active	2026-08-14-r1	23719	7a4a8d6fe9a1a3bf9997fe3827fa753ae63ecaa4fa4a83dfef848327636a37ac	99_LEGACY_UNTOUCHED/計算機異聞_1941開戦巻戻し_再生産_v004_2026-08-18/90_完全一式_原典スナップショット/計算機異聞_1941開戦巻戻し_完全一式_2026-08-16/03_検討資料_設定正本/27_歴史考察_1943年6月_Efate無力化作戦_OOB・索敵・戦果.md	Post-opening history, campaign, wartime force ledger, or checkpoint/handoff.
28_歴史考察_1943年9月_第二次Midway再計算.md	WARTIME		False	active	2026-08-14-r1	16401	bdc72472778ead67bf210a9e961452adf1bd7b5af10d4f01a6918c8bf6deb614	99_LEGACY_UNTOUCHED/計算機異聞_1941開戦巻戻し_再生産_v004_2026-08-18/90_完全一式_原典スナップショット/計算機異聞_1941開戦巻戻し_完全一式_2026-08-16/03_検討資料_設定正本/28_歴史考察_1943年9月_第二次Midway再計算.md	Post-opening history, campaign, wartime force ledger, or checkpoint/handoff.
29_水上艦_1943年Efate・第二次Midway個艦再注入監査.md	WARTIME		False	active		4546	bc6f9f1ba2fd7774b00cb16814e8f45507240f8759120fb162c47e4f488f6e93	99_LEGACY_UNTOUCHED/計算機異聞_1941開戦巻戻し_再生産_v004_2026-08-18/90_完全一式_原典スナップショット/計算機異聞_1941開戦巻戻し_完全一式_2026-08-16/03_検討資料_設定正本/29_水上艦_1943年Efate・第二次Midway個艦再注入監査.md	Post-opening history, campaign, wartime force ledger, or checkpoint/handoff.
30_センサー射撃指揮_I-O連鎖.md	TECH		False	active		19119	5463eb969d59f61a09da2bb46f8e4ca4bfeeef1e69cf604b8854c8600f127e6d	99_LEGACY_UNTOUCHED/計算機異聞_1941開戦巻戻し_再生産_v004_2026-08-18/90_完全一式_原典スナップショット/計算機異聞_1941開戦巻戻し_完全一式_2026-08-16/03_検討資料_設定正本/30_センサー射撃指揮_I-O連鎖.md	Technical/engineering capability or military mechanism source.
31_魚雷・水雷戦_魚雷本体・射撃指揮・再装填・運用.md	TECH		False	active	2026-08-13-r3-kagero-yugumo-cycle-audit	27048	c5bc049c71554540522426f08d96100700bc420ea6f02b02a40f3cd208cd6034	99_LEGACY_UNTOUCHED/計算機異聞_1941開戦巻戻し_再生産_v004_2026-08-18/90_完全一式_原典スナップショット/計算機異聞_1941開戦巻戻し_完全一式_2026-08-16/03_検討資料_設定正本/31_魚雷・水雷戦_魚雷本体・射撃指揮・再装填・運用.md	Technical/engineering capability or military mechanism source.
32_歴史考察_1943年12月_GALVANIC再監査_水上艦・兵站・学習.md	WARTIME		False	active		17547	e8f5cd840d4b88a13c6da01f33ca4d739f79f8777585b549fd19a9182ba7d9e6	99_LEGACY_UNTOUCHED/計算機異聞_1941開戦巻戻し_再生産_v004_2026-08-18/90_完全一式_原典スナップショット/計算機異聞_1941開戦巻戻し_完全一式_2026-08-16/03_検討資料_設定正本/32_歴史考察_1943年12月_GALVANIC再監査_水上艦・兵站・学習.md	Post-opening history, campaign, wartime force ledger, or checkpoint/handoff.
33_歴史考察_1943年末現在地・差分台帳_Marshall再計算初期条件.md	WARTIME		False	active		10639	7387f3020d83186f1e077505f57ecf58dcffd4781c0b1bb0756e0d9f5e808d39	99_LEGACY_UNTOUCHED/計算機異聞_1941開戦巻戻し_再生産_v004_2026-08-18/90_完全一式_原典スナップショット/計算機異聞_1941開戦巻戻し_完全一式_2026-08-16/03_検討資料_設定正本/33_歴史考察_1943年末現在地・差分台帳_Marshall再計算初期条件.md	Post-opening history, campaign, wartime force ledger, or checkpoint/handoff.
34_歴史考察_1944年2月_Marshall前哨戦・Kwajalein再監査.md	WARTIME		False	active		16682	7554f964cff53405dc06f985c62549f6407bfafdeaa14392db53f8a419a36e83	99_LEGACY_UNTOUCHED/計算機異聞_1941開戦巻戻し_再生産_v004_2026-08-18/90_完全一式_原典スナップショット/計算機異聞_1941開戦巻戻し_完全一式_2026-08-16/03_検討資料_設定正本/34_歴史考察_1944年2月_Marshall前哨戦・Kwajalein再監査.md	Post-opening history, campaign, wartime force ledger, or checkpoint/handoff.
35_歴史考察_1944年3月_Truk_HAILSTONE再監査.md	WARTIME		False	active		11850	b8e685e53bd8aa65eb36b06dea05ccdfd83efcb6ca2b6303d40c955268a9b744	99_LEGACY_UNTOUCHED/計算機異聞_1941開戦巻戻し_再生産_v004_2026-08-18/90_完全一式_原典スナップショット/計算機異聞_1941開戦巻戻し_完全一式_2026-08-16/03_検討資料_設定正本/35_歴史考察_1944年3月_Truk_HAILSTONE再監査.md	Post-opening history, campaign, wartime force ledger, or checkpoint/handoff.
36_歴史考察_1944年3月_Eniwetok_CATCHPOLE同期.md	WARTIME		False	active		5393	3d91d7007764d78baaab0ef73b97621f5d902a453afe3e1538a9fcb7ccd1fa39	99_LEGACY_UNTOUCHED/計算機異聞_1941開戦巻戻し_再生産_v004_2026-08-18/90_完全一式_原典スナップショット/計算機異聞_1941開戦巻戻し_完全一式_2026-08-16/03_検討資料_設定正本/36_歴史考察_1944年3月_Eniwetok_CATCHPOLE同期.md	Post-opening history, campaign, wartime force ledger, or checkpoint/handoff.
37_歴史考察_1944年4月_Palau_DESECRATE再監査・西方分散.md	WARTIME		False	active		6821	60ea13f791c3e7576876f6479ed9b058be2ba167c6e23ee4ced9750e02174e85	99_LEGACY_UNTOUCHED/計算機異聞_1941開戦巻戻し_再生産_v004_2026-08-18/90_完全一式_原典スナップショット/計算機異聞_1941開戦巻戻し_完全一式_2026-08-16/03_検討資料_設定正本/37_歴史考察_1944年4月_Palau_DESECRATE再監査・西方分散.md	Post-opening history, campaign, wartime force ledger, or checkpoint/handoff.
38_艦艇台帳_1944年7月_Marianas直前実艦・Availability.md	WARTIME		False	active		14991	1861ab1b8f0bc27688e8299f9c9c52d0b9eb3db1e79366ffc8242a1f02ce76c2	99_LEGACY_UNTOUCHED/計算機異聞_1941開戦巻戻し_再生産_v004_2026-08-18/90_完全一式_原典スナップショット/計算機異聞_1941開戦巻戻し_完全一式_2026-08-16/03_検討資料_設定正本/38_艦艇台帳_1944年7月_Marianas直前実艦・Availability.md	Post-opening history, campaign, wartime force ledger, or checkpoint/handoff.
39_歴史考察_1944年4-7月_Palau後西方分散・FORAGER時計同期.md	WARTIME		False	active		6462	7d98b0a56a94df4da79da71eb49684d6aa4929f3bc462199b65a72246cd4f213	99_LEGACY_UNTOUCHED/計算機異聞_1941開戦巻戻し_再生産_v004_2026-08-18/90_完全一式_原典スナップショット/計算機異聞_1941開戦巻戻し_完全一式_2026-08-16/03_検討資料_設定正本/39_歴史考察_1944年4-7月_Palau後西方分散・FORAGER時計同期.md	Post-opening history, campaign, wartime force ledger, or checkpoint/handoff.
40_対潜航空_東海・カ号・秋津丸.md	TECH		False	active		15668	beaa9541885e5b5e1cdf125fa78214f1dc6a6d52ee8764c75acc122057182127	99_LEGACY_UNTOUCHED/計算機異聞_1941開戦巻戻し_再生産_v004_2026-08-18/90_完全一式_原典スナップショット/計算機異聞_1941開戦巻戻し_完全一式_2026-08-16/03_検討資料_設定正本/40_対潜航空_東海・カ号・秋津丸.md	Technical/engineering capability or military mechanism source.
41_艦艇対潜_探信・爆雷・護衛運用.md	TECH		False	active		16217	7dd04bea14ea2c14a0722831c9d7ce54bf1ec866450c16f3d8f611287575df27	99_LEGACY_UNTOUCHED/計算機異聞_1941開戦巻戻し_再生産_v004_2026-08-18/90_完全一式_原典スナップショット/計算機異聞_1941開戦巻戻し_完全一式_2026-08-16/03_検討資料_設定正本/41_艦艇対潜_探信・爆雷・護衛運用.md	Technical/engineering capability or military mechanism source.
42_艦艇台帳_1944年7月_FORAGER実艦TaskGroup・決戦配置.md	WARTIME		False	active		9775	db8900cfc42802e73b5f5977e31319ff95cf511d213d67cf36bd0a01668b374d	99_LEGACY_UNTOUCHED/計算機異聞_1941開戦巻戻し_再生産_v004_2026-08-18/90_完全一式_原典スナップショット/計算機異聞_1941開戦巻戻し_完全一式_2026-08-16/03_検討資料_設定正本/42_艦艇台帳_1944年7月_FORAGER実艦TaskGroup・決戦配置.md	Post-opening history, campaign, wartime force ledger, or checkpoint/handoff.
43_歴史考察_1944年7月8-15_FORAGER前哨・フィリピン海再監査.md	WARTIME		False	provisional-after-tactical-learning-audit		15626	3c4012d939acf06ae7e40b93b5a00e22d430d5b81fe10945db814938e5ce93cd	99_LEGACY_UNTOUCHED/計算機異聞_1941開戦巻戻し_再生産_v004_2026-08-18/90_完全一式_原典スナップショット/計算機異聞_1941開戦巻戻し_完全一式_2026-08-16/03_検討資料_設定正本/43_歴史考察_1944年7月8-15_FORAGER前哨・フィリピン海再監査.md	Post-opening history, campaign, wartime force ledger, or checkpoint/handoff.
44_戦術研鑽_1942-44_空母指揮・艦隊回避・教範化.md	WARTIME	TECH	True	active		11547	f27da3a069e46b3de2449a1a681260f8dbaa64af85a5194d89ba68cf9faa5bc0	99_LEGACY_UNTOUCHED/計算機異聞_1941開戦巻戻し_再生産_v004_2026-08-18/90_完全一式_原典スナップショット/計算機異聞_1941開戦巻戻し_完全一式_2026-08-16/03_検討資料_設定正本/44_戦術研鑽_1942-44_空母指揮・艦隊回避・教範化.md	Wartime soft/organizational learning derived from events; belongs to WARTIME with TECH mechanism links.
45_航空運用制度_1942-44_空地分離・攻防火器管制破綻研究.md	WARTIME	TECH	True	active		15432	8e9c5e03736dd657c095528619b22d04a89ab0d7d49c35c558813a4863f9602d	99_LEGACY_UNTOUCHED/計算機異聞_1941開戦巻戻し_再生産_v004_2026-08-18/90_完全一式_原典スナップショット/計算機異聞_1941開戦巻戻し_完全一式_2026-08-16/03_検討資料_設定正本/45_航空運用制度_1942-44_空地分離・攻防火器管制破綻研究.md	Wartime soft/organizational learning derived from events; belongs to WARTIME with TECH mechanism links.
46_航空人事_1942-44_自然還流・空地分離・練度平準化.md	WARTIME	TECH	True	active		22992	74d4ccee9f119094be6d02ee71ba04a8f93f5862730078baac9d0cde180d2129	99_LEGACY_UNTOUCHED/計算機異聞_1941開戦巻戻し_再生産_v004_2026-08-18/90_完全一式_原典スナップショット/計算機異聞_1941開戦巻戻し_完全一式_2026-08-16/03_検討資料_設定正本/46_航空人事_1942-44_自然還流・空地分離・練度平準化.md	Wartime soft/organizational learning derived from events; belongs to WARTIME with TECH mechanism links.
47_航空機技術監査_1938-44_史実技術採用・時系列・再計算ゲート.md	TECH		False	active-audit-gate		10541	6c603e71e84ec2f12f63d186b190d83e11da1f5de7d61de9c066deac5544177c	99_LEGACY_UNTOUCHED/計算機異聞_1941開戦巻戻し_再生産_v004_2026-08-18/90_完全一式_原典スナップショット/計算機異聞_1941開戦巻戻し_完全一式_2026-08-16/03_検討資料_設定正本/47_航空機技術監査_1938-44_史実技術採用・時系列・再計算ゲート.md	Technical/engineering capability or military mechanism source.
50_航空機研究_陸海軍総合正本.md	TECH		False	active		33417	1526d529995420f053cfcf264626231b2432e18cff3dc4b5a246fecd83b40696	99_LEGACY_UNTOUCHED/計算機異聞_1941開戦巻戻し_再生産_v004_2026-08-18/90_完全一式_原典スナップショット/計算機異聞_1941開戦巻戻し_完全一式_2026-08-16/03_検討資料_設定正本/50_航空機研究_陸海軍総合正本.md	Technical/engineering capability or military mechanism source.
